Generation,Min,Mean,Max,Std
-1,-29.600001105107367,-24.620000891759993,-16.4000005396083,3.8452699862165556
0,-50.400001996196806,-21.035000743328904,-4.900000046938658,7.039237356594051
1,-50.30000199191272,-18.582500640194244,-3.2999999783933163,9.046776169054182
2,-48.6000019190833,-13.636667092400604,-3.2999999783933163,8.892824580686144
3,-49.15000194264576,-15.257500496460125,-3.2999999783933163,9.847638990027624
4,-46.200001816265285,-13.194167071511037,-3.2999999783933163,9.774214332107828
5,-49.300001949071884,-12.38000036738813,-3.2999999783933163,9.802896250618943
6,-29.800001113675535,-12.701667057497737,-3.2999999783933163,9.425528529854873
7,-46.40000182483345,-12.607500379711079,-3.2999999783933163,9.893566618932091
8,-49.65000196406618,-12.539167044738617,-2.700000029988587,11.466757119852769
9,-45.90000180341303,-12.388333705587623,-3.1999999741092324,10.620108607346834
10,-30.20000113081187,-11.925833691571219,-3.2999999783933163,9.782171671132195
11,-28.000001036562026,-9.542500252268898,-0.5500002084299922,7.856477620078626
12,-46.90000184625387,-9.245000307665517,7.649999565910548,10.53260725585716
13,-48.6000019190833,-9.670833643137788,7.799999456387013,10.981364494637447
14,-28.60000106226653,-7.222500290403453,7.599999642465264,9.028512536065879
15,-34.90000133216381,-10.567500343779102,6.649999442975968,9.957325224671052
16,-48.50000191479921,-7.423333682492375,7.949999346863478,11.13041829548071
17,-46.25000181840733,-9.863333691873898,8.449999484233558,11.000579363741826
18,-48.70000192336738,-9.004167012210624,7.449999402742833,11.367425624007627
19,-50.20000198762864,-10.820000459983325,7.8499996131286025,12.951538891909275
20,-29.600001105107367,-9.25166712764961,9.949999471195042,12.551802811159144
21,-31.600001190789044,-9.552500412698524,12.949999367818236,11.946807474438703
22,-48.10000189766288,-8.881667006985905,8.599999217316508,11.252433276026
23,-31.300001177936792,-6.767500340294403,14.749999134335667,11.525395473792738
24,-31.00000116508454,-5.890833601378835,17.249999361578375,10.057263294355048
25,-48.70000192336738,-8.259167041350157,16.34999928297475,12.727275818442157
26,-50.70000200904906,-9.90000040368177,13.999999492894858,13.261577075585468
27,-50.70000200904906,-7.473333676213709,16.49999940674752,13.989971393873692
28,-33.30000207386911,-7.303333667184536,17.449999135453254,11.518257028330767
29,-46.1000018119812,-7.68000028685977,10.199999365955591,10.893225278013997
30,-44.400001739151776,-8.935000303333315,8.599999374710023,10.975204611548195
31,-47.40000186767429,-9.558333671744913,9.749999618623406,11.690506372818941
32,-47.40000186767429,-8.621666968171485,9.64999934239313,11.295325244809318
33,-30.300001135095954,-9.38750026426278,4.799999714363366,9.353741272549689
34,-50.70000200904906,-7.5383335826763265,13.249999342020601,11.227954194361176
35,-49.8000019704923,-8.671667016049225,13.599999357014894,12.40350243387651
36,-29.70000110939145,-6.748333523756203,12.59999927552417,8.51740384626207
37,-46.25000181840733,-7.820833603704037,8.649999454151839,10.277626858409922
38,-30.400001139380038,-7.534166943413826,10.04999943682924,10.436572573580278
39,-40.80000158492476,-8.45750028094432,13.399999348446727,10.99651805205471
