Generation,Min,Mean,Max,Std
-1,-22.350000813836232,-22.350000813836232,-22.350000813836232,0.0
0,-21.55000076990109,-21.55000076990109,-21.55000076990109,0.0
1,-14.770833819250887,-14.770833819250887,-14.770833819250887,0.0
2,-13.420833745311635,-13.420833745311635,-13.420833745311635,0.0
3,-13.866667123511434,-13.866667123511434,-13.866667123511434,0.0
4,-14.81250049736506,-14.81250049736506,-14.81250049736506,0.0
5,-9.275000269796388,-9.275000269796388,-9.275000269796388,0.0
6,-12.175000365047405,-12.175000365047405,-12.175000365047405,0.0
7,-13.616667116022048,-13.616667116022048,-13.616667116022048,0.0
8,-12.333333730930462,-12.333333730930462,-12.333333730930462,0.0
9,-16.470833875976194,-16.470833875976194,-16.470833875976194,0.0
10,-8.350000246272733,-8.350000246272733,-8.350000246272733,0.0
11,-9.10833357666464,-9.10833357666464,-9.10833357666464,0.0
12,-10.616666974616237,-10.616666974616237,-10.616666974616237,0.0
13,-11.483333684853278,-11.483333684853278,-11.483333684853278,0.0
14,-8.700000389750736,-8.700000389750736,-8.700000389750736,0.0
15,-12.750000447655717,-12.750000447655717,-12.750000447655717,0.0
16,-12.4750005742535,-12.4750005742535,-12.4750005742535,0.0
17,-10.750000509549864,-10.750000509549864,-10.750000509549864,0.0
18,-16.395834059105255,-16.395834059105255,-16.395834059105255,0.0
19,-8.062500404193997,-8.062500404193997,-8.062500404193997,0.0
20,-7.12916690549658,-7.12916690549658,-7.12916690549658,0.0
21,-4.566666998279591,-4.566666998279591,-4.566666998279591,0.0
22,-7.275000306273189,-7.275000306273189,-7.275000306273189,0.0
23,-6.550000211029935,-6.550000211029935,-6.550000211029935,0.0
24,-11.495833778676266,-11.495833778676266,-11.495833778676266,0.0
25,-9.733333651752522,-9.733333651752522,-9.733333651752522,0.0
26,-6.970833491533995,-6.970833491533995,-6.970833491533995,0.0
27,-8.82500048195167,-8.82500048195167,-8.82500048195167,0.0
28,-8.933333726755032,-8.933333726755032,-8.933333726755032,0.0
29,-8.883333766134456,-8.883333766134456,-8.883333766134456,0.0
30,-6.533333778420153,-6.533333778420153,-6.533333778420153,0.0
31,-12.545833980897442,-12.545833980897442,-12.545833980897442,0.0
32,-6.266666968159067,-6.266666968159067,-6.266666968159067,0.0
33,-9.508333696634509,-9.508333696634509,-9.508333696634509,0.0
34,-11.466667290427722,-11.466667290427722,-11.466667290427722,0.0
35,-12.204167206655256,-12.204167206655256,-12.204167206655256,0.0
36,-6.500000240863301,-6.500000240863301,-6.500000240863301,0.0
37,-10.475000478560105,-10.475000478560105,-10.475000478560105,0.0
38,-7.525000403829229,-7.525000403829229,-7.525000403829229,0.0
39,-2.012500331581881,-2.012500331581881,-2.012500331581881,0.0
