Generation,Min,Mean,Max,Std
-1,-29.70000110939145,-25.305000928835945,-15.000000479631126,4.740013385595148
0,-30.20000113081187,-19.408334016636946,-3.7499999976716936,7.321334240917686
1,-46.200001816265285,-15.782500514442411,-3.1999999741092324,10.262102339720357
2,-49.300001949071884,-14.78416714478129,-3.1999999741092324,12.023971347144862
3,-30.100001126527786,-11.693333677745734,-3.1999999741092324,9.708220587985336
4,-50.400001996196806,-13.07583373246404,-3.1999999741092324,11.80964872003338
5,-50.600002004764974,-11.186666984863889,-3.1999999741092324,11.179281414896554
6,-48.300001906231046,-12.981667061763195,-3.1999999741092324,13.010787640474987
7,-50.400001996196806,-11.468333664885723,-3.1999999741092324,13.617308710941867
8,-50.45000199833885,-11.393333659096,-3.1999999741092324,12.229379312105545
9,-50.05000198120251,-12.100833689405894,-3.1999999741092324,11.819555249361509
10,-50.600002004764974,-11.170833649563914,-3.1999999741092324,11.752136096327352
11,-50.70000200904906,-11.863333682452017,-3.1999999741092324,12.484036563225049
12,-50.600002004764974,-13.705833763962922,-3.1999999741092324,13.847464536073362
13,-50.50000200048089,-12.327500370292304,-3.1999999741092324,13.923453312262088
14,-49.70000196620822,-12.74500038624586,-3.1999999741092324,11.704752744338517
15,-50.30000199191272,-12.359167040868973,-3.1999999741092324,14.309471529822194
16,-31.400001182220876,-10.086666936450637,-3.1999999741092324,10.333630276731018
17,-50.70000200904906,-11.97000035304421,-3.1999999741092324,11.924199297602057
18,-49.8000019704923,-11.055833647213877,-3.1999999741092324,12.809398442555441
19,-50.650002006907016,-13.012500395129125,-3.1999999741092324,13.711709772282454
20,-50.600002004764974,-13.804167100220608,-3.1999999741092324,11.484189959615
21,-50.50000200048089,-14.360000452857154,-3.1999999741092324,14.92363904688391
22,-50.600002004764974,-12.79666705254931,-3.1999999741092324,13.284844272015235
23,-50.400001996196806,-10.884166974481195,-3.1999999741092324,11.408752583288512
24,-50.70000200904906,-11.808333677519112,-3.1999999741092324,12.337248218162635
25,-49.70000196620822,-11.670000339547792,-3.1999999741092324,12.087380991245197
26,-50.600002004764974,-12.336667034775019,-3.1999999741092324,12.294958393207924
27,-50.50000200048089,-12.71833371586011,-3.1999999741092324,13.424390587700715
28,-50.70000200904906,-12.195833697984927,-3.2999999783933163,13.826229567597956
29,-50.30000199191272,-9.316666904751521,-3.1999999741092324,10.788438205835304
30,-29.100001083686948,-9.421666914403128,-3.1999999741092324,8.769822525720782
31,-50.600002004764974,-14.64333380026122,-3.1999999741092324,14.587625137179815
32,-46.700001837685704,-12.694167050734784,-3.1999999741092324,11.914875990265577
33,-50.600002004764974,-12.321667033488241,-3.1999999741092324,12.846882036579855
34,-50.50000200048089,-12.503333727216038,5.149999650660902,12.937384563865901
35,-50.600002004764974,-11.742500343942083,-3.1999999741092324,10.92513900841277
36,-49.25000194692984,-10.850000303774141,-3.1999999741092324,11.180031042296926
37,-40.40000156778842,-9.77416694558536,9.299999403301626,9.994997018225401
38,-49.8000019704923,-10.130833641680267,11.449999458156526,11.828117003674787
39,-30.400001139380038,-8.414166934896882,7.999999619554728,9.134331559352084
