Generation,Min,Mean,Max,Std
-1,-23.29583419735233,-23.29583419735233,-23.29583419735233,0.0
0,-19.312500715915423,-19.312500715915423,-19.312500715915423,0.0
1,-18.67916732324132,-18.67916732324132,-18.67916732324132,0.0
2,-18.320833964894216,-18.320833964894216,-18.320833964894216,0.0
3,-15.000000505397717,-15.000000505397717,-15.000000505397717,0.0
4,-9.945833618985489,-9.945833618985489,-9.945833618985489,0.0
5,-6.975000139054221,-6.975000139054221,-6.975000139054221,0.0
6,-7.6500001647509634,-7.6500001647509634,-7.6500001647509634,0.0
7,-10.329166978403615,-10.329166978403615,-10.329166978403615,0.0
8,-9.191666948997105,-9.191666948997105,-9.191666948997105,0.0
9,-11.479167075866522,-11.479167075866522,-11.479167075866522,0.0
10,-8.108333553148745,-8.108333553148745,-8.108333553148745,0.0
11,-6.8416668480883045,-6.8416668480883045,-6.8416668480883045,0.0
12,-10.09583371237386,-10.09583371237386,-10.09583371237386,0.0
13,-6.0416667689569294,-6.0416667689569294,-6.0416667689569294,0.0
14,-7.2375001921706525,-7.2375001921706525,-7.2375001921706525,0.0
15,-4.808333395669858,-4.808333395669858,-4.808333395669858,0.0
16,-12.866667067787299,-12.866667067787299,-12.866667067787299,0.0
17,-7.158333512449947,-7.158333512449947,-7.158333512449947,0.0
18,-11.154167032955835,-11.154167032955835,-11.154167032955835,0.0
19,-9.212500247793892,-9.212500247793892,-9.212500247793892,0.0
20,-11.250000360848693,-11.250000360848693,-11.250000360848693,0.0
21,-10.700000372482464,-10.700000372482464,-10.700000372482464,0.0
22,-7.420833678178799,-7.420833678178799,-7.420833678178799,0.0
23,-6.304166866932064,-6.304166866932064,-6.304166866932064,0.0
24,-13.637500482339723,-13.637500482339723,-13.637500482339723,0.0
25,-9.395833707686203,-9.395833707686203,-9.395833707686203,0.0
26,-8.762500244619636,-8.762500244619636,-8.762500244619636,0.0
27,-2.450000128437144,-2.450000128437144,-2.450000128437144,0.0
28,-7.70833354567488,-7.70833354567488,-7.70833354567488,0.0
29,-14.679167190527854,-14.679167190527854,-14.679167190527854,0.0
30,-8.554166934569366,-8.554166934569366,-8.554166934569366,0.0
31,-8.141667029509941,-8.141667029509941,-8.141667029509941,0.0
32,-12.083333765311787,-12.083333765311787,-12.083333765311787,0.0
33,-6.04583355175176,-6.04583355175176,-6.04583355175176,0.0
34,-10.554166962276213,-10.554166962276213,-10.554166962276213,0.0
35,-10.6583337590176,-10.6583337590176,-10.6583337590176,0.0
36,-14.150000485087125,-14.150000485087125,-14.150000485087125,0.0
37,-3.995833460474387,-3.995833460474387,-3.995833460474387,0.0
38,-8.350000358768739,-8.350000358768739,-8.350000358768739,0.0
39,-4.762500417069532,-4.762500417069532,-4.762500417069532,0.0
