Generation,Min,Mean,Max,Std
-1,-24.58750090325096,-24.58750090325096,-24.58750090325096,0.0
0,-21.229167422822986,-21.229167422822986,-21.229167422822986,0.0
1,-19.037500665484306,-19.037500665484306,-19.037500665484306,0.0
2,-12.533333729836158,-12.533333729836158,-12.533333729836158,0.0
3,-9.979166947305202,-9.979166947305202,-9.979166947305202,0.0
4,-9.979166947305202,-9.979166947305202,-9.979166947305202,0.0
5,-9.979166947305202,-9.979166947305202,-9.979166947305202,0.0
6,-9.979166947305202,-9.979166947305202,-9.979166947305202,0.0
7,-5.037500065712568,-5.037500065712568,-5.037500065712568,0.0
8,-5.037500065712568,-5.037500065712568,-5.037500065712568,0.0
9,-5.037500065712568,-5.037500065712568,-5.037500065712568,0.0
10,-5.037500065712568,-5.037500065712568,-5.037500065712568,0.0
11,-5.037500065712568,-5.037500065712568,-5.037500065712568,0.0
12,-5.037500065712568,-5.037500065712568,-5.037500065712568,0.0
13,-5.037500065712568,-5.037500065712568,-5.037500065712568,0.0
14,-4.816666944922569,-4.816666944922569,-4.816666944922569,0.0
15,-4.804166973141643,-4.804166973141643,-4.804166973141643,0.0
16,-4.804166973141643,-4.804166973141643,-4.804166973141643,0.0
17,-4.804166973141643,-4.804166973141643,-4.804166973141643,0.0
18,-4.804166973141643,-4.804166973141643,-4.804166973141643,0.0
19,-4.804166973141643,-4.804166973141643,-4.804166973141643,0.0
20,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
21,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
22,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
23,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
24,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
25,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
26,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
27,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
28,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
29,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
30,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
31,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
32,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
33,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
34,-3.1750004133597636,-3.1750004133597636,-3.1750004133597636,0.0
35,-0.6416668844176456,-0.6416668844176456,-0.6416668844176456,0.0
36,-0.6416668844176456,-0.6416668844176456,-0.6416668844176456,0.0
37,-0.6416668844176456,-0.6416668844176456,-0.6416668844176456,0.0
38,-0.6416668844176456,-0.6416668844176456,-0.6416668844176456,0.0
39,-0.6416668844176456,-0.6416668844176456,-0.6416668844176456,0.0
