Generation,Min,Mean,Max,Std
-1,-21.33750076723906,-21.33750076723906,-21.33750076723906,0.0
0,-20.72500074421987,-20.72500074421987,-20.72500074421987,0.0
1,-12.579167045808086,-12.579167045808086,-12.579167045808086,0.0
2,-8.729166877650036,-8.729166877650036,-8.729166877650036,0.0
3,-12.958333738381043,-12.958333738381043,-12.958333738381043,0.0
4,-13.029167068307288,-13.029167068307288,-13.029167068307288,0.0
5,-9.762500274577178,-9.762500274577178,-9.762500274577178,0.0
6,-10.137500271317549,-10.137500271317549,-10.137500271317549,0.0
7,-13.83333376298348,-13.83333376298348,-13.83333376298348,0.0
8,-7.875000354639876,-7.875000354639876,-7.875000354639876,0.0
9,-17.875000715294544,-17.875000715294544,-17.875000715294544,0.0
10,-10.829167295557758,-10.829167295557758,-10.829167295557758,0.0
11,-4.266666905255988,-4.266666905255988,-4.266666905255988,0.0
12,-12.358333715897365,-12.358333715897365,-12.358333715897365,0.0
13,-3.675000239008417,-3.675000239008417,-3.675000239008417,0.0
14,-9.295833842013963,-9.295833842013963,-9.295833842013963,0.0
15,-12.220833774306811,-12.220833774306811,-12.220833774306811,0.0
16,-10.137500361500619,-10.137500361500619,-10.137500361500619,0.0
17,-8.383333790154817,-8.383333790154817,-8.383333790154817,0.0
18,-12.950000520291118,-12.950000520291118,-12.950000520291118,0.0
19,-11.245833700328754,-11.245833700328754,-11.245833700328754,0.0
20,-12.600000499088006,-12.600000499088006,-12.600000499088006,0.0
21,-6.6333335961292805,-6.6333335961292805,-6.6333335961292805,0.0
22,-10.98750051339933,-10.98750051339933,-10.98750051339933,0.0
23,-9.250000297712782,-9.250000297712782,-9.250000297712782,0.0
24,-10.150000480857367,-10.150000480857367,-10.150000480857367,0.0
25,-9.42500049500571,-9.42500049500571,-9.42500049500571,0.0
26,-11.241667078691535,-11.241667078691535,-11.241667078691535,0.0
27,-4.42083368722039,-4.42083368722039,-4.42083368722039,0.0
28,-3.0625003023693957,-3.0625003023693957,-3.0625003023693957,0.0
29,-6.13750043445422,-6.13750043445422,-6.13750043445422,0.0
30,-6.191666939412244,-6.191666939412244,-6.191666939412244,0.0
31,-16.70000065230609,-16.70000065230609,-16.70000065230609,0.0
32,-9.770833714321876,-9.770833714321876,-9.770833714321876,0.0
33,-16.745834080890443,-16.745834080890443,-16.745834080890443,0.0
34,-5.879167125482733,-5.879167125482733,-5.879167125482733,0.0
35,-12.245833891211078,-12.245833891211078,-12.245833891211078,0.0
36,-14.483334047797447,-14.483334047797447,-14.483334047797447,0.0
37,-11.429167125141248,-11.429167125141248,-11.429167125141248,0.0
38,-6.962500321989258,-6.962500321989258,-6.962500321989258,0.0
39,-7.808333787601441,-7.808333787601441,-7.808333787601441,0.0
