Generation,Min,Mean,Max,Std
-1,-23.012500842218287,-23.012500842218287,-23.012500842218287,0.0
0,-23.812500860386837,-23.812500860386837,-23.812500860386837,0.0
1,-14.99583381600678,-14.99583381600678,-14.99583381600678,0.0
2,-16.48333389905747,-16.48333389905747,-16.48333389905747,0.0
3,-13.816667134252688,-13.816667134252688,-13.816667134252688,0.0
4,-9.233333617448807,-9.233333617448807,-9.233333617448807,0.0
5,-10.750000297557563,-10.750000297557563,-10.750000297557563,0.0
6,-8.887500220987326,-8.887500220987326,-8.887500220987326,0.0
7,-9.354166965621213,-9.354166965621213,-9.354166965621213,0.0
8,-10.587500322804166,-10.587500322804166,-10.587500322804166,0.0
9,-11.337500377480561,-11.337500377480561,-11.337500377480561,0.0
10,-6.091666854840393,-6.091666854840393,-6.091666854840393,0.0
11,-7.137500146015857,-7.137500146015857,-7.137500146015857,0.0
12,-3.804166814816805,-3.804166814816805,-3.804166814816805,0.0
13,-5.233333523268811,-5.233333523268811,-5.233333523268811,0.0
14,-11.791667060383284,-11.791667060383284,-11.791667060383284,0.0
15,-4.866666776593775,-4.866666776593775,-4.866666776593775,0.0
16,-11.366667019630162,-11.366667019630162,-11.366667019630162,0.0
17,-9.000000229027743,-9.000000229027743,-9.000000229027743,0.0
18,-6.21666686985797,-6.21666686985797,-6.21666686985797,0.0
19,-14.22500069408367,-14.22500069408367,-14.22500069408367,0.0
20,-15.500000633105325,-15.500000633105325,-15.500000633105325,0.0
21,-15.766667230675617,-15.766667230675617,-15.766667230675617,0.0
22,-10.841667187050916,-10.841667187050916,-10.841667187050916,0.0
23,-16.162500780192204,-16.162500780192204,-16.162500780192204,0.0
24,-14.170833918925686,-14.170833918925686,-14.170833918925686,0.0
25,-10.412500363502962,-10.412500363502962,-10.412500363502962,0.0
26,-10.0833336377594,-10.0833336377594,-10.0833336377594,0.0
27,-16.491667219864514,-16.491667219864514,-16.491667219864514,0.0
28,-9.212500289664604,-9.212500289664604,-9.212500289664604,0.0
29,-7.000000358792022,-7.000000358792022,-7.000000358792022,0.0
30,-12.82500055048149,-12.82500055048149,-12.82500055048149,0.0
31,-2.429167006203594,-2.429167006203594,-2.429167006203594,0.0
32,-8.025000441237353,-8.025000441237353,-8.025000441237353,0.0
33,-3.554166951449588,-3.554166951449588,-3.554166951449588,0.0
34,-9.28750048566144,-9.28750048566144,-9.28750048566144,0.0
35,-3.737500398691433,-3.737500398691433,-3.737500398691433,0.0
36,-0.19875036843586713,-0.19875036843586713,-0.19875036843586713,0.0
37,-3.712500458699651,-3.712500458699651,-3.712500458699651,0.0
38,-10.425000615029907,-10.425000615029907,-10.425000615029907,0.0
39,-3.745833793693843,-3.745833793693843,-3.745833793693843,0.0
