Generation,Min,Mean,Max,Std
-1,-24.03750091189674,-24.03750091189674,-24.03750091189674,0.0
0,-21.095834093440015,-21.095834093440015,-21.095834093440015,0.0
1,-16.32500056216183,-16.32500056216183,-16.32500056216183,0.0
2,-16.395833892088074,-16.395833892088074,-16.395833892088074,0.0
3,-13.720833758163886,-13.720833758163886,-13.720833758163886,0.0
4,-12.650000395059275,-12.650000395059275,-12.650000395059275,0.0
5,-7.9000001947861165,-7.9000001947861165,-7.9000001947861165,0.0
6,-11.558333717053756,-11.558333717053756,-11.558333717053756,0.0
7,-15.412500593811274,-15.412500593811274,-15.412500593811274,0.0
8,-15.837500521951975,-15.837500521951975,-15.837500521951975,0.0
9,-12.11666706786491,-12.11666706786491,-12.11666706786491,0.0
10,-13.858333838017037,-13.858333838017037,-13.858333838017037,0.0
11,-17.129167276162963,-17.129167276162963,-17.129167276162963,0.0
12,-14.791667176022505,-14.791667176022505,-14.791667176022505,0.0
13,-9.812500392086804,-9.812500392086804,-9.812500392086804,0.0
14,-13.187500472723817,-13.187500472723817,-13.187500472723817,0.0
15,-13.304167086530166,-13.304167086530166,-13.304167086530166,0.0
16,-12.695833788098147,-12.695833788098147,-12.695833788098147,0.0
17,-17.495834035488468,-17.495834035488468,-17.495834035488468,0.0
18,-9.61666697341328,-9.61666697341328,-9.61666697341328,0.0
19,-11.183333726522202,-11.183333726522202,-11.183333726522202,0.0
20,-13.71250053374873,-13.71250053374873,-13.71250053374873,0.0
21,-9.670833665062673,-9.670833665062673,-9.670833665062673,0.0
22,-11.762500427663326,-11.762500427663326,-11.762500427663326,0.0
23,-12.575000459483514,-12.575000459483514,-12.575000459483514,0.0
24,-18.075000685212824,-18.075000685212824,-18.075000685212824,0.0
25,-13.379167096184878,-13.379167096184878,-13.379167096184878,0.0
26,-7.654166950766618,-7.654166950766618,-7.654166950766618,0.0
27,-7.308333605605488,-7.308333605605488,-7.308333605605488,0.0
28,-11.570833775331266,-11.570833775331266,-11.570833775331266,0.0
29,-7.362500457597586,-7.362500457597586,-7.362500457597586,0.0
30,-16.98333400398648,-16.98333400398648,-16.98333400398648,0.0
31,-18.987500730746735,-18.987500730746735,-18.987500730746735,0.0
32,-13.004167147524035,-13.004167147524035,-13.004167147524035,0.0
33,-12.750000466864245,-12.750000466864245,-12.750000466864245,0.0
34,-6.066667104062314,-6.066667104062314,-6.066667104062314,0.0
35,-19.070834131950203,-19.070834131950203,-19.070834131950203,0.0
36,-14.12083378174187,-14.12083378174187,-14.12083378174187,0.0
37,-14.929167162588177,-14.929167162588177,-14.929167162588177,0.0
38,-10.016667192879444,-10.016667192879444,-10.016667192879444,0.0
39,-12.94583381479606,-12.94583381479606,-12.94583381479606,0.0
