Generation,Min,Mean,Max,Std
-1,-24.641667575458996,-24.641667575458996,-24.641667575458996,0.0
0,-23.23333419467478,-23.23333419467478,-23.23333419467478,0.0
1,-15.420833843876608,-15.420833843876608,-15.420833843876608,0.0
2,-19.166667363334756,-19.166667363334756,-19.166667363334756,0.0
3,-13.062500422393592,-13.062500422393592,-13.062500422393592,0.0
4,-10.845833667204715,-10.845833667204715,-10.845833667204715,0.0
5,-9.91666711808648,-9.91666711808648,-9.91666711808648,0.0
6,-11.445833725117458,-11.445833725117458,-11.445833725117458,0.0
7,-8.954166990122758,-8.954166990122758,-8.954166990122758,0.0
8,-11.883333689106317,-11.883333689106317,-11.883333689106317,0.0
9,-11.479167082308171,-11.479167082308171,-11.479167082308171,0.0
10,-2.479166861002644,-2.479166861002644,-2.479166861002644,0.0
11,-5.541667168183873,-5.541667168183873,-5.541667168183873,0.0
12,-7.4666670131264254,-7.4666670131264254,-7.4666670131264254,0.0
13,-2.041667169619662,-2.041667169619662,-2.041667169619662,0.0
14,-0.3708336875230695,-0.3708336875230695,-0.3708336875230695,0.0
15,-2.304166894794131,-2.304166894794131,-2.304166894794131,0.0
16,-3.45000057547198,-3.45000057547198,-3.45000057547198,0.0
17,-3.3666670593665913,-3.3666670593665913,-3.3666670593665913,0.0
18,-7.929167206748389,-7.929167206748389,-7.929167206748389,0.0
19,-3.8875006492016837,-3.8875006492016837,-3.8875006492016837,0.0
20,-10.970833711093292,-10.970833711093292,-10.970833711093292,0.0
21,-10.725000650195094,-10.725000650195094,-10.725000650195094,0.0
22,-6.325000458358166,-6.325000458358166,-6.325000458358166,0.0
23,-4.662500171922147,-4.662500171922147,-4.662500171922147,0.0
24,-8.42500058398582,-8.42500058398582,-8.42500058398582,0.0
25,-11.562500705282824,-11.562500705282824,-11.562500705282824,0.0
26,-16.733334144305747,-16.733334144305747,-16.733334144305747,0.0
27,-7.362500525351304,-7.362500525351304,-7.362500525351304,0.0
28,-4.645833642571233,-4.645833642571233,-4.645833642571233,0.0
29,-4.9250003470806405,-4.9250003470806405,-4.9250003470806405,0.0
30,-12.195833783014677,-12.195833783014677,-12.195833783014677,0.0
31,-6.762500493088737,-6.762500493088737,-6.762500493088737,0.0
32,-3.47916709294077,-3.47916709294077,-3.47916709294077,0.0
33,-7.04166720691137,-7.04166720691137,-7.04166720691137,0.0
34,1.8624996323293697,1.8624996323293697,1.8624996323293697,0.0
35,-3.554166823082293,-3.554166823082293,-3.554166823082293,0.0
36,-9.67083398955098,-9.67083398955098,-9.67083398955098,0.0
37,-5.266667127764474,-5.266667127764474,-5.266667127764474,0.0
38,-13.75000060943421,-13.75000060943421,-13.75000060943421,0.0
39,2.854166328945818,2.854166328945818,2.854166328945818,0.0
