Generation,Min,Mean,Max,Std
-1,-21.562500796203192,-21.562500796203192,-21.562500796203192,0.0
0,-21.712500776862726,-21.712500776862726,-21.712500776862726,0.0
1,-19.55416734784376,-19.55416734784376,-19.55416734784376,0.0
2,-15.012500483387461,-15.012500483387461,-15.012500483387461,0.0
3,-17.808333959042404,-17.808333959042404,-17.808333959042404,0.0
4,-11.700000370464599,-11.700000370464599,-11.700000370464599,0.0
5,-13.220833739964291,-13.220833739964291,-13.220833739964291,0.0
6,-7.220833482919261,-7.220833482919261,-7.220833482919261,0.0
7,-12.650000388617627,-12.650000388617627,-12.650000388617627,0.0
8,-8.375000208693868,-8.375000208693868,-8.375000208693868,0.0
9,-13.40000042396908,-13.40000042396908,-13.40000042396908,0.0
10,-5.341666854685172,-5.341666854685172,-5.341666854685172,0.0
11,-9.425000292326635,-9.425000292326635,-9.425000292326635,0.0
12,-10.570833719839962,-10.570833719839962,-10.570833719839962,0.0
13,-13.70833379305744,-13.70833379305744,-13.70833379305744,0.0
14,-14.579167134710588,-14.579167134710588,-14.579167134710588,0.0
15,-7.6541669121167315,-7.6541669121167315,-7.6541669121167315,0.0
16,-7.487500418093987,-7.487500418093987,-7.487500418093987,0.0
17,-10.337500279885717,-10.337500279885717,-10.337500279885717,0.0
18,-11.887500352730664,-11.887500352730664,-11.887500352730664,0.0
19,-12.225000380072743,-12.225000380072743,-12.225000380072743,0.0
20,-8.620833542896435,-8.620833542896435,-8.620833542896435,0.0
21,-5.6375003004213795,-5.6375003004213795,-5.6375003004213795,0.0
22,-11.333333659102209,-11.333333659102209,-11.333333659102209,0.0
23,-16.15416731169292,-16.15416731169292,-16.15416731169292,0.0
24,-4.591666783904657,-4.591666783904657,-4.591666783904657,0.0
25,-10.229167019094652,-10.229167019094652,-10.229167019094652,0.0
26,0.687499800308918,0.687499800308918,0.687499800308918,0.0
27,-9.195833773429817,-9.195833773429817,-9.195833773429817,0.0
28,-8.700000309346555,-8.700000309346555,-8.700000309346555,0.0
29,-9.375000547035597,-9.375000547035597,-9.375000547035597,0.0
30,-9.508333767492635,-9.508333767492635,-9.508333767492635,0.0
31,-3.2250002678095675,-3.2250002678095675,-3.2250002678095675,0.0
32,-3.7875004589247205,-3.7875004589247205,-3.7875004589247205,0.0
33,-9.854166990262456,-9.854166990262456,-9.854166990262456,0.0
34,-3.7833335800872496,-3.7833335800872496,-3.7833335800872496,0.0
35,-6.40416690998245,-6.40416690998245,-6.40416690998245,0.0
36,-7.812500396821027,-7.812500396821027,-7.812500396821027,0.0
37,-14.850000515075712,-14.850000515075712,-14.850000515075712,0.0
38,-9.045833814733973,-9.045833814733973,-9.045833814733973,0.0
39,-7.333333703068395,-7.333333703068395,-7.333333703068395,0.0
