Generation,Min,Mean,Max,Std
-1,-28.550001060124487,-24.520000899070872,-17.70000059530139,2.9905017562611556
0,-47.10000185482204,-23.002500826329925,-5.1000000555068254,7.336742463712624
1,-30.750001193024218,-16.70000055761387,-3.499999986961484,7.615133284909017
2,-49.70000196620822,-15.690833845136998,-3.2999999783933163,10.16527421217295
3,-50.70000200904906,-12.099167027153696,-3.2999999783933163,11.958036483969286
4,-50.70000200904906,-11.906667014420965,-3.2999999783933163,11.204078854222669
5,-50.30000199191272,-13.028333728496607,-3.2999999783933163,11.899732182773034
6,-49.90000197477639,-11.629167003176796,-3.2999999783933163,11.653262887279897
7,-49.70000196620822,-8.890000219806097,-3.2999999783933163,10.28686018088589
8,-50.70000200904906,-12.926667058762783,-3.1999999741092324,11.792238300668068
9,-50.400001996196806,-12.150000360111395,-3.2999999783933163,12.636158974892277
10,-49.600001961924136,-14.188333778836144,-3.2999999783933163,13.149716552705822
11,-50.70000200904906,-12.440833705260108,-3.2999999783933163,13.433067647961192
12,-50.400001996196806,-11.77583367934761,-3.2999999783933163,13.598797991119586
13,-50.70000200904906,-14.60833379618513,-3.2999999783933163,13.720420791110076
14,-49.00000193621963,-14.01333377327149,-3.2999999783933163,12.560221697189133
15,-50.70000200904906,-12.770000384740221,-3.2999999783933163,11.870763611912748
16,-50.20000198762864,-13.289167077513412,-2.9000000385567546,13.485128474937412
17,-45.5000017862767,-10.549166960773679,-3.2999999783933163,10.650084537339595
18,-30.600001147948205,-11.968333685661976,-3.2000000127591193,10.651291327842497
19,-50.600002004764974,-10.515833624723989,-3.0999999698251486,11.46163392265139
20,-50.70000200904906,-13.03583373397123,-3.0500000063329935,13.376366831417803
21,-31.400001182220876,-9.252500235980067,-3.0499999676831067,9.176557595363226
22,-50.600002004764974,-12.250833697764513,-3.1999999741092324,13.574073575858536
23,-49.10000194050372,-9.741666924891373,-3.1999999741092324,11.02083743023826
24,-50.50000200048089,-11.927500349935144,-3.0999999698251486,12.175294580073793
25,-49.50000195764005,-10.715000297346462,-2.9999999655410647,10.764375732489375
26,-50.400001996196806,-13.5575004236307,-3.0999999698251486,13.354209727622992
27,-50.600002004764974,-11.50750033838364,-3.0999999698251486,13.805204395324804
28,-50.400001996196806,-11.156666984866995,-3.0999999698251486,13.149396832095794
29,-50.70000200904906,-10.83333363639346,-3.0999999698251486,13.056699563344193
30,-50.600002004764974,-14.220000463584437,-3.0999999698251486,13.987260282801012
31,-46.50000182911754,-9.152500229763488,-3.0999999698251486,10.470377013400997
32,-50.70000200904906,-10.203333609403732,-3.1000000471249223,11.03895749769331
33,-50.70000200904906,-7.814166904776357,4.249999572057277,10.485447011223831
34,-50.400001996196806,-11.305000334861688,3.949999636504799,13.109013668631404
35,-49.300001949071884,-12.517500400310382,5.34999965922907,13.632880005079056
36,-45.00000176485628,-10.436666977413308,4.49999960931018,11.26109818693857
37,-47.80000188481063,-9.440000265223595,7.499999558087438,10.812523271782798
38,-50.50000200048089,-10.053333604265935,-2.9000000385567546,11.791112511610285
39,-50.400001996196806,-11.795000356451299,-3.0999999698251486,13.233165020379042
