Generation,Min,Mean,Max,Std
-1,-29.70000110939145,-23.335000898409636,-19.600000753998756,3.247772414340201
0,-44.05000191740692,-19.790000710605334,-1.000000111758709,7.270516114900596
1,-47.80000207806006,-14.814167207215602,0.699999806471169,9.41677663475565
2,-47.20000185910612,-12.73250042371607,0.24999982584267855,11.024880765058466
3,-48.70000207796693,-14.974167214116703,0.19999982370063663,14.225270059514749
4,-47.85000200290233,-11.42833372305613,-0.15000015264376998,13.01050712891294
5,-49.05000209296122,-10.917500358175797,-0.4500001654960215,11.615341745895163
6,-48.750002041459084,-8.909166952354523,-0.10000015050172806,10.391340939963989
7,-48.30000209948048,-9.230000291058483,0.09999985806643963,9.900060186852093
8,-41.250001604203135,-7.660833568762367,-0.4000001633539796,9.305886011328404
9,-40.4000022620894,-9.184166975063272,1.0999997076578438,10.111246222449674
10,-48.40000206511468,-10.202500356555296,8.399999363347888,11.760135882513927
11,-45.8500021090731,-10.675833708855013,-0.10000015050172806,10.606996927716283
12,-49.00000205216929,-12.746667132169629,0.34999979147687554,12.580030566588384
13,-47.400001944974065,-8.137500283525636,-0.050000148359686136,11.280428321208815
14,-49.70000204350799,-10.440833736793138,1.4999997247941792,14.169729161362707
15,-29.90000111795962,-8.1041669738867,11.549999345093966,9.654197542677585
16,-36.90000141784549,-6.4558336073222256,6.999999264720827,9.104729338457435
17,-46.50000217696652,-7.29166693459265,1.0999997849576175,9.806818457293229
18,-48.900002086535096,-10.40916703400823,0.14999978290870786,12.360547573128228
19,-48.20000213384628,-11.025000510845954,20.49999891826883,14.10802267571972
20,-49.20000209938735,-7.5933336778854335,8.599999567959458,11.69197940905163
21,-49.30000202637166,-6.482500354914616,26.84999861055985,12.208442873878315
22,-46.40000182483345,-7.121208748081699,26.599998755846173,12.987472379957305
23,-46.95000211894512,-7.971167112925711,15.84999922150746,11.8652486302525
24,-47.95000212313607,-7.520833747383828,24.29999885056168,13.184730444025194
25,-50.400001996196806,-9.151667316475262,27.499998678453267,19.038391359513717
26,-47.000001850537956,-5.812500387794959,25.249998931307346,13.625514364091128
27,-49.60000211652368,-7.835000614542514,29.399998801294714,18.04051096677222
28,-31.550001188647002,-3.008333820764286,29.999998671002686,14.421832972954874
29,-42.90000237058848,-5.634167150322658,30.849998668767512,14.209065584194168
30,-44.55000201612711,-2.2383339676307514,35.24999890150502,17.471212899525398
31,-49.2000019447878,-4.27250056862055,32.54999882169068,16.523537394947834
32,-49.00000193621963,-3.7136672030746314,29.099998944438994,16.465322819586767
33,-27.400001010857522,2.166666170403672,37.59999877028167,16.340373311107232
34,-49.50000207358971,-4.003708878570857,37.499998648650944,16.895817222234257
35,-39.950001664459705,-1.881667242688127,29.799998701084405,17.135362954226373
36,-46.250002204906195,-0.8645421497911836,40.04999852599576,15.194092920036345
37,-30.800001580268145,-2.991667187244942,37.399998527020216,16.62524221413763
38,-49.400002107955515,-4.2983340299998725,39.09999856259674,20.82224369830678
39,-45.90000180341303,-4.9553756676536675,45.89999827556312,19.629459058343418
