Generation,Min,Mean,Max,Std
-1,-20.679167405702174,-20.679167405702174,-20.679167405702174,0.0
0,-19.166667334463757,-19.166667334463757,-19.166667334463757,0.0
1,-19.35000068853454,-19.35000068853454,-19.35000068853454,0.0
2,-14.570833817124367,-14.570833817124367,-14.570833817124367,0.0
3,-16.537500551940564,-16.537500551940564,-16.537500551940564,0.0
4,-6.1958334390074015,-6.1958334390074015,-6.1958334390074015,0.0
5,-6.4250001187125845,-6.4250001187125845,-6.4250001187125845,0.0
6,-13.541667087042393,-13.541667087042393,-13.541667087042393,0.0
7,-5.958333441715998,-5.958333441715998,-5.958333441715998,0.0
8,-14.245833861175925,-14.245833861175925,-14.245833861175925,0.0
9,-18.491667324871134,-18.491667324871134,-18.491667324871134,0.0
10,-23.570834186587792,-23.570834186587792,-23.570834186587792,0.0
11,-11.762500376362974,-11.762500376362974,-11.762500376362974,0.0
12,-10.950000344775617,-10.950000344775617,-10.950000344775617,0.0
13,-9.808333645303113,-9.808333645303113,-9.808333645303113,0.0
14,-7.283333488817637,-7.283333488817637,-7.283333488817637,0.0
15,-5.837500099985239,-5.837500099985239,-5.837500099985239,0.0
16,-9.958333596975232,-9.958333596975232,-9.958333596975232,0.0
17,-7.983333525247872,-7.983333525247872,-7.983333525247872,0.0
18,-12.98750043528465,-12.98750043528465,-12.98750043528465,0.0
19,-13.050000415416434,-13.050000415416434,-13.050000415416434,0.0
20,-11.904167139165414,-11.904167139165414,-11.904167139165414,0.0
21,-15.991667414006466,-15.991667414006466,-15.991667414006466,0.0
22,-14.270833842922002,-14.270833842922002,-14.270833842922002,0.0
23,-5.529166775988415,-5.529166775988415,-5.529166775988415,0.0
24,-11.054166999800751,-11.054166999800751,-11.054166999800751,0.0
25,-6.937500204968576,-6.937500204968576,-6.937500204968576,0.0
26,-12.6875005478117,-12.6875005478117,-12.6875005478117,0.0
27,-14.929167204458887,-14.929167204458887,-14.929167204458887,0.0
28,-7.612500275756854,-7.612500275756854,-7.612500275756854,0.0
29,-12.262500516604632,-12.262500516604632,-12.262500516604632,0.0
30,-8.395833632869957,-8.395833632869957,-8.395833632869957,0.0
31,-13.587500628122749,-13.587500628122749,-13.587500628122749,0.0
32,-8.860625340176435,-8.860625340176435,-8.860625340176435,0.0
33,-8.358333743875846,-8.358333743875846,-8.358333743875846,0.0
34,-8.625000257937549,-8.625000257937549,-8.625000257937549,0.0
35,-13.766667241269412,-13.766667241269412,-13.766667241269412,0.0
36,-1.7625002592103556,-1.7625002592103556,-1.7625002592103556,0.0
37,-7.2625004788472625,-7.2625004788472625,-7.2625004788472625,0.0
38,-13.195833774322333,-13.195833774322333,-13.195833774322333,0.0
39,-13.212500631382378,-13.212500631382378,-13.212500631382378,0.0
