Generation,Min,Mean,Max,Std
-1,-26.295834306549903,-26.295834306549903,-26.295834306549903,0.0
0,-21.2791674346275,-21.2791674346275,-21.2791674346275,0.0
1,-15.258333830473324,-15.258333830473324,-15.258333830473324,0.0
2,-16.695833904940326,-16.695833904940326,-16.695833904940326,0.0
3,-13.116667072055861,-13.116667072055861,-13.116667072055861,0.0
4,-16.995833901688457,-16.995833901688457,-16.995833901688457,0.0
5,-9.866666939264784,-9.866666939264784,-9.866666939264784,0.0
6,-9.57916692372722,-9.57916692372722,-9.57916692372722,0.0
7,-9.025000233319588,-9.025000233319588,-9.025000233319588,0.0
8,-9.287500247786133,-9.287500247786133,-9.287500247786133,0.0
9,-11.395833661779761,-11.395833661779761,-11.395833661779761,0.0
10,-7.200000319280662,-7.200000319280662,-7.200000319280662,0.0
11,-22.308334158267826,-22.308334158267826,-22.308334158267826,0.0
12,-10.616666990720356,-10.616666990720356,-10.616666990720356,0.0
13,-8.262500290720103,-8.262500290720103,-8.262500290720103,0.0
14,-13.004167153965682,-13.004167153965682,-13.004167153965682,0.0
15,-8.112500219993914,-8.112500219993914,-8.112500219993914,0.0
16,-8.312500402137326,-8.312500402137326,-8.312500402137326,0.0
17,-8.320833549369127,-8.320833549369127,-8.320833549369127,0.0
18,-5.979166981958163,-5.979166981958163,-5.979166981958163,0.0
19,-10.775000388578823,-10.775000388578823,-10.775000388578823,0.0
20,-8.179166953700284,-8.179166953700284,-8.179166953700284,0.0
21,-9.325000249392664,-9.325000249392664,-9.325000249392664,0.0
22,-9.595833652303554,-9.595833652303554,-9.595833652303554,0.0
23,-12.995833772079399,-12.995833772079399,-12.995833772079399,0.0
24,-4.887500181561336,-4.887500181561336,-4.887500181561336,0.0
25,-8.441667000491483,-8.441667000491483,-8.441667000491483,0.0
26,-6.704166961251758,-6.704166961251758,-6.704166961251758,0.0
27,-3.2208335685233274,-3.2208335685233274,-3.2208335685233274,0.0
28,-8.11666695769721,-8.11666695769721,-8.11666695769721,0.0
29,-13.341667091357522,-13.341667091357522,-13.341667091357522,0.0
30,-9.25416704484572,-9.25416704484572,-9.25416704484572,0.0
31,-8.412500210300399,-8.412500210300399,-8.412500210300399,0.0
32,-16.375000647928875,-16.375000647928875,-16.375000647928875,0.0
33,-16.841667225196336,-16.841667225196336,-16.841667225196336,0.0
34,-8.658333544502966,-8.658333544502966,-8.658333544502966,0.0
35,-5.395833613855454,-5.395833613855454,-5.395833613855454,0.0
36,-3.954166882089339,-3.954166882089339,-3.954166882089339,0.0
37,-10.537500462145545,-10.537500462145545,-10.537500462145545,0.0
38,-13.483333747989187,-13.483333747989187,-13.483333747989187,0.0
39,-10.762500468447493,-10.762500468447493,-10.762500468447493,0.0
