Generation,Min,Mean,Max,Std
-1,-20.900000745275367,-20.900000745275367,-20.900000745275367,0.0
0,-20.879167401387047,-20.879167401387047,-20.879167401387047,0.0
1,-19.71666737735116,-19.71666737735116,-19.71666737735116,0.0
2,-14.745833821400689,-14.745833821400689,-14.745833821400689,0.0
3,-13.595833785017021,-13.595833785017021,-13.595833785017021,0.0
4,-8.783333559520543,-8.783333559520543,-8.783333559520543,0.0
5,-7.58333352743648,-7.58333352743648,-7.58333352743648,0.0
6,-8.466666930820793,-8.466666930820793,-8.466666930820793,0.0
7,-5.104166789872882,-5.104166789872882,-5.104166789872882,0.0
8,-12.816667052761963,-12.816667052761963,-12.816667052761963,0.0
9,-6.15000027740219,-6.15000027740219,-6.15000027740219,0.0
10,-6.387500245822594,-6.387500245822594,-6.387500245822594,0.0
11,-5.950000120908953,-5.950000120908953,-5.950000120908953,0.0
12,-4.770833622392577,-4.770833622392577,-4.770833622392577,0.0
13,-8.095833774500838,-8.095833774500838,-8.095833774500838,0.0
14,-1.27500009109887,-1.27500009109887,-1.27500009109887,0.0
15,-9.466666980103279,-9.466666980103279,-9.466666980103279,0.0
16,-3.8958337229366102,-3.8958337229366102,-3.8958337229366102,0.0
17,-17.716667298111133,-17.716667298111133,-17.716667298111133,0.0
18,-3.145833761198446,-3.145833761198446,-3.145833761198446,0.0
19,-2.6416667935360842,-2.6416667935360842,-2.6416667935360842,0.0
20,-7.720833937986754,-7.720833937986754,-7.720833937986754,0.0
21,-4.970833742758259,-4.970833742758259,-4.970833742758259,0.0
22,-7.137500582650925,-7.137500582650925,-7.137500582650925,0.0
23,-9.366667081873553,-9.366667081873553,-9.366667081873553,0.0
24,-6.96666715585161,-6.96666715585161,-6.96666715585161,0.0
25,1.912499576729412,1.912499576729412,1.912499576729412,0.0
26,-1.9833336404214303,-1.9833336404214303,-1.9833336404214303,0.0
27,-7.562500678507301,-7.562500678507301,-7.562500678507301,0.0
28,-5.779167214136881,-5.779167214136881,-5.779167214136881,0.0
29,-7.716667290350112,-7.716667290350112,-7.716667290350112,0.0
30,-12.970834198679464,-12.970834198679464,-12.970834198679464,0.0
31,-9.508333841455169,-9.508333841455169,-9.508333841455169,0.0
32,-9.57500046910718,-9.57500046910718,-9.57500046910718,0.0
33,-7.387292118665452,-7.387292118665452,-7.387292118665452,0.0
34,-15.804167614512457,-15.804167614512457,-15.804167614512457,0.0
35,-6.4625004737948375,-6.4625004737948375,-6.4625004737948375,0.0
36,1.8583329720422626,1.8583329720422626,1.8583329720422626,0.0
37,-11.033334028363848,-11.033334028363848,-11.033334028363848,0.0
38,-10.866667187656276,-10.866667187656276,-10.866667187656276,0.0
39,-0.7875004359909022,-0.7875004359909022,-0.7875004359909022,0.0
