Generation,Min,Mean,Max,Std
-1,-30.20000113081187,-24.81250090516017,-11.800000342540443,4.296099434872696
0,-32.5000012293458,-24.29166755080223,-5.000000051222742,4.433604506953968
1,-29.20000108797103,-24.298334217110337,-4.100000012665987,4.052601874425494
2,-29.100001083686948,-25.08666758936985,-17.500000586733222,2.6363464863083252
3,-30.20000113081187,-24.64416756397113,-7.0000001369044185,4.048087083619394
4,-30.800001156516373,-25.59750093879023,-19.100000655278563,2.732038807023531
5,-29.70000110939145,-26.02500095839302,-9.700000252574682,3.6546148211257816
6,-30.20000113081187,-25.288334259522767,-14.800000471062958,3.2127010554776345
7,-30.400001139380038,-25.69416760702152,-4.800000042654574,3.8362102267114833
8,-30.800001156516373,-25.62583427784654,-12.100000355392694,3.663735635027644
9,-30.400001139380038,-25.785000944246228,-4.200000016950071,4.219244782149704
10,-32.10000121220946,-25.17166758463718,-3.7999999998137355,5.561140457906947
11,-31.00000116508454,-26.057500957208685,-12.200000359676778,3.628347174797958
12,-31.300001177936792,-25.955834286830697,-5.800000085495412,4.285451266773788
13,-31.20000117365271,-25.720834278695595,-8.650000207591802,4.0969939074545785
14,-30.550001223105937,-26.268334302795118,-16.70000055246055,2.799687105078341
15,-30.40000121667981,-24.636667563649826,-8.400000196881592,4.158273727417548
16,-31.400001182220876,-26.421667638832393,-10.000000265426934,3.6934105787851017
17,-30.800001156516373,-25.985834289404252,-16.90000079292804,2.894608484815861
18,-30.800001156516373,-25.410000930757572,-4.200000016950071,4.6595942454897905
19,-30.55000118445605,-26.45500097810291,-17.700000633951277,2.5107055167582235
20,-31.00000116508454,-25.854167618385205,-14.700000466778874,3.0126027100284323
21,-31.80000119935721,-24.798334247549064,-11.800000342540443,4.59871348038411
22,-31.400001182220876,-25.902500960230828,-5.000000051222742,3.98919834351597
23,-30.900001160800457,-24.870834239704223,-6.900000132620335,5.0109822525247525
24,-31.400001182220876,-25.886667625575015,-10.600000291131437,3.545852968126129
25,-31.300001177936792,-25.273334259524322,-12.75000038323924,3.223099921208563
26,-30.300001135095954,-25.605000945529902,-11.850000344682485,3.2654722837046113
27,-30.50000114366412,-25.754167610236134,-15.600000505335629,3.2843353306654937
28,-31.700001195073128,-26.101667627699985,-11.100000312551856,3.4468703030394505
29,-30.50000114366412,-25.979167623096146,-5.1000000555068254,3.618324944227461
30,-32.750001510605216,-25.34416759846887,-16.500000543892384,3.3378274342885192
31,-31.20000117365271,-25.146667584854487,-5.400000068359077,5.313590245989444
32,-31.700001195073128,-26.028334286071672,-13.100000398233533,3.3246225099568183
33,-33.200001259334385,-26.22083430333684,-9.000000222586095,3.9671600647533802
34,-32.20000121649355,-25.57916759951816,-19.00000065099448,2.9957511703257103
35,-30.600001147948205,-24.618334233396066,-4.70000003837049,3.987971320951453
36,-30.20000113081187,-25.95000095324746,-16.650000588968396,3.2731484696774813
37,-31.300001177936792,-25.93583428468555,-12.25000036181882,3.468574444833312
38,-30.800001156516373,-25.659167607454584,-9.90000026114285,3.856752812483547
39,-31.100001169368625,-26.453334310720674,-6.850000130478293,3.802782769650041
