Generation,Min,Mean,Max,Std
-1,-23.992709201977252,-23.992709201977252,-23.992709201977252,0.0
0,-24.41145924756226,-24.41145924756226,-24.41145924756226,0.0
1,-23.182639736517256,-23.182639736517256,-23.182639736517256,0.0
2,-23.53437585920781,-23.53437585920781,-23.53437585920781,0.0
3,-21.16284796587489,-21.16284796587489,-21.16284796587489,0.0
4,-23.427084173987776,-23.427084173987776,-23.427084173987776,0.0
5,-24.340625886769786,-24.340625886769786,-24.340625886769786,0.0
6,-23.11701474068428,-23.11701474068428,-23.11701474068428,0.0
7,-26.238889877917245,-26.238889877917245,-26.238889877917245,0.0
8,-24.14791753820221,-24.14791753820221,-24.14791753820221,0.0
9,-25.70659821984979,-25.70659821984979,-25.70659821984979,0.0
10,-26.012500954905082,-26.012500954905082,-26.012500954905082,0.0
11,-23.631250852890336,-23.631250852890336,-23.631250852890336,0.0
12,-24.91527868567694,-24.91527868567694,-24.91527868567694,0.0
13,-26.856598251670622,-26.856598251670622,-26.856598251670622,0.0
14,-24.712848117959865,-24.712848117959865,-24.712848117959865,0.0
15,-23.642709211139138,-23.642709211139138,-23.642709211139138,0.0
16,-26.48055655144789,-26.48055655144789,-26.48055655144789,0.0
17,-23.031598073847515,-23.031598073847515,-23.031598073847515,0.0
18,-22.313195237378952,-22.313195237378952,-22.313195237378952,0.0
19,-24.270834217113187,-24.270834217113187,-24.270834217113187,0.0
20,-25.03159819429533,-25.03159819429533,-25.03159819429533,0.0
21,-23.619445303807478,-23.619445303807478,-23.619445303807478,0.0
22,-24.6628481262855,-24.6628481262855,-24.6628481262855,0.0
23,-23.485070305297594,-23.485070305297594,-23.485070305297594,0.0
24,-23.786459210319055,-23.786459210319055,-23.786459210319055,0.0
25,-25.921528732543166,-25.921528732543166,-25.921528732543166,0.0
26,-19.920486829453793,-19.920486829453793,-19.920486829453793,0.0
27,-24.876389795122023,-24.876389795122023,-24.876389795122023,0.0
28,-24.37083421790804,-24.37083421790804,-24.37083421790804,0.0
29,-23.9697925724419,-23.9697925724419,-23.9697925724419,0.0
30,-24.613195367315914,-24.613195367315914,-24.613195367315914,0.0
31,-23.084375829461752,-23.084375829461752,-23.084375829461752,0.0
32,-25.45659816726887,-25.45659816726887,-25.45659816726887,0.0
33,-24.441320346264146,-24.441320346264146,-24.441320346264146,0.0
34,-23.605903643539122,-23.605903643539122,-23.605903643539122,0.0
35,-21.758334119943257,-21.758334119943257,-21.758334119943257,0.0
36,-24.92430647081993,-24.92430647081993,-24.92430647081993,0.0
37,-23.584723094054628,-23.584723094054628,-23.584723094054628,0.0
38,-22.53090359748522,-22.53090359748522,-22.53090359748522,0.0
39,-22.950695268179214,-22.950695268179214,-22.950695268179214,0.0
