Generation,Min,Mean,Max,Std
-1,-24.960764809204395,-24.960764809204395,-24.960764809204395,0.0
0,-22.403125814233338,-22.403125814233338,-22.403125814233338,0.0
1,-26.31632042981154,-26.31632042981154,-26.31632042981154,0.0
2,-24.96458425032324,-24.96458425032324,-24.96458425032324,0.0
3,-26.074306527065346,-26.074306527065346,-26.074306527065346,0.0
4,-25.012500922531924,-25.012500922531924,-25.012500922531924,0.0
5,-22.61458420198566,-22.61458420198566,-22.61458420198566,0.0
6,-23.211111946002347,-23.211111946002347,-23.211111946002347,0.0
7,-24.77430646090458,-24.77430646090458,-24.77430646090458,0.0
8,-24.370487020095524,-24.370487020095524,-24.370487020095524,0.0
9,-25.539584264489047,-25.539584264489047,-25.539584264489047,0.0
10,-24.441667561254388,-24.441667561254388,-24.441667561254388,0.0
11,-24.644098122529815,-24.644098122529815,-24.644098122529815,0.0
12,-23.647570311990822,-23.647570311990822,-23.647570311990822,0.0
13,-24.343750890392887,-24.343750890392887,-24.343750890392887,0.0
14,-24.627431465080008,-24.627431465080008,-24.627431465080008,0.0
15,-23.823959222393267,-23.823959222393267,-23.823959222393267,0.0
16,-23.4656258423056,-23.4656258423056,-23.4656258423056,0.0
17,-23.480903634694794,-23.480903634694794,-23.480903634694794,0.0
18,-25.70555654603393,-25.70555654603393,-25.70555654603393,0.0
19,-22.92013973910232,-22.92013973910232,-22.92013973910232,0.0
20,-23.299306418918096,-23.299306418918096,-23.299306418918096,0.0
21,-23.579167524304165,-23.579167524304165,-23.579167524304165,0.0
22,-23.591667524839675,-23.591667524839675,-23.591667524839675,0.0
23,-24.977778688354494,-24.977778688354494,-24.977778688354494,0.0
24,-25.155903707258403,-25.155903707258403,-25.155903707258403,0.0
25,-23.039584160876174,-23.039584160876174,-23.039584160876174,0.0
26,-25.692709274538274,-25.692709274538274,-25.692709274538274,0.0
27,-20.726389624310993,-20.726389624310993,-20.726389624310993,0.0
28,-25.40833426235541,-25.40833426235541,-25.40833426235541,0.0
29,-27.409723254431608,-27.409723254431608,-27.409723254431608,0.0
30,-22.12395914956384,-22.12395914956384,-22.12395914956384,0.0
31,-25.427084259669453,-25.427084259669453,-25.427084259669453,0.0
32,-24.676042567805982,-24.676042567805982,-24.676042567805982,0.0
33,-26.12777876553527,-26.12777876553527,-26.12777876553527,0.0
34,-21.627431350514396,-21.627431350514396,-21.627431350514396,0.0
35,-23.28715361941593,-23.28715361941593,-23.28715361941593,0.0
36,-25.025000923067434,-25.025000923067434,-25.025000923067434,0.0
37,-24.091320341469125,-24.091320341469125,-24.091320341469125,0.0
38,-23.402084190362885,-23.402084190362885,-23.402084190362885,0.0
39,-23.47743140185614,-23.47743140185614,-23.47743140185614,0.0
