Generation,Min,Mean,Max,Std
-1,-24.695139790846344,-24.695139790846344,-24.695139790846344,0.0
0,-25.379514837611676,-25.379514837611676,-25.379514837611676,0.0
1,-25.032639805305127,-25.032639805305127,-25.032639805305127,0.0
2,-24.389931444437632,-24.389931444437632,-24.389931444437632,0.0
3,-24.46944534022219,-24.46944534022219,-24.46944534022219,0.0
4,-23.7555564207497,-23.7555564207497,-23.7555564207497,0.0
5,-24.995139814166276,-24.995139814166276,-24.995139814166276,0.0
6,-24.427084223807068,-24.427084223807068,-24.427084223807068,0.0
7,-24.72152867737653,-24.72152867737653,-24.72152867737653,0.0
8,-21.238542424029827,-21.238542424029827,-21.238542424029827,0.0
9,-22.582986919092946,-22.582986919092946,-22.582986919092946,0.0
10,-24.72361201777757,-24.72361201777757,-24.72361201777757,0.0
11,-25.557639827796567,-25.557639827796567,-25.557639827796567,0.0
12,-23.361111966385376,-23.361111966385376,-23.361111966385376,0.0
13,-25.615625937902625,-25.615625937902625,-25.615625937902625,0.0
14,-25.240278710067894,-25.240278710067894,-25.240278710067894,0.0
15,-24.722917569814147,-24.722917569814147,-24.722917569814147,0.0
16,-24.83680647753903,-24.83680647753903,-24.83680647753903,0.0
17,-24.77951479446104,-24.77951479446104,-24.77951479446104,0.0
18,-19.92534791634858,-19.92534791634858,-19.92534791634858,0.0
19,-24.558334222451474,-24.558334222451474,-24.558334222451474,0.0
20,-26.92048711538276,-26.92048711538276,-26.92048711538276,0.0
21,-25.423264835996733,-25.423264835996733,-25.423264835996733,0.0
22,-25.03055648235022,-25.03055648235022,-25.03055648235022,0.0
23,-25.06111202874712,-25.06111202874712,-25.06111202874712,0.0
24,-26.240625961188925,-26.240625961188925,-26.240625961188925,0.0
25,-23.672917542277393,-23.672917542277393,-23.672917542277393,0.0
26,-25.21041760465596,-25.21041760465596,-25.21041760465596,0.0
27,-23.650695305146254,-23.650695305146254,-23.650695305146254,0.0
28,-23.142709161804913,-23.142709161804913,-23.142709161804913,0.0
29,-22.39132024421512,-22.39132024421512,-22.39132024421512,0.0
30,-24.137153680255224,-24.137153680255224,-24.137153680255224,0.0
31,-21.671875779416748,-21.671875779416748,-21.671875779416748,0.0
32,-25.66319539136344,-25.66319539136344,-25.66319539136344,0.0
33,-23.487500860688872,-23.487500860688872,-23.487500860688872,0.0
34,-26.32708431916156,-26.32708431916156,-26.32708431916156,0.0
35,-24.645139816618112,-24.645139816618112,-24.645139816618112,0.0
36,-22.513542478651896,-22.513542478651896,-22.513542478651896,0.0
37,-23.809375884945947,-23.809375884945947,-23.809375884945947,0.0
38,-26.47013991561188,-26.47013991561188,-26.47013991561188,0.0
39,-24.923264793640957,-24.923264793640957,-24.923264793640957,0.0
