Generation,Min,Mean,Max,Std
-1,-29.500001100823283,-24.023334199531625,-13.500000415369868,3.630042242812148
0,-30.000001122243702,-24.839167568460105,-17.000000565312803,2.336541198381004
1,-30.400001139380038,-24.67500089733706,-15.900000595487654,2.8780709438680763
2,-31.350001180078834,-24.9066675707077,-18.20000061672181,2.9034099970840064
3,-29.100001083686948,-25.233334252657368,-20.900000732392073,2.106985824796183
4,-29.000001079402864,-24.351667546931033,-15.10000048391521,2.759588956357425
5,-30.50000114366412,-25.125000913394615,-16.100000526756048,2.6052592158082244
6,-29.4000010965392,-24.595000896486454,-13.80000042822212,2.608507029132537
7,-28.500001057982445,-24.490000887479013,-13.500000415369868,2.8403023362309354
8,-31.00000116508454,-24.10750087109239,-9.40000023972243,3.1994509357463365
9,-29.90000111795962,-23.654167518982042,-10.70000029541552,3.5235671356365357
10,-29.20000108797103,-24.18166754222475,-14.800000471062958,2.8252872245191827
11,-30.20000113081187,-24.30083421270829,-18.800000642426312,2.816846637687615
12,-29.800001113675535,-24.05333420081685,-17.100000569596887,2.94016546522533
13,-30.100001126527786,-24.56583422277278,-17.900000603869557,2.384594611130617
14,-29.500001100823283,-24.925834240127976,-18.150000614579767,2.2642419076633398
15,-28.800001070834696,-24.800000901403838,-16.600000548176467,2.487937671314369
16,-29.100001083686948,-24.458334221388213,-17.20000057388097,2.45465837066131
17,-30.100001126527786,-25.220000921329483,-19.5000006724149,2.325335204943431
18,-30.400001139380038,-24.478334220312536,-16.4000005396083,3.0518351872249956
19,-29.100001083686948,-25.23416758667057,-15.90000051818788,2.163166978740968
20,-30.20000113081187,-23.98166753172409,-11.20000031683594,3.293427518736616
21,-29.300001092255116,-24.65083422641425,-14.800000471062958,2.5892324885912004
22,-29.300001092255116,-24.450834219778578,-18.800000642426312,2.2436483852953666
23,-29.70000110939145,-24.953334239373604,-17.70000059530139,2.1106055854275385
24,-29.600001105107367,-24.73916756482019,-18.300000621005893,2.615563970447188
25,-28.40000105369836,-24.920834238625442,-13.3000004068017,2.488545392132418
26,-31.00000116508454,-25.34666758955767,-16.70000055246055,2.2247073169944085
27,-29.90000111795962,-24.04833420124681,-5.400000068359077,4.111052014633666
28,-29.300001092255116,-24.924167574034072,-16.800000556744635,2.4439295134388064
29,-29.4000010965392,-24.36583421420461,-16.200000531040132,2.5414152603662146
30,-29.20000108797103,-24.159167541904996,-19.00000065099448,2.2985048910683115
31,-28.60000106226653,-24.36833421495588,-11.600000333972275,2.6533622362994524
32,-29.250001090113074,-24.52750088972971,-13.700000423938036,2.6822632267074473
33,-28.90000107511878,-24.629167559463532,-5.200000059790909,3.130925073154271
34,-29.45000109868124,-24.407500884588806,-3.499999986961484,4.135243266638351
35,-30.300001135095954,-24.90833423937826,-9.800000295508653,2.983596479720753
36,-29.100001083686948,-23.956667530008904,-12.00000035110861,3.1485774150078543
37,-29.800001113675535,-23.750000854488462,-8.900000218302011,3.260649359297418
38,-27.90000103227794,-23.895000860700385,-16.4000005396083,2.358543083478361
39,-28.800001070834696,-24.870834238415895,-19.100000655278563,2.223197712074851
