Generation,Min,Mean,Max,Std
-1,-22.607292479178998,-22.607292479178998,-22.607292479178998,0.0
0,-21.452431322081893,-21.452431322081893,-21.452431322081893,0.0
1,-24.51145923440021,-24.51145923440021,-24.51145923440021,0.0
2,-25.956250955984515,-25.956250955984515,-25.956250955984515,0.0
3,-25.16805647777316,-25.16805647777316,-25.16805647777316,0.0
4,-24.650348118771543,-24.650348118771543,-24.650348118771543,0.0
5,-25.992709291148156,-25.992709291148156,-25.992709291148156,0.0
6,-24.245139771567967,-24.245139771567967,-24.245139771567967,0.0
7,-21.340278532520944,-21.340278532520944,-21.340278532520944,0.0
8,-24.1010425431725,-24.1010425431725,-24.1010425431725,0.0
9,-19.908334040687706,-19.908334040687706,-19.908334040687706,0.0
10,-21.158681309497396,-21.158681309497396,-21.158681309497396,0.0
11,-20.81840350667416,-20.81840350667416,-20.81840350667416,0.0
12,-24.301042555229895,-24.301042555229895,-24.301042555229895,0.0
13,-21.037847960519784,-21.037847960519784,-21.037847960519784,0.0
14,-24.9913203695582,-24.9913203695582,-24.9913203695582,0.0
15,-22.14236192464078,-22.14236192464078,-22.14236192464078,0.0
16,-24.564584271568393,-24.564584271568393,-24.564584271568393,0.0
17,-21.800695246826056,-21.800695246826056,-21.800695246826056,0.0
18,-23.37638974481767,-23.37638974481767,-23.37638974481767,0.0
19,-22.349306363994,-22.349306363994,-22.349306363994,0.0
20,-23.706250873549532,-23.706250873549532,-23.706250873549532,0.0
21,-21.221528544879728,-21.221528544879728,-21.221528544879728,0.0
22,-25.269445384962538,-25.269445384962538,-25.269445384962538,0.0
23,-23.67048699735379,-23.67048699735379,-23.67048699735379,0.0
24,-24.61458422486127,-24.61458422486127,-24.61458422486127,0.0
25,-23.952084220903796,-23.952084220903796,-23.952084220903796,0.0
26,-25.990278742198523,-25.990278742198523,-25.990278742198523,0.0
27,-23.736111985939917,-23.736111985939917,-23.736111985939917,0.0
28,-24.54375090245028,-24.54375090245028,-24.54375090245028,0.0
29,-23.709028637489407,-23.709028637489407,-23.709028637489407,0.0
30,-21.545139697768416,-21.545139697768416,-21.545139697768416,0.0
31,-23.19166750770334,-23.19166750770334,-23.19166750770334,0.0
32,-25.013889818458765,-25.013889818458765,-25.013889818458765,0.0
33,-23.64757030205995,-23.64757030205995,-23.64757030205995,0.0
34,-22.691320264045824,-22.691320264045824,-22.691320264045824,0.0
35,-23.210764741211378,-23.210764741211378,-23.210764741211378,0.0
36,-23.88368142623868,-23.88368142623868,-23.88368142623868,0.0
37,-21.611111888193083,-21.611111888193083,-21.611111888193083,0.0
38,-22.055903594581952,-22.055903594581952,-22.055903594581952,0.0
39,-22.239584133581957,-22.239584133581957,-22.239584133581957,0.0
