Generation,Min,Mean,Max,Std
-1,-20.916667409435224,-8.851389112355212,-3.499999986961484,5.76578959128489
0,-19.950000691693276,-8.025000187257925,-3.3999999826774,4.904143864097236
1,-18.695833984180354,-6.812152917370743,-3.2999999783933163,4.839263052401432
2,-18.695833984180354,-6.237152892737261,-3.2999999783933163,4.643739596301878
3,-18.695833984180354,-6.078819546179147,-3.2999999783933163,4.672812828399002
4,-18.695833984180354,-6.045486211417786,-3.2999999783933163,4.690343618768159
5,-18.695833984180354,-6.007986209811254,-3.1999999741092324,4.70786966878023
6,-18.695833984180354,-6.007986209811254,-3.1999999741092324,4.70786966878023
7,-17.037500573360983,-5.8614584252193005,-3.0999999698251486,4.348860965250985
8,-17.037500573360983,-5.519791743915348,-3.0999999698251486,3.8700153027834756
9,-17.037500573360983,-5.519791743915348,-3.0999999698251486,3.8700153027834756
10,-17.037500573360983,-5.494791742844327,-3.0999999698251486,3.876839309518647
11,-17.037500573360983,-5.403125072250583,-3.0999999698251486,3.907432074141976
12,-17.037500573360983,-5.403125072250583,-3.0999999698251486,3.907432074141976
13,-17.037500573360983,-5.403125072250583,-3.0999999698251486,3.907432074141976
14,-17.037500573360983,-5.328125065816696,-3.0999999698251486,3.9010087355715326
15,-17.037500573360983,-5.328125065816696,-3.0999999698251486,3.9010087355715326
16,-17.037500573360983,-5.328125065816696,-3.0999999698251486,3.9010087355715326
17,-17.037500573360983,-5.328125065816696,-3.0999999698251486,3.9010087355715326
18,-17.037500573360983,-5.328125065816696,-3.0999999698251486,3.9010087355715326
19,-17.037500573360983,-5.323958398971526,-3.0999999698251486,3.901757446254101
20,-17.037500573360983,-5.323958398971526,-3.0999999698251486,3.901757446254101
21,-17.037500573360983,-5.307291731590845,-3.0999999698251486,3.905239899384761
22,-17.037500573360983,-5.307291731590845,-3.0999999698251486,3.905239899384761
23,-17.037500573360983,-5.307291731590845,-3.0999999698251486,3.905239899384761
24,-17.037500573360983,-5.2947917310553345,-3.0999999698251486,3.905643316240843
25,-17.037500573360983,-5.2947917310553345,-3.0999999698251486,3.905643316240843
26,-17.037500573360983,-5.186458393080911,-3.0999999698251486,3.927936499670379
27,-17.037500573360983,-4.844791711776957,-2.9999999655410647,3.724494877933348
28,-17.037500573360983,-4.844791711776957,-2.9999999655410647,3.724494877933348
29,-17.037500573360983,-4.8364583780866175,-2.9999999655410647,3.727381455428248
30,-17.037500573360983,-4.8364583780866175,-2.9999999655410647,3.727381455428248
31,-17.037500573360983,-4.8364583780866175,-2.9999999655410647,3.727381455428248
32,-17.037500573360983,-4.8364583780866175,-2.9999999655410647,3.727381455428248
33,-17.037500573360983,-4.819791710705936,-2.9999999655410647,3.7252709091117024
34,-17.037500573360983,-4.678125037970151,-2.9999999655410647,3.7404119493119694
35,-17.037500573360983,-4.665625037434641,-2.9999999655410647,3.74424270420947
36,-17.037500573360983,-4.665625037434641,-2.9999999655410647,3.74424270420947
37,-17.037500573360983,-4.665625037434641,-2.9999999655410647,3.74424270420947
38,-17.037500573360983,-4.565625039592205,-2.4000000171363354,3.7765696632081576
39,-17.037500573360983,-4.548958372211524,-2.4000000171363354,3.780791999866311
