Generation,Min,Mean,Max,Std
-1,-24.944445371039265,-24.944445371039265,-24.944445371039265,0.0
0,-23.48229252042236,-23.48229252042236,-23.48229252042236,0.0
1,-22.406598026136635,-22.406598026136635,-22.406598026136635,0.0
2,-20.881945186530682,-20.881945186530682,-20.881945186530682,0.0
3,-24.50312588675297,-24.50312588675297,-24.50312588675297,0.0
4,-25.246528713824873,-25.246528713824873,-25.246528713824873,0.0
5,-25.28611206630012,-25.28611206630012,-25.28611206630012,0.0
6,-23.09965361138327,-23.09965361138327,-23.09965361138327,0.0
7,-23.484723079302867,-23.484723079302867,-23.484723079302867,0.0
8,-23.350000837352127,-23.350000837352127,-23.350000837352127,0.0
9,-23.547570300728292,-23.547570300728292,-23.547570300728292,0.0
10,-22.775695260682067,-22.775695260682067,-22.775695260682067,0.0
11,-21.773959117123415,-21.773959117123415,-21.773959117123415,0.0
12,-24.719792597594076,-24.719792597594076,-24.719792597594076,0.0
13,-23.65000087811819,-23.65000087811819,-23.65000087811819,0.0
14,-24.79409813190836,-24.79409813190836,-24.79409813190836,0.0
15,-20.66701461478887,-20.66701461478887,-20.66701461478887,0.0
16,-21.805209111483745,-21.805209111483745,-21.805209111483745,0.0
17,-25.458681483245325,-25.458681483245325,-25.458681483245325,0.0
18,-25.846875961766475,-25.846875961766475,-25.846875961766475,0.0
19,-24.694792568609248,-24.694792568609248,-24.694792568609248,0.0
20,-23.24444528076371,-23.24444528076371,-23.24444528076371,0.0
21,-25.778820424230716,-25.778820424230716,-25.778820424230716,0.0
22,-22.125695239813975,-22.125695239813975,-22.125695239813975,0.0
23,-24.21875088503778,-24.21875088503778,-24.21875088503778,0.0
24,-25.378820393137477,-25.378820393137477,-25.378820393137477,0.0
25,-23.1479174988506,-23.1479174988506,-23.1479174988506,0.0
26,-24.929514811354846,-24.929514811354846,-24.929514811354846,0.0
27,-23.240625839644864,-23.240625839644864,-23.240625839644864,0.0
28,-26.265625972727623,-26.265625972727623,-26.265625972727623,0.0
29,-22.94722304580824,-22.94722304580824,-22.94722304580824,0.0
30,-22.386459136384982,-22.386459136384982,-22.386459136384982,0.0
31,-22.806945258531616,-22.806945258531616,-22.806945258531616,0.0
32,-24.36632032963098,-24.36632032963098,-24.36632032963098,0.0
33,-22.627778601635427,-22.627778601635427,-22.627778601635427,0.0
34,-24.629862006782787,-24.629862006782787,-24.629862006782787,0.0
35,-22.814236935978343,-22.814236935978343,-22.814236935978343,0.0
36,-23.285070285993342,-23.285070285993342,-23.285070285993342,0.0
37,-22.368750809271457,-22.368750809271457,-22.368750809271457,0.0
38,-25.88958430390792,-25.88958430390792,-25.88958430390792,0.0
39,-24.15972312915579,-24.15972312915579,-24.15972312915579,0.0
