Generation,Min,Mean,Max,Std
-1,-30.300001135095954,-24.41083422192993,-4.300000021234155,5.711604598901853
0,-30.20000113081187,-24.820834243359666,-13.400000411085784,3.5870752344241073
1,-29.95000112010166,-25.747500953590496,-15.10000048391521,3.071297698899293
2,-30.900001160800457,-25.10250091436319,-17.20000057388097,3.2942555570147314
3,-30.300001135095954,-24.552500894021552,-4.70000003837049,4.554928155830316
4,-31.00000116508454,-25.431667600929117,-18.800000642426312,2.6136177648263423
5,-29.65000110724941,-25.46250093365088,-17.70000059530139,2.394048715289467
6,-28.90000107511878,-24.895834242063575,-13.200000402517617,3.337767509831403
7,-30.300001135095954,-25.300000929265902,-15.200000565499067,3.187266462978823
8,-31.000001242384315,-23.82083419987466,-8.200000188313425,4.23789757723291
9,-31.100001169368625,-24.782500914802466,-9.10000022687018,4.2936371829264575
10,-30.900001160800457,-25.281667591926333,-9.850000259000808,3.9134701424161427
11,-30.20000113081187,-25.7650009472544,-15.200000488199294,3.0830086720159633
12,-31.100001169368625,-26.114167626947165,-19.80000068526715,2.3469856027362566
13,-30.400001139380038,-26.021667624272716,-19.5000006724149,2.4154256445282023
14,-30.50000114366412,-25.836667612482174,-19.200000659562647,2.5725129326883778
15,-30.600001147948205,-25.572500937075045,-9.200000231154263,3.429303102952189
16,-30.000001122243702,-25.43833426916972,-14.100000441074371,2.7574350146458233
17,-30.50000114366412,-25.680000942968764,-9.850000259000808,3.743563529631631
18,-34.10000129789114,-25.780000947897012,-18.40000070258975,2.6509307638597295
19,-29.75000115018338,-26.239167635523092,-18.50000062957406,2.26141727310442
20,-31.400001182220876,-25.796667617210186,-18.550000631716102,2.6635639309954064
21,-31.300001177936792,-25.21833426232139,-16.200000531040132,3.337513760580125
22,-31.00000116508454,-25.48166759791784,-14.000000436790287,3.663809270648716
23,-29.70000110939145,-24.568334227389034,-4.200000016950071,4.893822562745405
24,-31.300001177936792,-24.986667579932448,-7.100000141188502,3.713453927760386
25,-30.400001139380038,-25.865834284907518,-14.200000522658229,2.5841906907391654
26,-30.75000115437433,-26.6308343151041,-16.90000056102872,2.5802147591017004
27,-30.900001160800457,-26.472500974987632,-17.20000057388097,2.7426026666702206
28,-32.00000120792538,-26.529167645370276,-13.900000432506204,3.24937560916974
29,-31.20000117365271,-25.730834279124004,-5.1000000555068254,3.751112122890999
30,-30.900001160800457,-25.25416759525736,-4.900000046938658,4.373617031679972
31,-34.500001315027475,-24.935000911052338,-4.800000042654574,4.457833185949222
32,-30.300001135095954,-24.363334219250827,-4.100000012665987,5.785851286600966
33,-31.100001169368625,-25.615834276129803,-3.9000000040978193,4.208854848623453
34,-32.10000121220946,-25.69166762108604,-5.200000059790909,4.582477386941977
35,-30.000001122243702,-26.32250097435899,-3.9000000040978193,3.990576826079013
36,-31.00000116508454,-25.310834257265864,-3.499999986961484,4.940910144154141
37,-30.800001156516373,-25.666667608420052,-11.700000338256359,3.540111576114274
38,-30.400001139380038,-26.022500956997586,-6.600000119768083,3.393147960317757
39,-30.550001145806164,-25.39833426423526,-14.700000466778874,3.0243039980019613
