Generation,Min,Mean,Max,Std
-1,-22.684723062476323,-22.684723062476323,-22.684723062476323,0.0
0,-22.822917484927327,-22.822917484927327,-22.822917484927327,0.0
1,-24.54236199954499,-24.54236199954499,-24.54236199954499,0.0
2,-22.435764694052825,-22.435764694052825,-22.435764694052825,0.0
3,-25.65451482496832,-25.65451482496832,-25.65451482496832,0.0
4,-24.700000909144162,-24.700000909144162,-24.700000909144162,0.0
5,-21.83611189756387,-21.83611189756387,-21.83611189756387,0.0
6,-25.43888982968767,-25.43888982968767,-25.43888982968767,0.0
7,-26.08402874621485,-26.08402874621485,-26.08402874621485,0.0
8,-23.6194453072967,-23.6194453072967,-23.6194453072967,0.0
9,-23.545139745068607,-23.545139745068607,-23.545139745068607,0.0
10,-23.626042522823102,-23.626042522823102,-23.626042522823102,0.0
11,-24.790278715214097,-24.790278715214097,-24.790278715214097,0.0
12,-25.46041759443081,-25.46041759443081,-25.46041759443081,0.0
13,-24.788542576114803,-24.788542576114803,-24.788542576114803,0.0
14,-24.64132034758546,-24.64132034758546,-24.64132034758546,0.0
15,-23.983334239688702,-23.983334239688702,-23.983334239688702,0.0
16,-24.866667600270983,-24.866667600270983,-24.866667600270983,0.0
17,-23.225348064701794,-23.225348064701794,-23.225348064701794,0.0
18,-25.293403712343814,-25.293403712343814,-25.293403712343814,0.0
19,-23.448611966644723,-23.448611966644723,-23.448611966644723,0.0
20,-25.140278716251487,-25.140278716251487,-25.140278716251487,0.0
21,-22.576042505754028,-22.576042505754028,-22.576042505754028,0.0
22,-24.74132036233722,-24.74132036233722,-24.74132036233722,0.0
23,-24.378473124570316,-24.378473124570316,-24.378473124570316,0.0
24,-26.05486209225556,-26.05486209225556,-26.05486209225556,0.0
25,-25.56007040090238,-25.56007040090238,-25.56007040090238,0.0
26,-22.95520918866451,-22.95520918866451,-22.95520918866451,0.0
27,-23.12500083469139,-23.12500083469139,-23.12500083469139,0.0
28,-22.367709132092486,-22.367709132092486,-22.367709132092486,0.0
29,-23.212848064166284,-23.212848064166284,-23.212848064166284,0.0
30,-23.120486938630673,-23.120486938630673,-23.120486938630673,0.0
31,-21.508334102254594,-21.508334102254594,-21.508334102254594,0.0
32,-23.257292507025543,-23.257292507025543,-23.257292507025543,0.0
33,-23.171875861124136,-23.171875861124136,-23.171875861124136,0.0
34,-25.062848143690243,-25.062848143690243,-25.062848143690243,0.0
35,-24.34930643571877,-24.34930643571877,-24.34930643571877,0.0
36,-24.450348124160275,-24.450348124160275,-24.450348124160275,0.0
37,-26.66180655223434,-26.66180655223434,-26.66180655223434,0.0
38,-23.182639722560353,-23.182639722560353,-23.182639722560353,0.0
39,-22.217014705616748,-22.217014705616748,-22.217014705616748,0.0
