Generation,Min,Mean,Max,Std
-1,-29.70000110939145,-21.647500804353815,-5.300000064074993,4.53148656929709
0,-28.90000107511878,-21.99000084157257,-10.850000340491533,3.837629612854106
1,-30.100001126527786,-21.779167493339628,-11.750000340398401,4.072573976191012
2,-28.400001130998135,-21.39000081391229,-11.050000310409814,4.661292906015861
3,-27.400001010857522,-21.675834162665222,-7.850000713020563,3.6428411734633066
4,-27.950001034419984,-21.48916747774153,-4.100000012665987,5.003966048756642
5,-29.20000108797103,-22.086667496276398,-10.600000291131437,4.025366274684737
6,-27.600001096725464,-22.176667512324638,-4.300000021234155,4.5601579322820776
7,-36.60000148229301,-22.609167559219834,-12.150000357534736,4.185356483438743
8,-33.600001469720155,-22.47166751465605,-9.800000256858766,4.335487140355774
9,-27.60000101942569,-21.530000806382546,-8.60000020544976,4.080259556511651
10,-30.900001160800457,-22.239167504097956,-5.000000051222742,4.024291943349111
11,-33.50000127218664,-22.813334203069097,-3.9000000040978193,4.495570849734985
12,-30.500001220963895,-22.25666751448686,-3.3999999826774,4.7711763745181415
13,-28.550001176074147,-21.558334142218033,-4.70000003837049,4.948444120381965
14,-27.600001096725464,-21.557500816555695,-3.499999986961484,4.8328894808015495
15,-29.20000108797103,-21.705000805505552,-4.900000046938658,4.567865290580744
16,-28.000001307111233,-21.68500082786195,-4.000000008381903,5.068146664460271
17,-27.200001002289355,-21.681667482146683,-4.500000029802322,4.240616955031969
18,-31.200001212302595,-22.39500085756493,-13.800000466872007,3.669056553279136
19,-27.90000103227794,-22.363334171574873,-10.000000381376594,3.6228312921783035
20,-36.650001445785165,-23.287500887496087,-12.200000359676778,3.8396249674451983
21,-29.70000110939145,-21.84750082838194,-3.9000000040978193,4.715554478478457
22,-29.400001135189086,-22.185834154952317,-4.300000021234155,4.138499217311624
23,-27.400001010857522,-21.740834144262287,-11.000000308267772,3.8521801867075887
24,-28.500001057982445,-22.24333417029896,-11.500000329688191,3.1463269126426154
25,-29.000001079402864,-23.045834184065463,-10.200000273995101,4.026871285187181
26,-33.6500014718622,-23.512500897135276,-16.100000720005482,3.259775499034082
27,-30.450001334771514,-21.07250078873864,-3.6999999955296516,5.787417824295614
28,-44.400001739151776,-21.975000805500894,-3.499999986961484,6.108740588895389
29,-48.80000208225101,-22.1550008344464,-4.000000008381903,6.304679108255814
30,-28.800001070834696,-22.760834192445813,-9.90000026114285,3.3998542044404596
31,-29.20000108797103,-22.454167519106218,-5.450000070501119,4.992246639335619
32,-31.300001177936792,-22.37750084977597,-9.500000321306288,4.066186175539042
33,-36.350001664832234,-23.03166754511185,-11.350000323262066,4.431036256688797
34,-29.000001079402864,-22.670834214333446,-8.700000209733844,3.9354722673319156
35,-29.600001143757254,-22.459167510302116,-8.40000023553148,3.844265276381423
36,-34.30000130645931,-22.668334183329716,-4.4000000255182385,5.179116668525564
37,-33.950001523364335,-22.080000828012512,-4.100000012665987,5.726780915024622
38,-27.500001053791493,-21.658334146502117,-7.850000289268792,4.476077035996228
39,-32.8500015148893,-20.868334134559458,-4.500000029802322,5.567307844442956
