Generation,Min,Mean,Max,Std
-1,-26.187500976359136,-26.187500976359136,-26.187500976359136,0.0
0,-25.09965369357572,-25.09965369357572,-25.09965369357572,0.0
1,-25.00138980396635,-25.00138980396635,-25.00138980396635,0.0
2,-23.403820294569922,-23.403820294569922,-23.403820294569922,0.0
3,-20.957986884242725,-20.957986884242725,-20.957986884242725,0.0
4,-22.214236903295387,-22.214236903295387,-22.214236903295387,0.0
5,-22.705903591025464,-22.705903591025464,-22.705903591025464,0.0
6,-24.39687588220113,-24.39687588220113,-24.39687588220113,0.0
7,-24.94791757596411,-24.94791757596411,-24.94791757596411,0.0
8,-23.886459221581593,-23.886459221581593,-23.886459221581593,0.0
9,-24.808334254097037,-24.808334254097037,-24.808334254097037,0.0
10,-20.465625731229213,-20.465625731229213,-20.465625731229213,0.0
11,-23.025695288838406,-23.025695288838406,-23.025695288838406,0.0
12,-22.605903614529073,-22.605903614529073,-22.605903614529073,0.0
13,-24.796875910073542,-24.796875910073542,-24.796875910073542,0.0
14,-24.144445315831238,-24.144445315831238,-24.144445315831238,0.0
15,-20.396528509536036,-20.396528509536036,-20.396528509536036,0.0
16,-22.084375804067047,-22.084375804067047,-22.084375804067047,0.0
17,-19.675347909127595,-19.675347909127595,-19.675347909127595,0.0
18,-24.65347313286232,-24.65347313286232,-24.65347313286232,0.0
19,-24.96944535815338,-24.96944535815338,-24.96944535815338,0.0
20,-24.466320364512892,-24.466320364512892,-24.466320364512892,0.0
21,-23.283681417980308,-23.283681417980308,-23.283681417980308,0.0
22,-23.730903676808037,-23.730903676808037,-23.730903676808037,0.0
23,-24.563195337260066,-24.563195337260066,-24.563195337260066,0.0
24,-24.510417564199695,-24.510417564199695,-24.510417564199695,0.0
25,-22.37013968775217,-22.37013968775217,-22.37013968775217,0.0
26,-20.701389616261523,-20.701389616261523,-20.701389616261523,0.0
27,-22.418403638025566,-22.418403638025566,-22.418403638025566,0.0
28,-24.00312588277868,-24.00312588277868,-24.00312588277868,0.0
29,-23.610070299916615,-23.610070299916615,-23.610070299916615,0.0
30,-23.85069532767132,-23.85069532767132,-23.85069532767132,0.0
31,-25.85729262190095,-25.85729262190095,-25.85729262190095,0.0
32,-19.718056293013635,-19.718056293013635,-19.718056293013635,0.0
33,-20.530209063840122,-20.530209063840122,-20.530209063840122,0.0
34,-22.792709171503603,-22.792709171503603,-22.792709171503603,0.0
35,-24.85243148169765,-24.85243148169765,-24.85243148169765,0.0
36,-22.5013896898858,-22.5013896898858,-22.5013896898858,0.0
37,-22.627431414290587,-22.627431414290587,-22.627431414290587,0.0
38,-22.185764676364162,-22.185764676364162,-22.185764676364162,0.0
39,-24.789237041524355,-24.789237041524355,-24.789237041524355,0.0
