Generation,Min,Mean,Max,Std
-1,-31.00000116508454,-23.320834173300923,-5.200000098440796,5.074793245961918
0,-29.4000010965392,-23.34916750913641,-8.900000218302011,4.918134102664198
1,-30.400001139380038,-23.720834193658085,-4.4000000255182385,5.267513012679299
2,-30.100001126527786,-24.077500871095495,-7.30000014975667,5.122307842537771
3,-30.50000114366412,-24.056667541378797,-8.150000186171383,4.031402600593576
4,-30.000001122243702,-23.41500084400177,-5.1000000555068254,5.868044360838936
5,-30.900001160800457,-23.15500082964233,-3.3999999826774,6.177032318961736
6,-30.20000113081187,-23.840834193645666,-3.499999986961484,5.334022253790782
7,-30.600001147948205,-22.75166748353901,-3.3999999826774,6.44375672777945
8,-50.100001983344555,-22.635834145887443,-3.3999999826774,6.629317061971834
9,-29.600001105107367,-22.721667483542113,-4.600000034086406,5.608114648471465
10,-29.600001105107367,-21.60166743620454,-3.2999999783933163,7.072022448808919
11,-29.20000108797103,-21.74500077116924,-4.000000008381903,5.911850640520463
12,-29.750001111533493,-22.934167499731604,-5.450000070501119,5.3766045721506055
13,-29.20000108797103,-22.254167461581527,-4.800000042654574,5.541249276152947
14,-30.300001405645162,-22.10083413971588,-6.650000121910125,6.039733229213628
15,-29.300001130905002,-23.625000851710016,-3.6999999955296516,4.4884901031197435
16,-29.15000108582899,-22.780000817442,-6.450000113341957,4.386847951556104
17,-30.300001135095954,-23.07083416065822,-7.400000154040754,5.428046930789662
18,-29.90000111795962,-23.942500867888644,-9.800000256858766,4.347909883875299
19,-30.100001126527786,-21.57083409704113,-4.9500000490807,5.9356362196882895
20,-29.500001100823283,-22.665000815068684,-3.499999986961484,6.608777909947199
21,-30.300001135095954,-24.240834212714496,-12.150000396184623,4.0513424524219035
22,-29.000001079402864,-23.049167499504982,-4.600000034086406,4.806978560954854
23,-30.800001156516373,-23.961667537953083,-10.40000028256327,3.77987413363448
24,-29.000001079402864,-24.48083422364046,-15.400000496767461,2.3016497195671874
25,-30.950001240242273,-23.655834187652605,-4.200000016950071,5.844050584740697
26,-29.600001105107367,-24.102500878608165,-10.000000265426934,4.12858371585844
27,-28.90000107511878,-22.96416749393102,-7.100000141188502,4.405471139030634
28,-29.4000010965392,-24.16750087495117,-4.600000034086406,4.08648016761558
29,-29.70000110939145,-24.185834210358248,-4.600000034086406,4.4576069043837405
30,-30.300001135095954,-24.004167533976336,-11.200000355485827,3.7765648654686115
31,-29.20000108797103,-23.312500840898913,-5.400000068359077,4.889458471460888
32,-31.100001169368625,-24.897500908801643,-3.7999999998137355,4.1297038083550275
33,-33.00000125076622,-24.006667537304264,-3.6999999955296516,5.851057609992814
34,-30.050001124385744,-23.736667523160577,-5.000000051222742,5.5997388257390925
35,-31.300001177936792,-25.27750092636949,-10.450000284705311,4.001379355756895
36,-31.300001177936792,-23.639167528001902,-5.1000000555068254,5.88840758408298
37,-32.30000122077763,-24.058334204251878,-5.000000051222742,4.604818024217491
38,-30.900001160800457,-23.3008341743766,-5.900000089779496,5.834170370547053
39,-30.05000116303563,-23.80666753195692,-4.000000008381903,4.29940389047856
