Generation,Min,Mean,Max,Std
-1,-23.919792528429145,-23.919792528429145,-23.919792528429145,0.0
0,-25.12257037920709,-25.12257037920709,-25.12257037920709,0.0
1,-25.640625949441326,-25.640625949441326,-25.640625949441326,0.0
2,-21.63090358335305,-21.63090358335305,-21.63090358335305,0.0
3,-25.166320397990702,-25.166320397990702,-25.166320397990702,0.0
4,-23.954167547347932,-23.954167547347932,-23.954167547347932,0.0
5,-22.29340360126743,-22.29340360126743,-22.29340360126743,0.0
6,-24.88159817740153,-24.88159817740153,-24.88159817740153,0.0
7,-21.42083409850602,-21.42083409850602,-21.42083409850602,0.0
8,-24.13333421122257,-24.13333421122257,-24.13333421122257,0.0
9,-22.859723066484246,-22.859723066484246,-22.859723066484246,0.0
10,-25.480209261945372,-25.480209261945372,-25.480209261945372,0.0
11,-25.12812593446385,-25.12812593446385,-25.12812593446385,0.0
12,-24.30798701741797,-24.30798701741797,-24.30798701741797,0.0
13,-24.573612014840666,-24.573612014840666,-24.573612014840666,0.0
14,-25.77534817421434,-25.77534817421434,-25.77534817421434,0.0
15,-25.75520928419428,-25.75520928419428,-25.75520928419428,0.0
16,-23.279861952436878,-23.279861952436878,-23.279861952436878,0.0
17,-25.70000094500655,-25.70000094500655,-25.70000094500655,0.0
18,-22.17951471098867,-22.17951471098867,-22.17951471098867,0.0
19,-25.25000091874972,-25.25000091874972,-25.25000091874972,0.0
20,-22.136806340933415,-22.136806340933415,-22.136806340933415,0.0
21,-19.297917354848725,-19.297917354848725,-19.297917354848725,0.0
22,-24.792362020722877,-24.792362020722877,-24.792362020722877,0.0
23,-25.64618150174566,-25.64618150174566,-25.64618150174566,0.0
24,-23.673264764514496,-23.673264764514496,-23.673264764514496,0.0
25,-23.341320302360046,-23.341320302360046,-23.341320302360046,0.0
26,-23.178820284930733,-23.178820284930733,-23.178820284930733,0.0
27,-24.24236200064964,-24.24236200064964,-24.24236200064964,0.0
28,-24.504167556953487,-24.504167556953487,-24.504167556953487,0.0
29,-23.097570312852948,-23.097570312852948,-23.097570312852948,0.0
30,-21.465625763602375,-21.465625763602375,-21.465625763602375,0.0
31,-20.695486845746117,-20.695486845746117,-20.695486845746117,0.0
32,-23.896528676925097,-23.896528676925097,-23.896528676925097,0.0
33,-22.669792520238033,-22.669792520238033,-22.669792520238033,0.0
34,-24.959375920256004,-24.959375920256004,-24.959375920256004,0.0
35,-22.231945233898134,-22.231945233898134,-22.231945233898134,0.0
36,-24.98888981389852,-24.98888981389852,-24.98888981389852,0.0
37,-25.55416760891482,-25.55416760891482,-25.55416760891482,0.0
38,-24.696528679794735,-24.696528679794735,-24.696528679794735,0.0
39,-23.670139746934485,-23.670139746934485,-23.670139746934485,0.0
