Generation,Min,Mean,Max,Std
-1,-31.60000122943893,-22.915000830955492,-4.000000008381903,6.001890931269219
0,-30.800001156516373,-22.72500081315326,-4.150000014808029,5.6493327975855685
1,-29.100001083686948,-22.98500082686854,-11.300000321120024,4.385813486722248
2,-31.00000116508454,-23.89750086531664,-5.7000000812113285,4.986142886421838
3,-30.250001132953912,-22.88416749050375,-6.00000009406358,4.848320288010939
4,-29.90000111795962,-23.1550008393048,-5.75000008335337,3.9761237043019086
5,-29.70000110939145,-23.152500836621037,-4.4000000255182385,5.586027629671344
6,-29.300001092255116,-23.590000855363904,-5.1000000555068254,4.405544045505285
7,-30.100001126527786,-23.556667521890873,-3.9000000040978193,5.185994716116254
8,-30.50000114366412,-24.564167559255534,-7.55000016046688,4.138650234764103
9,-30.000001122243702,-23.096667513111605,-3.499999986961484,5.926092735709012
10,-29.600001105107367,-22.70916747978578,-4.100000012665987,6.005563592475212
11,-29.600001105107367,-22.9366674908204,-4.300000021234155,5.466541388175299
12,-30.400001139380038,-24.443334229119742,-4.500000029802322,4.97526793545126
13,-30.40000121667981,-23.33583417329937,-4.100000012665987,6.172844636646529
14,-30.100001126527786,-23.91750086424096,-3.7999999998137355,5.051673413291399
15,-30.600001147948205,-25.250000921970543,-7.700000166893005,3.6836577582266843
16,-47.500001987908036,-25.808334280511676,-17.350000580307096,4.237050725896972
17,-48.45000191265717,-25.216667587853347,-9.40000023972243,4.783902608887549
18,-30.300001135095954,-24.16333421197099,-5.200000059790909,4.54751660985441
19,-28.800001070834696,-25.32666758998918,-4.70000003837049,3.4584254479290157
20,-29.500001100823283,-24.7958342339145,-16.100000526756048,3.0364631444397903
21,-30.50000114366412,-25.624167605955154,-17.600000591017306,2.784593018791801
22,-31.00000116508454,-24.78833423552569,-4.9500000490807,4.504001810105236
23,-30.800001156516373,-23.493334185200123,-5.200000059790909,5.271017417345622
24,-30.300001135095954,-24.720834237119803,-7.0000001369044185,3.734002613047538
25,-29.45000109868124,-24.422500883298927,-7.30000014975667,3.8936854926493756
26,-30.50000114366412,-23.55416751791878,-3.3999999826774,5.399431461158828
27,-29.500001100823283,-23.76166752745242,-3.3999999826774,5.922016851225282
28,-30.50000114366412,-24.076667544812274,-5.550000074785203,5.2844780184794455
29,-29.600001105107367,-24.32916754918794,-6.900000132620335,4.131850970272451
30,-29.800001113675535,-24.18916754319022,-12.800000385381281,3.1520509439061684
31,-30.70000115223229,-24.622500898952907,-5.1000000555068254,4.2725133507454425
32,-30.600001147948205,-23.55750085845745,-7.150000143330544,4.765727000513399
33,-31.400001182220876,-23.112500832330745,-4.4000000255182385,6.02167378780094
34,-32.60000123362988,-24.7233342333852,-10.800000299699605,3.5708831738860702
35,-29.800001113675535,-24.523334226105362,-7.450000156182796,3.764731957589714
36,-30.300001135095954,-24.117500876029954,-4.000000008381903,5.60446888301751
37,-32.20000121649355,-25.094167582605344,-10.850000301841646,3.381655210025978
38,-29.15000108582899,-24.560834230932716,-9.300000235438347,3.371314073933668
39,-30.250001132953912,-24.10833420639392,-3.6999999955296516,4.713271948965511
