Generation,Min,Mean,Max,Std
-1,-20.26423681975575,-20.26423681975575,-20.26423681975575,0.0
0,-22.844445260138148,-22.844445260138148,-22.844445260138148,0.0
1,-25.062153705926093,-25.062153705926093,-25.062153705926093,0.0
2,-24.679514793666183,-24.679514793666183,-24.679514793666183,0.0
3,-25.227431501252187,-25.227431501252187,-25.227431501252187,0.0
4,-22.095139696906298,-22.095139696906298,-22.095139696906298,0.0
5,-23.846875869106345,-23.846875869106345,-23.846875869106345,0.0
6,-22.296181372454157,-22.296181372454157,-22.296181372454157,0.0
7,-21.784375780747116,-21.784375780747116,-21.784375780747116,0.0
8,-24.68645923491891,-24.68645923491891,-24.68645923491891,0.0
9,-24.48402867766951,-24.48402867766951,-24.48402867766951,0.0
10,-25.34861203757464,-25.34861203757464,-25.34861203757464,0.0
11,-20.4913201593283,-20.4913201593283,-20.4913201593283,0.0
12,-24.25416756717863,-24.25416756717863,-24.25416756717863,0.0
13,-25.20277870148291,-25.20277870148291,-25.20277870148291,0.0
14,-26.29548708162878,-26.29548708162878,-26.29548708162878,0.0
15,-23.96354253030343,-23.96354253030343,-23.96354253030343,0.0
16,-26.85347321664449,-26.85347321664449,-26.85347321664449,0.0
17,-22.812153595577303,-22.812153595577303,-22.812153595577303,0.0
18,-24.23472310096582,-24.23472310096582,-24.23472310096582,0.0
19,-23.842014754297754,-23.842014754297754,-23.842014754297754,0.0
20,-23.272223080666866,-23.272223080666866,-23.272223080666866,0.0
21,-24.976042577169007,-24.976042577169007,-24.976042577169007,0.0
22,-23.975695329537203,-23.975695329537203,-23.975695329537203,0.0
23,-24.468403677000122,-24.468403677000122,-24.468403677000122,0.0
24,-23.47847307554588,-23.47847307554588,-23.47847307554588,0.0
25,-24.07916753874613,-24.07916753874613,-24.07916753874613,0.0
26,-24.10486201569438,-24.10486201569438,-24.10486201569438,0.0
27,-21.013889626160054,-21.013889626160054,-21.013889626160054,0.0
28,-23.97048700644842,-23.97048700644842,-23.97048700644842,0.0
29,-23.345834208888444,-23.345834208888444,-23.345834208888444,0.0
30,-25.245834290286037,-25.245834290286037,-25.245834290286037,0.0
31,-24.351736998356902,-24.351736998356902,-24.351736998356902,0.0
32,-22.529167496767414,-22.529167496767414,-22.529167496767414,0.0
33,-21.56632021584988,-21.56632021584988,-21.56632021584988,0.0
34,-22.275348034470678,-22.275348034470678,-22.275348034470678,0.0
35,-21.632986927243312,-21.632986927243312,-21.632986927243312,0.0
36,-23.035764730225008,-23.035764730225008,-23.035764730225008,0.0
37,-22.44861191682543,-22.44861191682543,-22.44861191682543,0.0
38,-23.282986963038436,-23.282986963038436,-23.282986963038436,0.0
39,-23.413889739445747,-23.413889739445747,-23.413889739445747,0.0
