Generation,Min,Mean,Max,Std
-1,-31.250001330394298,-23.667500892180637,-7.800000171177089,4.088457765820405
0,-29.4000010965392,-23.026667535879337,-8.000000179745257,4.334930658368731
1,-29.900001156609505,-21.32666746949156,-6.100000098347664,4.827503582615983
2,-29.300001092255116,-21.18750078722369,-9.650000289082527,4.561493226224148
3,-28.90000107511878,-20.680834122017647,-7.1500003365799785,4.9378986492545875
4,-28.700001066550612,-20.46083410293019,-6.400000111199915,5.235138628477934
5,-30.70000115223229,-21.13416747157462,-7.30000014975667,5.6016033535581915
6,-29.550001218914986,-21.899167508189567,-9.000000222586095,4.720500617621895
7,-31.20000117365271,-23.2008342164491,-13.700000423938036,3.523959701419553
8,-29.70000110939145,-23.298334229000222,-4.800000543706119,3.947741740635382
9,-30.550001223105937,-23.48333422857492,-13.200000441167504,3.6488203572434084
10,-30.300001135095954,-22.230834161389307,-5.900000089779496,4.13971726704454
11,-29.70000110939145,-22.320000859575035,-10.70000029541552,3.934285366144563
12,-32.35000133886933,-22.856667540214644,-5.800000085495412,4.056255303580208
13,-28.200001045130193,-22.757500860925454,-7.700000166893005,3.9195433525562975
14,-30.80000119516626,-23.557500898418947,-6.550000117626041,3.973053419209869
15,-36.8000017227605,-22.591667543010164,-5.500000072643161,4.828605665750156
16,-30.50000114366412,-23.885000924688452,-9.90000026114285,3.5177563025380287
17,-29.450001137331128,-23.057500897611803,-7.6000001626089215,3.7534188608151644
18,-31.40000125952065,-24.872500941871355,-17.000000565312803,3.262392197754512
19,-30.000001122243702,-24.34250093526983,-13.750000464729965,3.1138645945814236
20,-30.900001160800457,-24.293334265852657,-16.100000681355596,3.027656893377791
21,-42.90000175219029,-23.476667569352625,-5.600000076927245,5.762497300579469
22,-42.300001765135676,-24.206667604491425,-3.6999999955296516,4.998487211713487
23,-29.800001113675535,-23.62416756278835,-13.000000393949449,3.3210377574169523
24,-33.65000131726265,-23.45666755239169,-6.500000115483999,5.0425894003985094
25,-29.500001100823283,-24.470000945885356,-10.000000535976142,3.2985881981517178
26,-38.300001671072096,-24.330834273877553,-6.100000098347664,5.149790609017315
27,-37.50000155949965,-23.870000896967635,-10.800000299699605,4.609683843260045
28,-30.700001229532063,-24.30916759922014,-9.750000254716724,3.4692278696288397
29,-40.4500017631799,-24.23666760319999,-10.750000374857336,4.4106205672059495
30,-29.600001105107367,-24.428334263906194,-3.6999999955296516,3.8962201953786035
31,-29.300001092255116,-23.66583424791849,-6.400000111199915,4.757813838668532
32,-47.80000211670995,-24.099167579916926,-10.650000293273479,5.323583711836421
33,-43.000002027023584,-24.94833430677342,-12.400000368244946,4.417804742859512
34,-29.750001188833266,-24.490000938344746,-17.65000067045912,3.0266016215250193
35,-30.150001205969602,-24.229167604167014,-10.70000029541552,3.387160831023856
36,-29.900001272559166,-24.019167580998815,-4.100000012665987,4.0729709519926764
37,-30.400001139380038,-23.63333422469441,-5.800000085495412,4.228333835734562
38,-30.20000113081187,-24.824167610976534,-6.00000009406358,3.6998930672650956
39,-29.4000010965392,-24.57416762340969,-11.20000031683594,3.519522955332671
