Generation,Min,Mean,Max,Std
-1,-25.008334248708305,-25.008334248708305,-25.008334248708305,0.0
0,-25.210417594188282,-25.210417594188282,-25.210417594188282,0.0
1,-22.24305634897448,-22.24305634897448,-22.24305634897448,0.0
2,-23.805903641639613,-23.805903641639613,-23.805903641639613,0.0
3,-23.965625874193695,-23.965625874193695,-23.965625874193695,0.0
4,-24.584028671485914,-24.584028671485914,-24.584028671485914,0.0
5,-24.195139769425925,-24.195139769425925,-24.195139769425925,0.0
6,-25.852084326599854,-25.852084326599854,-25.852084326599854,0.0
7,-21.70069522160662,-21.70069522160662,-21.70069522160662,0.0
8,-24.434723109533987,-24.434723109533987,-24.434723109533987,0.0
9,-24.053820322416467,-24.053820322416467,-24.053820322416467,0.0
10,-22.86319527838754,-22.86319527838754,-22.86319527838754,0.0
11,-22.12743135099946,-22.12743135099946,-22.12743135099946,0.0
12,-24.8690981316322,-24.8690981316322,-24.8690981316322,0.0
13,-24.122570314894094,-24.122570314894094,-24.122570314894094,0.0
14,-22.135070233237155,-22.135070233237155,-22.135070233237155,0.0
15,-23.210417532931185,-23.210417532931185,-23.210417532931185,0.0
16,-24.091320317044545,-24.091320317044545,-24.091320317044545,0.0
17,-25.24826480756423,-25.24826480756423,-25.24826480756423,0.0
18,-20.640278506021584,-20.640278506021584,-20.640278506021584,0.0
19,-24.232639774521683,-24.232639774521683,-24.232639774521683,0.0
20,-25.290625955382385,-25.290625955382385,-25.290625955382385,0.0
21,-23.85520921675359,-23.85520921675359,-23.85520921675359,0.0
22,-24.195487005619928,-24.195487005619928,-24.195487005619928,0.0
23,-25.5402787438555,-25.5402787438555,-25.5402787438555,0.0
24,-23.984375878486187,-23.984375878486187,-23.984375878486187,0.0
25,-20.95034796026044,-20.95034796026044,-20.95034796026044,0.0
26,-25.144792587887626,-25.144792587887626,-25.144792587887626,0.0
27,-21.759722991445514,-21.759722991445514,-21.759722991445514,0.0
28,-23.303125842322416,-23.303125842322416,-23.303125842322416,0.0
29,-26.13715373802309,-26.13715373802309,-26.13715373802309,0.0
30,-24.775348131105094,-24.775348131105094,-24.775348131105094,0.0
31,-24.559375906608896,-24.559375906608896,-24.559375906608896,0.0
32,-23.946528658131783,-23.946528658131783,-23.946528658131783,0.0
33,-23.062500825035386,-23.062500825035386,-23.062500825035386,0.0
34,-23.6121536333392,-23.6121536333392,-23.6121536333392,0.0
35,-20.30173705812518,-20.30173705812518,-20.30173705812518,0.0
36,-23.711806408407735,-23.711806408407735,-23.711806408407735,0.0
37,-21.7968759728117,-21.7968759728117,-21.7968759728117,0.0
38,-22.963195272203947,-22.963195272203947,-22.963195272203947,0.0
39,-22.909028606705963,-22.909028606705963,-22.909028606705963,0.0
