Generation,Min,Mean,Max,Std
-1,-25.191667582917336,-25.191667582917336,-25.191667582917336,0.0
0,-20.462500713649206,-20.462500713649206,-20.462500713649206,0.0
1,-20.600000729202293,-20.600000729202293,-20.600000729202293,0.0
2,-19.129167345740523,-19.129167345740523,-19.129167345740523,0.0
3,-16.05000052783483,-16.05000052783483,-16.05000052783483,0.0
4,-13.266667078481987,-13.266667078481987,-13.266667078481987,0.0
5,-13.87500048285195,-13.87500048285195,-13.87500048285195,0.0
6,-17.820833943473797,-17.820833943473797,-17.820833943473797,0.0
7,-9.12083356109603,-9.12083356109603,-9.12083356109603,0.0
8,-11.145833647848727,-11.145833647848727,-11.145833647848727,0.0
9,-8.745833567576483,-8.745833567576483,-8.745833567576483,0.0
10,-7.1916668117822455,-7.1916668117822455,-7.1916668117822455,0.0
11,-8.570833553637689,-8.570833553637689,-8.570833553637689,0.0
12,-6.6291668262177454,-6.6291668262177454,-6.6291668262177454,0.0
13,-8.033333514506618,-8.033333514506618,-8.033333514506618,0.0
14,-7.841666878278677,-7.841666878278677,-7.841666878278677,0.0
15,-8.233333548841378,-8.233333548841378,-8.233333548841378,0.0
16,-3.7791667042377717,-3.7791667042377717,-3.7791667042377717,0.0
17,-5.633333424571902,-5.633333424571902,-5.633333424571902,0.0
18,-7.4083335102768615,-7.4083335102768615,-7.4083335102768615,0.0
19,-8.975000240840018,-8.975000240840018,-8.975000240840018,0.0
20,-8.700000216175491,-8.700000216175491,-8.700000216175491,0.0
21,-11.2500003350821,-11.2500003350821,-11.2500003350821,0.0
22,-3.9500000384481004,-3.9500000384481004,-3.9500000384481004,0.0
23,-9.158333591689976,-9.158333591689976,-9.158333591689976,0.0
24,-5.270833428367041,-5.270833428367041,-5.270833428367041,0.0
25,-7.779166878705534,-7.779166878705534,-7.779166878705534,0.0
26,-12.704167076929783,-12.704167076929783,-12.704167076929783,0.0
27,-12.708333759879073,-12.708333759879073,-12.708333759879073,0.0
28,-10.466666974631758,-10.466666974631758,-10.466666974631758,0.0
29,-3.0583333400233337,-3.0583333400233337,-3.0583333400233337,0.0
30,-4.812500097944091,-4.812500097944091,-4.812500097944091,0.0
31,-6.900000180816278,-6.900000180816278,-6.900000180816278,0.0
32,-12.516667072117949,-12.516667072117949,-12.516667072117949,0.0
33,-8.258333537029102,-8.258333537029102,-8.258333537029102,0.0
34,-4.725000052324806,-4.725000052324806,-4.725000052324806,0.0
35,-2.883333338967835,-2.883333338967835,-2.883333338967835,0.0
36,-11.93750039030177,-11.93750039030177,-11.93750039030177,0.0
37,-10.504167018109001,-10.504167018109001,-10.504167018109001,0.0
38,-13.475000443286262,-13.475000443286262,-13.475000443286262,0.0
39,-12.262500420329161,-12.262500420329161,-12.262500420329161,0.0
