Generation,Min,Mean,Max,Std
-1,-21.36666742549278,-21.36666742549278,-21.36666742549278,0.0
0,-22.583334163607407,-22.583334163607407,-22.583334163607407,0.0
1,-21.237500762954976,-21.237500762954976,-21.237500762954976,0.0
2,-15.412500497302972,-15.412500497302972,-15.412500497302972,0.0
3,-16.033333892545972,-16.033333892545972,-16.033333892545972,0.0
4,-9.158333578806682,-9.158333578806682,-9.158333578806682,0.0
5,-11.083333664496118,-11.083333664496118,-11.083333664496118,0.0
6,-11.116666986374184,-11.116666986374184,-11.116666986374184,0.0
7,-9.612500287475996,-9.612500287475996,-9.612500287475996,0.0
8,-8.03750021678085,-8.03750021678085,-8.03750021678085,0.0
9,-10.44583361786014,-10.44583361786014,-10.44583361786014,0.0
10,-8.220833522539275,-8.220833522539275,-8.220833522539275,0.0
11,-9.441666982136667,-9.441666982136667,-9.441666982136667,0.0
12,-13.554167097240375,-13.554167097240375,-13.554167097240375,0.0
13,-13.7083337608492,-13.7083337608492,-13.7083337608492,0.0
14,-8.008333542423012,-8.008333542423012,-8.008333542423012,0.0
15,-8.791666893210882,-8.791666893210882,-8.791666893210882,0.0
16,-8.279166884138249,-8.279166884138249,-8.279166884138249,0.0
17,-5.079166740605918,-5.079166740605918,-5.079166740605918,0.0
18,-8.262500213536745,-8.262500213536745,-8.262500213536745,0.0
19,-4.791666737951648,-4.791666737951648,-4.791666737951648,0.0
20,-4.041666789329611,-4.041666789329611,-4.041666789329611,0.0
21,-12.062500530582232,-12.062500530582232,-12.062500530582232,0.0
22,-3.233333553071134,-3.233333553071134,-3.233333553071134,0.0
23,-11.104167191505743,-11.104167191505743,-11.104167191505743,0.0
24,-6.01250032603275,-6.01250032603275,-6.01250032603275,0.0
25,-6.066667049541138,-6.066667049541138,-6.066667049541138,0.0
26,-4.262500331698296,-4.262500331698296,-4.262500331698296,0.0
27,-9.645833908657854,-9.645833908657854,-9.645833908657854,0.0
28,-2.1010418967343867,-2.1010418967343867,-2.1010418967343867,0.0
29,-3.82916693482548,-3.82916693482548,-3.82916693482548,0.0
30,-10.691667222262671,-10.691667222262671,-10.691667222262671,0.0
31,-5.041666903028575,-5.041666903028575,-5.041666903028575,0.0
32,-1.4583335571999971,-1.4583335571999971,-1.4583335571999971,0.0
33,-1.89583357629211,-1.89583357629211,-1.89583357629211,0.0
34,-6.162500532033543,-6.162500532033543,-6.162500532033543,0.0
35,-5.970833760181752,-5.970833760181752,-5.970833760181752,0.0
36,-8.03333375583558,-8.03333375583558,-8.03333375583558,0.0
37,-8.545833890287517,-8.545833890287517,-8.545833890287517,0.0
38,-8.925000605056994,-8.925000605056994,-8.925000605056994,0.0
39,-4.5833336848688,-4.5833336848688,-4.5833336848688,0.0
