Generation,Min,Mean,Max,Std
-1,-31.100001169368625,-24.87750091116565,-8.800000214017928,4.461113884731533
0,-31.050001167226583,-20.078334043407814,-3.9000000040978193,7.499757908238802
1,-38.20000158948824,-17.345833939205235,-3.1999999741092324,7.509035405523443
2,-31.00000116508454,-15.82333386625008,-3.1999999741092324,8.204214031900792
3,-27.800001027993858,-15.50500051350488,-3.1999999741092324,7.428457429381904
4,-46.40000182483345,-14.027500463090837,-3.2999999783933163,8.310322366699696
5,-28.800001070834696,-12.200000378357556,-3.1999999741092324,7.438940654708296
6,-27.60000101942569,-10.49000030059057,-3.1500000106170774,6.95904597240176
7,-47.90000200504437,-12.020833698838638,-2.800000227522105,10.503798544319034
8,-45.75000191293657,-11.129167000437155,-2.9999999655410647,9.538633674812287
9,-31.20000117365271,-9.02416690508059,-3.0999999698251486,8.145032040435193
10,-30.100001242477447,-9.910833606535258,-2.9999999655410647,9.019137880450398
11,-50.30000199191272,-9.980000273588423,-2.9999999655410647,10.534246986469267
12,-30.300001366995275,-8.344166874683772,-2.9999999655410647,8.603362576256307
13,-49.50000195764005,-9.585000259242952,-1.9000000730156898,11.688817450711175
14,-30.300001366995275,-8.01666686902754,-0.6000000946223736,9.092367465862608
15,-30.600001147948205,-6.7291668202883255,0.1499998215585947,7.507670265341156
16,-50.50000200048089,-6.96666682404466,-0.85000014398247,8.947717340755618
17,-39.950001548510045,-6.950000161173133,-1.1000001160427928,8.306935204874323
18,-49.60000203922391,-8.703333567020794,0.34999979147687554,10.47963097370318
19,-50.20000198762864,-9.910833614265236,-1.000000111758709,13.730392956249537
20,-43.400001734960824,-8.690000222832897,-1.1500001181848347,10.577144832844601
21,-50.50000200048089,-8.746666904166341,-0.900000146124512,10.468058482784151
22,-48.20000190194696,-7.0008334831567485,-1.3000001246109605,10.205789200487642
23,-50.600002004764974,-8.305000233945126,4.799999637063593,12.024103745425597
24,-37.95000146282837,-8.443333582223083,5.1999995382502675,10.672548823764945
25,-49.8000019704923,-8.270833570370451,1.2999996789731085,11.855970481323272
26,-49.70000196620822,-7.141666868142783,11.999999365769327,10.007935400265968
27,-50.10000202199444,-7.25833357576436,11.54999946244061,10.994526216486284
28,-50.100001983344555,-6.410000220305907,12.999999331310391,10.80469762215003
29,-27.200001002289355,-3.747500122943893,19.99999901279807,6.964077047110485
30,-50.20000198762864,-6.782500276109204,20.0999991344288,12.488077425063555
31,-49.8000019704923,-6.539166920112136,16.699999141972512,12.833281000834655
32,-50.100001983344555,-6.540000243818698,9.449999565724283,11.79669062198979
33,-48.100002052262425,-5.31333354463956,11.899999438785017,10.278395443376173
34,-49.8000019704923,-7.434166948148049,17.049999235663563,12.304841892636324
35,-47.60000187624246,-6.468333574772502,11.849999553989619,10.658201293071127
36,-50.50000200048089,-2.7650002114552383,13.949999333359301,9.931697300087652
37,-50.100001983344555,-5.161666967797403,28.09999893885106,13.656520012497625
38,-28.450001055840403,-3.7486669366403174,17.899999194778502,10.819743917065146
39,-40.80000158492476,-5.794166965285937,16.49999940674752,11.80167420731609
