Generation,Min,Mean,Max,Std
-1,-25.575000961660407,-25.575000961660407,-25.575000961660407,0.0
0,-20.720834080595523,-20.720834080595523,-20.720834080595523,0.0
1,-12.833333755571706,-12.833333755571706,-12.833333755571706,0.0
2,-21.612500791903585,-21.612500791903585,-21.612500791903585,0.0
3,-18.912500653687555,-18.912500653687555,-18.912500653687555,0.0
4,-18.754167342558503,-18.754167342558503,-18.754167342558503,0.0
5,-17.758333944017068,-17.758333944017068,-17.758333944017068,0.0
6,-12.291667059257938,-12.291667059257938,-12.291667059257938,0.0
7,-16.533333920524456,-16.533333920524456,-16.533333920524456,0.0
8,-11.566667002431737,-11.566667002431737,-11.566667002431737,0.0
9,-8.42916700306038,-8.42916700306038,-8.42916700306038,0.0
10,-12.100000365055166,-12.100000365055166,-12.100000365055166,0.0
11,-9.96666693710722,-9.96666693710722,-9.96666693710722,0.0
12,-8.283333534879299,-8.283333534879299,-8.283333534879299,0.0
13,-10.604166957976608,-10.604166957976608,-10.604166957976608,0.0
14,-11.225000343673551,-11.225000343673551,-11.225000343673551,0.0
15,-11.725000345769027,-11.725000345769027,-11.725000345769027,0.0
16,-7.6000001626089215,-7.6000001626089215,-7.6000001626089215,0.0
17,-10.55000029221022,-10.55000029221022,-10.55000029221022,0.0
18,-9.041666907141916,-9.041666907141916,-9.041666907141916,0.0
19,-10.912500323844142,-10.912500323844142,-10.912500323844142,0.0
20,-17.091667268114787,-17.091667268114787,-17.091667268114787,0.0
21,-10.487500334624201,-10.487500334624201,-10.487500334624201,0.0
22,-7.254166837005566,-7.254166837005566,-7.254166837005566,0.0
23,-8.200000191534249,-8.200000191534249,-8.200000191534249,0.0
24,-9.416666961857118,-9.416666961857118,-9.416666961857118,0.0
25,-16.145833891040336,-16.145833891040336,-16.145833891040336,0.0
26,-9.008333578822203,-9.008333578822203,-9.008333578822203,0.0
27,-7.100000166955094,-7.100000166955094,-7.100000166955094,0.0
28,-4.8625000743195415,-4.8625000743195415,-4.8625000743195415,0.0
29,-10.154166977231702,-10.154166977231702,-10.154166977231702,0.0
30,-8.616666911363913,-8.616666911363913,-8.616666911363913,0.0
31,-12.729167052234212,-12.729167052234212,-12.729167052234212,0.0
32,-7.8375001888877405,-7.8375001888877405,-7.8375001888877405,0.0
33,-5.425000082313393,-5.425000082313393,-5.425000082313393,0.0
34,-13.11250041165234,-13.11250041165234,-13.11250041165234,0.0
35,-11.841667049642032,-11.841667049642032,-11.841667049642032,0.0
36,-3.024999992378677,-3.024999992378677,-3.024999992378677,0.0
37,-12.491667054942809,-12.491667054942809,-12.491667054942809,0.0
38,-7.741666864332122,-7.741666864332122,-7.741666864332122,0.0
39,-5.175000078044832,-5.175000078044832,-5.175000078044832,0.0
