Generation,Min,Mean,Max,Std
-1,-24.45833424393398,-24.45833424393398,-24.45833424393398,0.0
0,-19.008334004009765,-19.008334004009765,-19.008334004009765,0.0
1,-23.150000877096318,-23.150000877096318,-23.150000877096318,0.0
2,-19.02916734145644,-19.02916734145644,-19.02916734145644,0.0
3,-21.258334087518353,-21.258334087518353,-21.258334087518353,0.0
4,-13.820833842852153,-13.820833842852153,-13.820833842852153,0.0
5,-11.125000352272764,-11.125000352272764,-11.125000352272764,0.0
6,-15.795833863162747,-15.795833863162747,-15.795833863162747,0.0
7,-10.712500299171856,-10.712500299171856,-10.712500299171856,0.0
8,-9.820833616851209,-9.820833616851209,-9.820833616851209,0.0
9,-9.766666970409764,-9.766666970409764,-9.766666970409764,0.0
10,-9.300000241879994,-9.300000241879994,-9.300000241879994,0.0
11,-12.058333696603464,-12.058333696603464,-12.058333696603464,0.0
12,-6.420833471192357,-6.420833471192357,-6.420833471192357,0.0
13,-12.650000462696577,-12.650000462696577,-12.650000462696577,0.0
14,-18.26250066127007,-18.26250066127007,-18.26250066127007,0.0
15,-9.283333584161786,-9.283333584161786,-9.283333584161786,0.0
16,-12.54166707318897,-12.54166707318897,-12.54166707318897,0.0
17,-11.47500032861717,-11.47500032861717,-11.47500032861717,0.0
18,-9.770833624371638,-9.770833624371638,-9.770833624371638,0.0
19,-10.820833698341934,-10.820833698341934,-10.820833698341934,0.0
20,-5.566666764711651,-5.566666764711651,-5.566666764711651,0.0
21,-5.166666776562731,-5.166666776562731,-5.166666776562731,0.0
22,-5.07083344234464,-5.07083344234464,-5.07083344234464,0.0
23,-11.8958336993043,-11.8958336993043,-11.8958336993043,0.0
24,-3.1458333276677877,-3.1458333276677877,-3.1458333276677877,0.0
25,-11.137500343145803,-11.137500343145803,-11.137500343145803,0.0
26,-5.291666743267949,-5.291666743267949,-5.291666743267949,0.0
27,-7.162500169632646,-7.162500169632646,-7.162500169632646,0.0
28,-5.37083341976783,-5.37083341976783,-5.37083341976783,0.0
29,-16.316667260679726,-16.316667260679726,-16.316667260679726,0.0
30,-19.250000748666935,-19.250000748666935,-19.250000748666935,0.0
31,-4.295833399480519,-4.295833399480519,-4.295833399480519,0.0
32,-9.625000297673978,-9.625000297673978,-9.625000297673978,0.0
33,-8.02916693140287,-8.02916693140287,-8.02916693140287,0.0
34,-14.658333840197884,-14.658333840197884,-14.658333840197884,0.0
35,-3.7750001145759597,-3.7750001145759597,-3.7750001145759597,0.0
36,-5.554166905543146,-5.554166905543146,-5.554166905543146,0.0
37,-11.654167189534443,-11.654167189534443,-11.654167189534443,0.0
38,-4.712500138518711,-4.712500138518711,-4.712500138518711,0.0
39,-6.995833511697128,-6.995833511697128,-6.995833511697128,0.0
