Generation,Min,Mean,Max,Std
-1,-24.962500912874628,-24.962500912874628,-24.962500912874628,0.0
0,-22.829167488147505,-22.829167488147505,-22.829167488147505,0.0
1,-24.229167561007973,-24.229167561007973,-24.229167561007973,0.0
2,-11.141667006770149,-11.141667006770149,-11.141667006770149,0.0
3,-14.895833882464407,-14.895833882464407,-14.895833882464407,0.0
4,-9.350000279334685,-9.350000279334685,-9.350000279334685,0.0
5,-12.9291670769065,-12.9291670769065,-12.9291670769065,0.0
6,-15.083333826197,-15.083333826197,-15.083333826197,0.0
7,-10.187500324992774,-10.187500324992774,-10.187500324992774,0.0
8,-9.537500245613046,-9.537500245613046,-9.537500245613046,0.0
9,-13.383333750146752,-13.383333750146752,-13.383333750146752,0.0
10,-5.966666807614577,-5.966666807614577,-5.966666807614577,0.0
11,-8.41666688680804,-8.41666688680804,-8.41666688680804,0.0
12,-9.479166980638789,-9.479166980638789,-9.479166980638789,0.0
13,-13.500000434694812,-13.500000434694812,-13.500000434694812,0.0
14,-9.091666934934134,-9.091666934934134,-9.091666934934134,0.0
15,-4.987500108662061,-4.987500108662061,-4.987500108662061,0.0
16,-5.175000107032247,-5.175000107032247,-5.175000107032247,0.0
17,-9.250000255842073,-9.250000255842073,-9.250000255842073,0.0
18,-3.237500001482355,-3.237500001482355,-3.237500001482355,0.0
19,-6.050000141297157,-6.050000141297157,-6.050000141297157,0.0
20,-8.24166690185666,-8.24166690185666,-8.24166690185666,0.0
21,-4.820833438076079,-4.820833438076079,-4.820833438076079,0.0
22,-8.033333562818976,-8.033333562818976,-8.033333562818976,0.0
23,-9.075000306086926,-9.075000306086926,-9.075000306086926,0.0
24,-8.300000218364099,-8.300000218364099,-8.300000218364099,0.0
25,-8.36250026935401,-8.36250026935401,-8.36250026935401,0.0
26,-15.733333905576728,-15.733333905576728,-15.733333905576728,0.0
27,-7.816666999366134,-7.816666999366134,-7.816666999366134,0.0
28,-6.045833522764345,-6.045833522764345,-6.045833522764345,0.0
29,-10.566667014344906,-10.566667014344906,-10.566667014344906,0.0
30,-7.095833609385106,-7.095833609385106,-7.095833609385106,0.0
31,-6.083333582112876,-6.083333582112876,-6.083333582112876,0.0
32,-1.8375002243556082,-1.8375002243556082,-1.8375002243556082,0.0
33,-5.279167089882928,-5.279167089882928,-5.279167089882928,0.0
34,-4.7250003609418245,-4.7250003609418245,-4.7250003609418245,0.0
35,1.428958081252252,1.428958081252252,1.428958081252252,0.0
36,1.9499997061211616,1.9499997061211616,1.9499997061211616,0.0
37,0.5499996753642336,0.5499996753642336,0.5499996753642336,0.0
38,3.774999614300517,3.774999614300517,3.774999614300517,0.0
39,-2.5191672456761203,-2.5191672456761203,-2.5191672456761203,0.0
