Generation,Min,Mean,Max,Std
-1,-22.408334136785317,-22.408334136785317,-22.408334136785317,0.0
0,-23.33750084003744,-23.33750084003744,-23.33750084003744,0.0
1,-17.591667270210262,-17.591667270210262,-17.591667270210262,0.0
2,-23.487500878671806,-23.487500878671806,-23.487500878671806,0.0
3,-19.954167358538445,-19.954167358538445,-19.954167358538445,0.0
4,-16.108333863667212,-16.108333863667212,-16.108333863667212,0.0
5,-15.650000507477671,-15.650000507477671,-15.650000507477671,0.0
6,-15.520833841719044,-15.520833841719044,-15.520833841719044,0.0
7,-10.875000309354315,-10.875000309354315,-10.875000309354315,0.0
8,-10.158333608764224,-10.158333608764224,-10.158333608764224,0.0
9,-12.154167024379907,-12.154167024379907,-12.154167024379907,0.0
10,-11.675000388718521,-11.675000388718521,-11.675000388718521,0.0
11,-9.000000235469392,-9.000000235469392,-9.000000235469392,0.0
12,-10.279166947274158,-10.279166947274158,-10.279166947274158,0.0
13,-9.725000256866528,-9.725000256866528,-9.725000256866528,0.0
14,-7.170833480777219,-7.170833480777219,-7.170833480777219,0.0
15,-7.941666892225233,-7.941666892225233,-7.941666892225233,0.0
16,-8.020833513971107,-8.020833513971107,-8.020833513971107,0.0
17,-12.191667032428086,-12.191667032428086,-12.191667032428086,0.0
18,-6.587500128895044,-6.587500128895044,-6.587500128895044,0.0
19,-6.970833478650699,-6.970833478650699,-6.970833478650699,0.0
20,-5.9083334331323085,-5.9083334331323085,-5.9083334331323085,0.0
21,-5.050000072689727,-5.050000072689727,-5.050000072689727,0.0
22,-3.5541666720528156,-3.5541666720528156,-3.5541666720528156,0.0
23,-5.22500006086193,-5.22500006086193,-5.22500006086193,0.0
24,-7.554166836974521,-7.554166836974521,-7.554166836974521,0.0
25,-3.329166665634451,-3.329166665634451,-3.329166665634451,0.0
26,-4.120833350112662,-4.120833350112662,-4.120833350112662,0.0
27,-7.595833511867871,-7.595833511867871,-7.595833511867871,0.0
28,-6.741666834258164,-6.741666834258164,-6.741666834258164,0.0
29,-3.3916666683120034,-3.3916666683120034,-3.3916666683120034,0.0
30,-4.941666737936127,-4.941666737936127,-4.941666737936127,0.0
31,-6.941666833280276,-6.941666833280276,-6.941666833280276,0.0
32,-6.700000136935462,-6.700000136935462,-6.700000136935462,0.0
33,-10.587500316362517,-10.587500316362517,-10.587500316362517,0.0
34,-11.57500034578455,-11.57500034578455,-11.57500034578455,0.0
35,-8.745833564355658,-8.745833564355658,-8.745833564355658,0.0
36,-12.100000365055166,-12.100000365055166,-12.100000365055166,0.0
37,-9.762500261693882,-9.762500261693882,-9.762500261693882,0.0
38,-7.683333576812099,-7.683333576812099,-7.683333576812099,0.0
39,-9.470833595415266,-9.470833595415266,-9.470833595415266,0.0
