Generation,Min,Mean,Max,Std
-1,-23.175000839517452,-23.175000839517452,-23.175000839517452,0.0
0,-26.179167634885136,-26.179167634885136,-26.179167634885136,0.0
1,-20.554167384242948,-20.554167384242948,-20.554167384242948,0.0
2,-15.295833841742327,-15.295833841742327,-15.295833841742327,0.0
3,-15.325000512879342,-15.325000512879342,-15.325000512879342,0.0
4,-15.166667198529467,-15.166667198529467,-15.166667198529467,0.0
5,-16.15416724716003,-16.15416724716003,-16.15416724716003,0.0
6,-19.79166736768093,-19.79166736768093,-19.79166736768093,0.0
7,-10.020833631861024,-10.020833631861024,-10.020833631861024,0.0
8,-9.904166937650492,-9.904166937650492,-9.904166937650492,0.0
9,-8.954166893730871,-8.954166893730871,-8.954166893730871,0.0
10,-8.13333352523235,-8.13333352523235,-8.13333352523235,0.0
11,-15.591667207074352,-15.591667207074352,-15.591667207074352,0.0
12,-13.037500418101748,-13.037500418101748,-13.037500418101748,0.0
13,-5.804166778107174,-5.804166778107174,-5.804166778107174,0.0
14,-5.733333422414337,-5.733333422414337,-5.733333422414337,0.0
15,-10.408333616253609,-10.408333616253609,-10.408333616253609,0.0
16,-4.266666689693618,-4.266666689693618,-4.266666689693618,0.0
17,-9.10000022687018,-9.10000022687018,-9.10000022687018,0.0
18,-5.225000073745226,-5.225000073745226,-5.225000073745226,0.0
19,-3.3833333152967193,-3.3833333152967193,-3.3833333152967193,0.0
20,-3.2874999875202775,-3.2874999875202775,-3.2874999875202775,0.0
21,-7.070833479713959,-7.070833479713959,-7.070833479713959,0.0
22,-6.979166822003511,-6.979166822003511,-6.979166822003511,0.0
23,-4.995833406923339,-4.995833406923339,-4.995833406923339,0.0
24,-4.2083333731861785,-4.2083333731861785,-4.2083333731861785,0.0
25,-8.579166903432148,-8.579166903432148,-8.579166903432148,0.0
26,-7.900000210890236,-7.900000210890236,-7.900000210890236,0.0
27,-5.125000056577846,-5.125000056577846,-5.125000056577846,0.0
28,-3.7625000143113234,-3.7625000143113234,-3.7625000143113234,0.0
29,-15.320833865359115,-15.320833865359115,-15.320833865359115,0.0
30,-7.166666830036168,-7.166666830036168,-7.166666830036168,0.0
31,-9.233333598123863,-9.233333598123863,-9.233333598123863,0.0
32,-8.083333545636075,-8.083333545636075,-8.083333545636075,0.0
33,-14.63333381980192,-14.63333381980192,-14.63333381980192,0.0
34,-12.100000406925878,-12.100000406925878,-12.100000406925878,0.0
35,-9.687500271364115,-9.687500271364115,-9.687500271364115,0.0
36,-9.916666983277537,-9.916666983277537,-9.916666983277537,0.0
37,-6.775000156252645,-6.775000156252645,-6.775000156252645,0.0
38,-18.304167297513533,-18.304167297513533,-18.304167297513533,0.0
39,-7.016666823610042,-7.016666823610042,-7.016666823610042,0.0
