Generation,Min,Mean,Max,Std
-1,-31.400001182220876,-24.369167548969077,-3.7999999998137355,5.717984240758132
0,-30.50000114366412,-23.496667514167104,-10.300000278279185,3.703319239328642
1,-30.45000114152208,-20.689167390670626,-3.6999999955296516,6.44483730305326
2,-29.450001137331128,-16.43583387576509,-3.3999999826774,7.337950140685465
3,-45.75000179698691,-15.461667168652639,-3.2999999783933163,8.313379966826714
4,-48.65000192122534,-17.459167251650555,-3.2999999783933163,8.860100509118679
5,-49.850001972634345,-16.720000557182356,-3.2999999783933163,9.838412383553909
6,-49.10000194050372,-14.185833784526524,-3.2999999783933163,9.005253909232453
7,-48.20000190194696,-13.96666710396142,-3.2999999783933163,9.202498545097708
8,-48.000001893378794,-13.71416710667157,-2.4000004422850907,10.436603059338767
9,-50.600002004764974,-11.888333688653073,-3.2999999783933163,10.248570935720899
10,-48.800001927651465,-13.490000424603931,-3.0000002747401595,11.208541861203459
11,-48.50000191479921,-9.665000253651913,-3.2999999783933163,8.914021640646205
12,-46.00000180769712,-9.858333594623643,-3.2999999783933163,9.400949674463632
13,-28.35000105155632,-8.640000207807558,-3.2999999783933163,7.7478430431868555
14,-44.25000173272565,-8.782500216489037,-3.2999999783933163,9.388405594766553
15,-50.100001983344555,-9.884166928419534,-3.2999999783933163,12.09053569929851
16,-49.90000197477639,-9.739166926693482,-3.2999999783933163,10.524630654964591
17,-49.8000019704923,-6.7083334577425076,-3.0999999698251486,8.60480119272469
18,-46.40000182483345,-9.108333563137178,-3.0999999698251486,11.059958908488486
19,-31.80000119935721,-8.505833536037244,-2.9999999655410647,9.437669129267706
20,-50.100001983344555,-11.024166979834748,-3.2000000127591193,12.697232829429641
21,-50.70000200904906,-10.814166967617348,-3.0000000041909516,13.123815085033904
22,-50.00000197906047,-9.27166690346785,-2.6500001051463187,11.319398901872882
23,-50.70000200904906,-8.13916685366227,-2.9000000385567546,10.38421559537726
24,-50.50000200048089,-11.025000314492111,-2.9999999655410647,12.591239230738632
25,-49.8000019704923,-7.64000016496672,-2.9999999655410647,10.145782812211996
26,-50.50000200048089,-9.600000252799752,-2.2000001245178282,11.546331077991606
27,-49.600001961924136,-7.820000172033906,-3.0999999698251486,10.09814052538895
28,-50.20000198762864,-12.30583369883243,-3.0500000063329935,13.428940380804667
29,-35.90000137500465,-9.983333599978748,-2.9000000772066414,10.571284931515292
30,-50.70000200904906,-10.614166965490828,-2.1000001202337444,12.938296714149104
31,-49.8000019704923,-8.845000223675743,0.7499997699633241,11.081650841755792
32,-50.100001983344555,-7.348333490958127,-1.1500001954846084,9.438997376020428
33,-41.65000162133947,-8.084166859036001,-0.4000001633539796,10.27681289290092
34,-49.00000193621963,-8.46000021942115,1.1999997119419277,12.087107270303532
35,-49.8000019704923,-7.721666867340294,0.9499997785314918,10.68568153488425
36,-29.800001113675535,-7.269166845354873,4.949999719392508,9.344816632474389
37,-48.000001893378794,-7.1666668370754145,5.449999663513154,10.496958984380887
38,-50.70000200904906,-7.260000176386287,2.549999692477286,11.345094120204019
39,-50.70000200904906,-8.058333551006703,-0.05000018700957298,11.948281983577616
