Generation,Min,Mean,Max,Std
-1,-25.833334312502604,-25.833334312502604,-25.833334312502604,0.0
0,-23.295834178027388,-23.295834178027388,-23.295834178027388,0.0
1,-21.391667429784622,-21.391667429784622,-21.391667429784622,0.0
2,-15.962500524086257,-15.962500524086257,-15.962500524086257,0.0
3,-19.058334035022806,-19.058334035022806,-19.058334035022806,0.0
4,-15.900000527850352,-15.900000527850352,-15.900000527850352,0.0
5,-14.187500457706241,-14.187500457706241,-14.187500457706241,0.0
6,-10.0916669392415,-10.0916669392415,-10.0916669392415,0.0
7,-11.783333691263882,-11.783333691263882,-11.783333691263882,0.0
8,-10.104166942997836,-10.104166942997836,-10.104166942997836,0.0
9,-5.970833426147389,-5.970833426147389,-5.970833426147389,0.0
10,-9.870833593226658,-9.870833593226658,-9.870833593226658,0.0
11,-8.683333542353163,-8.683333542353163,-8.683333542353163,0.0
12,-5.725000088723998,-5.725000088723998,-5.725000088723998,0.0
13,-8.837500267157642,-8.837500267157642,-8.837500267157642,0.0
14,-8.645833563292399,-8.645833563292399,-8.645833563292399,0.0
15,-9.900000290130265,-9.900000290130265,-9.900000290130265,0.0
16,-9.670833607204258,-9.670833607204258,-9.670833607204258,0.0
17,-3.208333327124516,-3.208333327124516,-3.208333327124516,0.0
18,-5.05416673309325,-5.05416673309325,-5.05416673309325,0.0
19,-5.158333407443327,-5.158333407443327,-5.158333407443327,0.0
20,-7.8583335392177105,-7.8583335392177105,-7.8583335392177105,0.0
21,-13.14166710843953,-13.14166710843953,-13.14166710843953,0.0
22,-7.566666885705975,-7.566666885705975,-7.566666885705975,0.0
23,-9.566666913529238,-9.566666913529238,-9.566666913529238,0.0
24,-7.279166838076587,-7.279166838076587,-7.279166838076587,0.0
25,-8.725000255896399,-8.725000255896399,-8.725000255896399,0.0
26,-4.487500038929284,-4.487500038929284,-4.487500038929284,0.0
27,-6.129166904642868,-6.129166904642868,-6.129166904642868,0.0
28,-9.645833651224772,-9.645833651224772,-9.645833651224772,0.0
29,-8.745833612668017,-8.745833612668017,-8.745833612668017,0.0
30,-7.129166886404467,-7.129166886404467,-7.129166886404467,0.0
31,-9.33333361839565,-9.33333361839565,-9.33333361839565,0.0
32,-13.145833759296996,-13.145833759296996,-13.145833759296996,0.0
33,-7.520833653475468,-7.520833653475468,-7.520833653475468,0.0
34,-9.470833804419575,-9.470833804419575,-9.470833804419575,0.0
35,-8.566666992963292,-8.566666992963292,-8.566666992963292,0.0
36,-9.795833657650897,-9.795833657650897,-9.795833657650897,0.0
37,-5.487500216811895,-5.487500216811895,-5.487500216811895,0.0
38,-4.9083336219579605,-4.9083336219579605,-4.9083336219579605,0.0
39,-9.166666967251027,-9.166666967251027,-9.166666967251027,0.0
