Generation,Min,Mean,Max,Std
-1,-24.60833422781434,-24.60833422781434,-24.60833422781434,0.0
0,-15.075000495727485,-15.075000495727485,-15.075000495727485,0.0
1,-23.250000849172164,-23.250000849172164,-23.250000849172164,0.0
2,-19.887500692236546,-19.887500692236546,-19.887500692236546,0.0
3,-16.262500543380156,-16.262500543380156,-16.262500543380156,0.0
4,-16.266667248875212,-16.266667248875212,-16.266667248875212,0.0
5,-16.77083389527009,-16.77083389527009,-16.77083389527009,0.0
6,-10.93333365484917,-10.93333365484917,-10.93333365484917,0.0
7,-9.658333648423044,-9.658333648423044,-9.658333648423044,0.0
8,-16.95416723645758,-16.95416723645758,-16.95416723645758,0.0
9,-7.641666837502271,-7.641666837502271,-7.641666837502271,0.0
10,-6.558333451316382,-6.558333451316382,-6.558333451316382,0.0
11,-10.775000301849408,-10.775000301849408,-10.775000301849408,0.0
12,-5.6291667448434355,-5.6291667448434355,-5.6291667448434355,0.0
13,-10.658333630184643,-10.658333630184643,-10.658333630184643,0.0
14,-9.829166937658252,-9.829166937658252,-9.829166937658252,0.0
15,-7.2875001717669265,-7.2875001717669265,-7.2875001717669265,0.0
16,-13.008333740523085,-13.008333740523085,-13.008333740523085,0.0
17,-10.620833625357287,-10.620833625357287,-10.620833625357287,0.0
18,-7.087500163198759,-7.087500163198759,-7.087500163198759,0.0
19,-13.458333775905581,-13.458333775905581,-13.458333775905581,0.0
20,-8.541666892163144,-8.541666892163144,-8.541666892163144,0.0
21,-11.53750036994461,-11.53750036994461,-11.53750036994461,0.0
22,-9.704166919419853,-9.704166919419853,-9.704166919419853,0.0
23,-8.662500233893903,-8.662500233893903,-8.662500233893903,0.0
24,-10.829166990161562,-10.829166990161562,-10.829166990161562,0.0
25,-6.341666788250829,-6.341666788250829,-6.341666788250829,0.0
26,-3.1416666576017938,-3.1416666576017938,-3.1416666576017938,0.0
27,-12.520833726079823,-12.520833726079823,-12.520833726079823,0.0
28,-4.9083334321621805,-4.9083334321621805,-4.9083334321621805,0.0
29,-7.754166848763513,-7.754166848763513,-7.754166848763513,0.0
30,-6.0125001396906255,-6.0125001396906255,-6.0125001396906255,0.0
31,-11.987500373118868,-11.987500373118868,-11.987500373118868,0.0
32,-8.645833569734046,-8.645833569734046,-8.645833569734046,0.0
33,-6.4833334738699095,-6.4833334738699095,-6.4833334738699095,0.0
34,-11.100000335097624,-11.100000335097624,-11.100000335097624,0.0
35,-5.508333448204212,-5.508333448204212,-5.508333448204212,0.0
36,-11.54166703678978,-11.54166703678978,-11.54166703678978,0.0
37,-21.091667413711548,-21.091667413711548,-21.091667413711548,0.0
38,-7.937500225380063,-7.937500225380063,-7.937500225380063,0.0
39,-12.883333748051276,-12.883333748051276,-12.883333748051276,0.0
