Generation,Min,Mean,Max,Std
-1,-23.700000884554658,-23.700000884554658,-23.700000884554658,0.0
0,-21.325000789249316,-21.325000789249316,-21.325000789249316,0.0
1,-18.120833962767694,-18.120833962767694,-18.120833962767694,0.0
2,-21.133334104709018,-21.133334104709018,-21.133334104709018,0.0
3,-21.129167418538902,-21.129167418538902,-21.129167418538902,0.0
4,-19.44583403885675,-19.44583403885675,-19.44583403885675,0.0
5,-16.725000598623108,-16.725000598623108,-16.725000598623108,0.0
6,-12.804167065109747,-12.804167065109747,-12.804167065109747,0.0
7,-15.712500542247048,-15.712500542247048,-15.712500542247048,0.0
8,-13.604167102603242,-13.604167102603242,-13.604167102603242,0.0
9,-11.087500363549529,-11.087500363549529,-11.087500363549529,0.0
10,-13.56250045025566,-13.56250045025566,-13.56250045025566,0.0
11,-8.63750022960206,-8.63750022960206,-8.63750022960206,0.0
12,-8.841666885690453,-8.841666885690453,-8.841666885690453,0.0
13,-7.337500167467321,-7.337500167467321,-7.337500167467321,0.0
14,-7.637500180319573,-7.637500180319573,-7.637500180319573,0.0
15,-10.929167004108118,-10.929167004108118,-10.929167004108118,0.0
16,-9.833333598061776,-9.833333598061776,-9.833333598061776,0.0
17,-10.550000288989395,-10.550000288989395,-10.550000288989395,0.0
18,-6.916666809663487,-6.916666809663487,-6.916666809663487,0.0
19,-9.683333601298122,-9.683333601298122,-9.683333601298122,0.0
20,-11.612500334507786,-11.612500334507786,-11.612500334507786,0.0
21,-7.445833544091632,-7.445833544091632,-7.445833544091632,0.0
22,-6.183333461017658,-6.183333461017658,-6.183333461017658,0.0
23,-9.125000250486968,-9.125000250486968,-9.125000250486968,0.0
24,-12.079167021166844,-12.079167021166844,-12.079167021166844,0.0
25,-16.250000552507117,-16.250000552507117,-16.250000552507117,0.0
26,-7.2500001669395715,-7.2500001669395715,-7.2500001669395715,0.0
27,-12.333333705163872,-12.333333705163872,-12.333333705163872,0.0
28,-8.125000197983658,-8.125000197983658,-8.125000197983658,0.0
29,-9.233333572357273,-9.233333572357273,-9.233333572357273,0.0
30,-11.07500031470166,-11.07500031470166,-11.07500031470166,0.0
31,-10.775000317953527,-10.775000317953527,-10.775000317953527,0.0
32,-7.475000179799584,-7.475000179799584,-7.475000179799584,0.0
33,-10.275000319078876,-10.275000319078876,-10.275000319078876,0.0
34,-5.029166738463876,-5.029166738463876,-5.029166738463876,0.0
35,-13.116667091380805,-13.116667091380805,-13.116667091380805,0.0
36,-8.245833575143479,-8.245833575143479,-8.245833575143479,0.0
37,-5.291666765813716,-5.291666765813716,-5.291666765813716,0.0
38,-7.454166848794557,-7.454166848794557,-7.454166848794557,0.0
39,-7.520833531200576,-7.520833531200576,-7.520833531200576,0.0
