Generation,Min,Mean,Max,Std
-1,-23.825000857701525,-23.825000857701525,-23.825000857701525,0.0
0,-17.770833992864937,-17.770833992864937,-17.770833992864937,0.0
1,-17.18750058300793,-17.18750058300793,-17.18750058300793,0.0
2,-18.770833997055888,-18.770833997055888,-18.770833997055888,0.0
3,-15.316667159864059,-15.316667159864059,-15.316667159864059,0.0
4,-16.11666721024085,-16.11666721024085,-16.11666721024085,0.0
5,-15.491667167361205,-15.491667167361205,-15.491667167361205,0.0
6,-13.28750040626619,-13.28750040626619,-13.28750040626619,0.0
7,-9.42500026333922,-9.42500026333922,-9.42500026333922,0.0
8,-9.587500247755088,-9.587500247755088,-9.587500247755088,0.0
9,-18.862500651545513,-18.862500651545513,-18.862500651545513,0.0
10,-7.975000194778356,-7.975000194778356,-7.975000194778356,0.0
11,-9.958333596975232,-9.958333596975232,-9.958333596975232,0.0
12,-8.808333547708267,-8.808333547708267,-8.808333547708267,0.0
13,-8.86666692541136,-8.86666692541136,-8.86666692541136,0.0
14,-11.36250041386423,-11.36250041386423,-11.36250041386423,0.0
15,-8.62500023872902,-8.62500023872902,-8.62500023872902,0.0
16,-5.24583342729602,-5.24583342729602,-5.24583342729602,0.0
17,-11.441667032505697,-11.441667032505697,-11.441667032505697,0.0
18,-11.820833683207942,-11.820833683207942,-11.820833683207942,0.0
19,-11.550000405909183,-11.550000405909183,-11.550000405909183,0.0
20,-13.362500428804196,-13.362500428804196,-13.362500428804196,0.0
21,-11.508333663378531,-11.508333663378531,-11.508333663378531,0.0
22,-6.304166799527593,-6.304166799527593,-6.304166799527593,0.0
23,-7.329166853101924,-7.329166853101924,-7.329166853101924,0.0
24,-6.5125001997609315,-6.5125001997609315,-6.5125001997609315,0.0
25,-9.766667057139179,-9.766667057139179,-9.766667057139179,0.0
26,-5.458333481491233,-5.458333481491233,-5.458333481491233,0.0
27,-8.70000036410056,-8.70000036410056,-8.70000036410056,0.0
28,-12.95416709408164,-12.95416709408164,-12.95416709408164,0.0
29,-13.758333798420304,-13.758333798420304,-13.758333798420304,0.0
30,-7.433333537114474,-7.433333537114474,-7.433333537114474,0.0
31,-12.679167079079585,-12.679167079079585,-12.679167079079585,0.0
32,-9.408333647491721,-9.408333647491721,-9.408333647491721,0.0
33,-9.679166985986134,-9.679166985986134,-9.679166985986134,0.0
34,-8.941666922182776,-8.941666922182776,-8.941666922182776,0.0
35,-5.283333480435734,-5.283333480435734,-5.283333480435734,0.0
36,-12.61250053481975,-12.61250053481975,-12.61250053481975,0.0
37,-9.545833617953273,-9.545833617953273,-9.545833617953273,0.0
38,-8.783333652924435,-8.783333652924435,-8.783333652924435,0.0
39,-18.037500625864293,-18.037500625864293,-18.037500625864293,0.0
