Generation,Min,Mean,Max,Std
-1,-30.600001147948205,-25.82083428040302,-7.200000145472586,4.537301994092461
0,-29.300001092255116,-21.527500761851357,-9.300000235438347,4.69594193340123
1,-44.100001726299524,-18.221667293979166,-3.599999991245568,8.55850668842119
2,-46.80000184196979,-18.029167278002326,-3.6999999955296516,8.275397080509228
3,-50.30000199191272,-14.860000477498398,-3.599999991245568,9.146824976517069
4,-48.850001968443394,-15.064167150979241,-3.2999999783933163,10.20768990895873
5,-50.30000199191272,-13.07000040403412,-3.3999999826774,9.890497544405086
6,-49.300001949071884,-14.502500460250303,-3.2999999783933163,10.580656644011857
7,-50.600002004764974,-12.440000370602744,-3.2999999783933163,10.733421007748147
8,-50.400001996196806,-16.512500548937048,-3.2999999783933163,12.276860958889683
9,-31.20000117365271,-13.037500397488476,-3.2999999783933163,9.828532969738648
10,-47.20000185910612,-11.765000342973508,-3.2999999783933163,10.01882146692375
11,-31.400001182220876,-11.85833368030532,-3.2999999783933163,9.123121964116423
12,-49.65000196406618,-12.936667059835356,-3.2999999783933163,11.715210936870776
13,-50.70000200904906,-12.155000362902259,-3.2999999783933163,11.65810819248472
14,-43.0000016791746,-11.279166987538337,-3.2999999783933163,10.239980466155627
15,-49.8000019704923,-10.000000265426934,-3.2999999783933163,9.601771081385802
16,-39.75000153994188,-9.535000247438438,-3.2999999783933163,8.770691625549212
17,-30.50000114366412,-10.938333638959254,-3.2999999783933163,9.510706509285518
18,-50.00000197906047,-11.752500346302986,-3.2999999783933163,10.326053356783756
19,-50.50000200048089,-13.90250043583413,-3.2999999783933163,12.260205205046995
20,-42.550001659896225,-10.78666696579506,-3.2999999783933163,10.051003144529718
21,-32.550001308787614,-9.517500246688723,-3.2999999783933163,9.923276201608573
22,-50.400001996196806,-10.97500030848508,-3.1999999741092324,12.169530435701738
23,-50.600002004764974,-10.575000291348745,-3.2999999783933163,9.422206002029474
24,-44.20000173058361,-11.102500313947287,-3.2999999783933163,10.912227651231463
25,-31.50000118650496,-8.330833530472592,-3.1999999741092324,9.022278794526386
26,-40.95000159135088,-9.135000230946268,-3.2999999783933163,9.731000279541341
27,-49.650002002716064,-9.832500260183588,-3.2999999783933163,10.23799269545129
28,-30.900001160800457,-7.625833498337306,-3.2000000127591193,7.964816157590202
29,-30.350001137237996,-9.089166896937725,-3.2999999783933163,9.625574391012679
30,-50.600002004764974,-10.904166970828859,-3.2999999783933163,12.4038853115288
31,-29.4000010965392,-9.988333604702104,-3.1999999741092324,9.323315112681005
32,-30.400001139380038,-8.129166851945532,-3.1999999741092324,8.072403394005818
33,-29.20000108797103,-9.020000223442912,-3.2999999783933163,9.15877214408377
34,-32.20000121649355,-8.386666862977048,-3.2999999783933163,8.944961099849026
35,-50.600002004764974,-9.094166895219436,-3.1999999741092324,11.15349055724666
36,-30.350001137237996,-8.66833354171055,-3.2999999783933163,9.224853450338436
37,-46.80000184196979,-8.84500021916659,-3.1999999741092324,9.974073904469542
38,-49.600001961924136,-8.251666860414359,-3.1999999741092324,9.975173636751753
39,-50.50000200048089,-10.948333640675992,-3.2999999783933163,11.364000539791942
