Generation,Min,Mean,Max,Std
-1,-25.020834277694423,-25.020834277694423,-25.020834277694423,0.0
0,-21.137500745787595,-21.137500745787595,-21.137500745787595,0.0
1,-20.8750007377627,-20.8750007377627,-20.8750007377627,0.0
2,-16.995833901688457,-16.995833901688457,-16.995833901688457,0.0
3,-19.004167324281298,-19.004167324281298,-19.004167324281298,0.0
4,-17.95416732105271,-17.95416732105271,-17.95416732105271,0.0
5,-14.187500460927064,-14.187500460927064,-14.187500460927064,0.0
6,-14.270833810713762,-14.270833810713762,-14.270833810713762,0.0
7,-22.208334124996327,-22.208334124996327,-22.208334124996327,0.0
8,-14.020833771016138,-14.020833771016138,-14.020833771016138,0.0
9,-9.170833563238071,-9.170833563238071,-9.170833563238071,0.0
10,-13.554167084357081,-13.554167084357081,-13.554167084357081,0.0
11,-8.858333562733606,-8.858333562733606,-8.858333562733606,0.0
12,-5.366666752922659,-5.366666752922659,-5.366666752922659,0.0
13,-8.77916688945455,-8.77916688945455,-8.77916688945455,0.0
14,-13.279167082238322,-13.279167082238322,-13.279167082238322,0.0
15,-13.154167089766512,-13.154167089766512,-13.154167089766512,0.0
16,-9.945833622206314,-9.945833622206314,-9.945833622206314,0.0
17,-15.916667208114328,-15.916667208114328,-15.916667208114328,0.0
18,-18.41666733454137,-18.41666733454137,-18.41666733454137,0.0
19,-9.716666936059482,-9.716666936059482,-9.716666936059482,0.0
20,-18.37083399912808,-18.37083399912808,-18.37083399912808,0.0
21,-7.066666851518676,-7.066666851518676,-7.066666851518676,0.0
22,-10.625000362944169,-10.625000362944169,-10.625000362944169,0.0
23,-8.383333587475741,-8.383333587475741,-8.383333587475741,0.0
24,-5.91666680869336,-5.91666680869336,-5.91666680869336,0.0
25,-11.541667001360716,-11.541667001360716,-11.541667001360716,0.0
26,-13.01666707743425,-13.01666707743425,-13.01666707743425,0.0
27,-8.85000021615997,-8.85000021615997,-8.85000021615997,0.0
28,-8.116666886839084,-8.116666886839084,-8.116666886839084,0.0
29,-13.066667086017938,-13.066667086017938,-13.066667086017938,0.0
30,-7.733333501654367,-7.733333501654367,-7.733333501654367,0.0
31,-11.158333667709181,-11.158333667709181,-11.158333667709181,0.0
32,-11.45416706847027,-11.45416706847027,-11.45416706847027,0.0
33,-11.541667046452252,-11.541667046452252,-11.541667046452252,0.0
34,-4.7583334899197025,-4.7583334899197025,-4.7583334899197025,0.0
35,-8.545833629633611,-8.545833629633611,-8.545833629633611,0.0
36,-11.204166993343582,-11.204166993343582,-11.204166993343582,0.0
37,-9.479166999963732,-9.479166999963732,-9.479166999963732,0.0
38,-8.745833670410017,-8.745833670410017,-8.745833670410017,0.0
39,-10.504167017992586,-10.504167017992586,-10.504167017992586,0.0
