Generation,Min,Mean,Max,Std
-1,-26.58333434141241,-26.58333434141241,-26.58333434141241,0.0
0,-22.091667456552386,-22.091667456552386,-22.091667456552386,0.0
1,-17.695833973547753,-17.695833973547753,-17.695833973547753,0.0
2,-20.541667396590736,-20.541667396590736,-20.541667396590736,0.0
3,-10.600000320118852,-10.600000320118852,-10.600000320118852,0.0
4,-12.691667060290152,-12.691667060290152,-12.691667060290152,0.0
5,-10.687500301321657,-10.687500301321657,-10.687500301321657,0.0
6,-14.20000047434587,-14.20000047434587,-14.20000047434587,0.0
7,-11.104166979397027,-11.104166979397027,-11.104166979397027,0.0
8,-14.129167121873857,-14.129167121873857,-14.129167121873857,0.0
9,-15.754167185048573,-15.754167185048573,-15.754167185048573,0.0
10,-7.958333537060146,-7.958333537060146,-7.958333537060146,0.0
11,-9.762500281018825,-9.762500281018825,-9.762500281018825,0.0
12,-9.858333599132797,-9.858333599132797,-9.858333599132797,0.0
13,-16.59166725957766,-16.59166725957766,-16.59166725957766,0.0
14,-6.220833449740894,-6.220833449740894,-6.220833449740894,0.0
15,-16.287500576659415,-16.287500576659415,-16.287500576659415,0.0
16,-8.84583359118551,-8.84583359118551,-8.84583359118551,0.0
17,-8.116666896501556,-8.116666896501556,-8.116666896501556,0.0
18,-10.09166699721633,-10.09166699721633,-10.09166699721633,0.0
19,-11.045833723968826,-11.045833723968826,-11.045833723968826,0.0
20,-10.970833675780645,-10.970833675780645,-10.970833675780645,0.0
21,-9.80416694302888,-9.80416694302888,-9.80416694302888,0.0
22,-13.608333763006764,-13.608333763006764,-13.608333763006764,0.0
23,-6.887500135305648,-6.887500135305648,-6.887500135305648,0.0
24,-8.41250020385875,-8.41250020385875,-8.41250020385875,0.0
25,-8.812500272528268,-8.812500272528268,-8.812500272528268,0.0
26,-9.60000029016131,-9.60000029016131,-9.60000029016131,0.0
27,-12.058333706265936,-12.058333706265936,-12.058333706265936,0.0
28,-12.683333713716516,-12.683333713716516,-12.683333713716516,0.0
29,-11.2333336515973,-11.2333336515973,-11.2333336515973,0.0
30,-14.400000470030742,-14.400000470030742,-14.400000470030742,0.0
31,-13.833333772645952,-13.833333772645952,-13.833333772645952,0.0
32,-4.645833404812341,-4.645833404812341,-4.645833404812341,0.0
33,-7.000000143346067,-7.000000143346067,-7.000000143346067,0.0
34,-6.166666783974506,-6.166666783974506,-6.166666783974506,0.0
35,-6.4000001176415635,-6.4000001176415635,-6.4000001176415635,0.0
36,-9.000000270665623,-9.000000270665623,-9.000000270665623,0.0
37,-9.695833666017279,-9.695833666017279,-9.695833666017279,0.0
38,-5.995833620118598,-5.995833620118598,-5.995833620118598,0.0
39,-13.162500407352733,-13.162500407352733,-13.162500407352733,0.0
