Generation,Min,Mean,Max,Std
-1,-30.300001135095954,-24.686667563859373,-5.900000089779496,4.2432189545273555
0,-30.05000116303563,-20.602500720935254,-3.7999999998137355,6.025456154295145
1,-49.2000019447878,-21.365834095988735,-3.2999999783933163,9.548257183734131
2,-49.70000196620822,-18.09083395890581,-3.2999999783933163,11.841746897801796
3,-50.600002004764974,-16.730833896133117,-3.2999999783933163,12.937729909037575
4,-28.050001038704067,-12.58250039536506,-3.2999999783933163,8.761491992280108
5,-50.70000200904906,-15.518333850606966,-3.2999999783933163,12.88127238025456
6,-49.8000019704923,-16.79750057338582,-3.2999999783933163,14.107372861475849
7,-50.50000200048089,-14.062500456813723,-3.1999999741092324,12.043991489767363
8,-48.35000190837309,-15.36416717027314,-3.2999999783933163,11.671101168876435
9,-50.20000198762864,-15.11333382941472,-3.2999999783933163,11.894673217936692
10,-50.50000200048089,-13.369167086738162,-3.2999999783933163,10.280719005650147
11,-47.80000188481063,-13.63750043156712,-3.2999999783933163,10.634702393776188
12,-50.20000198762864,-13.334167078797085,-3.2999999783933163,13.506117993841295
13,-50.30000199191272,-13.908333775214851,-3.200000051409006,12.694373197778953
14,-47.750001882668585,-13.111667080215799,-1.1000003479421139,11.122737566810159
15,-48.90000193193555,-11.884167014745374,-3.0999999698251486,11.507532417980425
16,-49.2000019447878,-11.793333683318147,-3.1999999741092324,10.36934013463513
17,-50.30000199191272,-15.810833852854557,-3.1999999741092324,12.320715102671535
18,-49.600001961924136,-12.121667030073391,-3.000000120140612,12.764992928187644
19,-48.300001906231046,-11.478333687215732,-1.6500002942048013,10.528483107968395
20,-31.400001182220876,-11.106667003291658,-2.9999999655410647,9.017582605815354
21,-28.10000104084611,-8.605833556425447,-0.950000380165875,7.562892684697299
22,-50.00000197906047,-12.005000353899474,-3.1999999741092324,11.321866130110323
23,-50.1500019854866,-12.766667056417402,-2.3000000128522515,11.701370313647782
24,-50.30000199191272,-14.87083381000751,-3.0999999698251486,13.542437864503809
25,-49.300001949071884,-11.937500379350968,-1.100000309292227,11.054783069640832
26,-50.600002004764974,-13.801667113640967,-1.60000040801242,13.718193987766242
27,-49.250002024229616,-9.394166969220775,-1.1500002341344953,10.058773908469142
28,-49.850001972634345,-9.601666951101894,-1.7000002963468432,10.550703286438278
29,-50.100001983344555,-12.705833746888676,-1.400000206194818,12.947268885968958
30,-49.80000204779208,-11.935833749974456,-1.4000003994442523,12.672609055654247
31,-50.30000199191272,-11.606667056322719,-1.2000003522261977,13.045052156421823
32,-50.70000200904906,-12.970833727321587,-3.2499999762512743,13.56983628321425
33,-49.90000197477639,-10.9516670520495,22.199998875148594,12.99589070647591
34,-50.600002004764974,-14.783333835867234,-1.7000002576969564,13.3643145699968
35,-50.600002004764974,-11.592500376763443,4.249999652151018,11.888748041279122
36,-50.70000200904906,-10.233333647383066,2.3999996101483703,12.881937709222152
37,-49.10000194050372,-11.12083366610265,-1.4500002469867468,11.381056705461333
38,-50.70000200904906,-11.44416702874781,-1.6500002169050276,12.446171582546047
39,-46.700001837685704,-9.70833363844237,1.6999996560625732,10.719092289087206
