Generation,Min,Mean,Max,Std
-1,-21.312500756505568,-21.312500756505568,-21.312500756505568,0.0
0,-21.858334110002033,-21.858334110002033,-21.858334110002033,0.0
1,-21.566667479036067,-21.566667479036067,-21.566667479036067,0.0
2,-14.595833805312092,-14.595833805312092,-14.595833805312092,0.0
3,-10.13333363023897,-10.13333363023897,-10.13333363023897,0.0
4,-18.27916729966334,-18.27916729966334,-18.27916729966334,0.0
5,-15.800000539670387,-15.800000539670387,-15.800000539670387,0.0
6,-16.654167230046976,-16.654167230046976,-16.654167230046976,0.0
7,-15.312500512343831,-15.312500512343831,-15.312500512343831,0.0
8,-13.612500452397702,-13.612500452397702,-13.612500452397702,0.0
9,-15.741667213500477,-15.741667213500477,-15.741667213500477,0.0
10,-13.829167147555077,-13.829167147555077,-13.829167147555077,0.0
11,-12.570833708896922,-12.570833708896922,-12.570833708896922,0.0
12,-16.416667235976394,-16.416667235976394,-16.416667235976394,0.0
13,-8.041666848196959,-8.041666848196959,-8.041666848196959,0.0
14,-12.866667119087651,-12.866667119087651,-12.866667119087651,0.0
15,-12.66666706566078,-12.66666706566078,-12.66666706566078,0.0
16,-10.800000331907844,-10.800000331907844,-10.800000331907844,0.0
17,-14.125000458249511,-14.125000458249511,-14.125000458249511,0.0
18,-12.65416705868362,-12.65416705868362,-12.65416705868362,0.0
19,-11.300000372653207,-11.300000372653207,-11.300000372653207,0.0
20,-14.829167155083269,-14.829167155083269,-14.829167155083269,0.0
21,-11.379166991178257,-11.379166991178257,-11.379166991178257,0.0
22,-16.083333865817014,-16.083333865817014,-16.083333865817014,0.0
23,-14.100000450736843,-14.100000450736843,-14.100000450736843,0.0
24,-8.570833598612808,-8.570833598612808,-8.570833598612808,0.0
25,-11.087500360328704,-11.087500360328704,-11.087500360328704,0.0
26,-7.870833523649101,-7.870833523649101,-7.870833523649101,0.0
27,-13.008333756627204,-13.008333756627204,-13.008333756627204,0.0
28,-8.933333594934084,-8.933333594934084,-8.933333594934084,0.0
29,-15.591667293803766,-15.591667293803766,-15.591667293803766,0.0
30,-11.604167097442163,-11.604167097442163,-11.604167097442163,0.0
31,-15.370833877163628,-15.370833877163628,-15.370833877163628,0.0
32,-7.995833525783382,-7.995833525783382,-7.995833525783382,0.0
33,-5.658333451293099,-5.658333451293099,-5.658333451293099,0.0
34,-5.562500146178839,-5.562500146178839,-5.562500146178839,0.0
35,-10.366667028322505,-10.366667028322505,-10.366667028322505,0.0
36,-16.65000056642263,-16.65000056642263,-16.65000056642263,0.0
37,-11.295833731574627,-11.295833731574627,-11.295833731574627,0.0
38,-12.112500462215394,-12.112500462215394,-12.112500462215394,0.0
39,-8.845833604068806,-8.845833604068806,-8.845833604068806,0.0
