Generation,Min,Mean,Max,Std
-1,-31.20000117365271,-24.994167586051237,-4.750000040512532,4.245950128758697
0,-46.1000018119812,-21.023334081315745,-4.600000034086406,7.898288483070082
1,-46.40000182483345,-20.074167373985983,-4.70000003837049,7.628545898382914
2,-50.600002004764974,-17.29583391776153,-3.3999999826774,9.146645000105368
3,-50.600002004764974,-16.037500533096804,-3.2999999783933163,8.475423777995145
4,-50.50000200048089,-17.547500595853975,-3.2999999783933163,11.174925622140167
5,-49.40000195335597,-16.026667198655197,-3.2999999783933163,10.504310934697509
6,-30.75000115437433,-15.812500525390108,-3.2999999783933163,8.906377428485586
7,-49.90000197477639,-15.924167197484833,-3.2999999783933163,10.674883324811907
8,-50.20000198762864,-15.670833850698546,-3.2999999783933163,12.525322525747274
9,-50.600002004764974,-14.416667125816456,-3.2999999783933163,11.686230527177335
10,-50.30000199191272,-12.91250040694916,-3.2999999783933163,11.152909759323157
11,-50.30000199191272,-15.455833844087708,-3.0999999698251486,12.286755222140615
12,-47.80000188481063,-12.909167077982177,-2.2000000858679414,9.270772072193799
13,-50.70000200904906,-13.816667102688614,-2.7000001072883606,13.378860345915692
14,-50.70000200904906,-11.935833715763874,-2.500000021420419,10.990360228509568
15,-50.600002004764974,-12.617500384648642,-3.0500000063329935,12.128276106247153
16,-30.900001160800457,-10.78666698189918,-2.450000096578151,9.323272645572704
17,-50.50000200048089,-12.915000401258778,-2.350000092294067,12.59356139208798
18,-50.600002004764974,-13.693333766648236,-0.8000001031905413,12.196927954237454
19,-50.70000200904906,-10.835000312770717,-2.749999993480742,10.970120108489086
20,-49.8000019704923,-12.140833706579482,-1.3500000881031156,12.275923739776609
21,-50.50000200048089,-12.713333746565816,0.24999967124313116,12.70924868800444
22,-49.2000019447878,-8.755833546103288,-2.799999995622784,9.709866925422492
23,-50.70000200904906,-9.92166696030181,3.5999996601603925,11.13621902155356
24,-39.65000153565779,-12.52500039485749,-0.6000001719221473,11.307562479641222
25,-50.70000200904906,-10.479166978985692,-0.6500001354143023,12.017828562172348
26,-50.50000200048089,-11.427500337533031,-2.60000006435439,13.209209548736448
27,-50.400001996196806,-11.140833687526174,3.399999574292451,12.316116286809487
28,-50.70000200904906,-9.401666928982984,4.849999676458538,11.135442997905852
29,-50.100001983344555,-8.80166691232007,2.1499997139908373,10.704368579066887
30,-50.05000198120251,-13.701667104203564,-2.1000000815838575,15.38662353933703
31,-49.850001972634345,-11.954167046731648,1.1999997119419277,14.279152919812223
32,-47.950001968536526,-8.551666922844015,14.199999149423093,10.18422414641591
33,-50.70000200904906,-11.748333699426924,1.899999625980854,12.392390539077779
34,-48.40000191051513,-10.938333669832597,8.999999585095793,12.466396560990217
35,-50.600002004764974,-11.560000374773518,1.1499997870996594,13.803544194785479
36,-46.90000184625387,-10.760000326329221,1.899999625980854,11.229837200670657
37,-50.50000200048089,-8.265833605562026,8.29999963240698,13.094145141669273
38,-50.70000200904906,-8.981666978440868,6.199999541044235,11.824448842340047
39,-49.40000195335597,-9.63333366732113,7.199999467935413,12.578307392821415
