Generation,Min,Mean,Max,Std
-1,-24.145834233767044,-24.145834233767044,-24.145834233767044,0.0
0,-23.97916755351859,-23.97916755351859,-23.97916755351859,0.0
1,-23.45416750848138,-23.45416750848138,-23.45416750848138,0.0
2,-16.145833871715393,-16.145833871715393,-16.145833871715393,0.0
3,-17.53333393437788,-17.53333393437788,-17.53333393437788,0.0
4,-16.23333388190561,-16.23333388190561,-16.23333388190561,0.0
5,-16.187500553050388,-16.187500553050388,-16.187500553050388,0.0
6,-15.750000521424226,-15.750000521424226,-15.750000521424226,0.0
7,-16.4958339156971,-16.4958339156971,-16.4958339156971,0.0
8,-15.870833885700753,-15.870833885700753,-15.870833885700753,0.0
9,-11.179167152848095,-11.179167152848095,-11.179167152848095,0.0
10,-11.466667023914246,-11.466667023914246,-11.466667023914246,0.0
11,-14.833333818707615,-14.833333818707615,-14.833333818707615,0.0
12,-12.050000372575596,-12.050000372575596,-12.050000372575596,0.0
13,-12.066667168672817,-12.066667168672817,-12.066667168672817,0.0
14,-7.495833504362963,-7.495833504362963,-7.495833504362963,0.0
15,-5.150000205457521,-5.150000205457521,-5.150000205457521,0.0
16,-12.562500446064709,-12.562500446064709,-12.562500446064709,0.0
17,-8.170833536501354,-8.170833536501354,-8.170833536501354,0.0
18,-9.98750027777472,-9.98750027777472,-9.98750027777472,0.0
19,-8.383333555267503,-8.383333555267503,-8.383333555267503,0.0
20,-10.008333747042343,-10.008333747042343,-10.008333747042343,0.0
21,-9.100000242974298,-9.100000242974298,-9.100000242974298,0.0
22,-9.070833623137636,-9.070833623137636,-9.070833623137636,0.0
23,-13.004167173290625,-13.004167173290625,-13.004167173290625,0.0
24,-9.14166692753012,-9.14166692753012,-9.14166692753012,0.0
25,-15.887500524094017,-15.887500524094017,-15.887500524094017,0.0
26,-12.858333730876135,-12.858333730876135,-12.858333730876135,0.0
27,-10.20000029009922,-10.20000029009922,-10.20000029009922,0.0
28,-12.208333712692061,-12.208333712692061,-12.208333712692061,0.0
29,-5.608333520125598,-5.608333520125598,-5.608333520125598,0.0
30,-14.558333912980743,-14.558333912980743,-14.558333912980743,0.0
31,-3.733333693429207,-3.733333693429207,-3.733333693429207,0.0
32,-13.379167092964053,-13.379167092964053,-13.379167092964053,0.0
33,-10.379167102704136,-10.379167102704136,-10.379167102704136,0.0
34,-10.970833695105588,-10.970833695105588,-10.970833695105588,0.0
35,-9.829167085583322,-9.829167085583322,-9.829167085583322,0.0
36,-5.6250003064439325,-5.6250003064439325,-5.6250003064439325,0.0
37,-8.14166708725194,-8.14166708725194,-8.14166708725194,0.0
38,-10.52916709946779,-10.52916709946779,-10.52916709946779,0.0
39,-4.8250002912633745,-4.8250002912633745,-4.8250002912633745,0.0
