Generation,Min,Mean,Max,Std
-1,-22.650000829909306,-22.650000829909306,-22.650000829909306,0.0
0,-20.491667391227868,-20.491667391227868,-20.491667391227868,0.0
1,-20.229167405632325,-20.229167405632325,-20.229167405632325,0.0
2,-15.525000511785038,-15.525000511785038,-15.525000511785038,0.0
3,-21.320834099858377,-21.320834099858377,-21.320834099858377,0.0
4,-12.10833370196633,-12.10833370196633,-12.10833370196633,0.0
5,-14.408333800500259,-14.408333800500259,-14.408333800500259,0.0
6,-13.787500447011553,-13.787500447011553,-13.787500447011553,0.0
7,-10.470833647918576,-10.470833647918576,-10.470833647918576,0.0
8,-9.566666952179125,-9.566666952179125,-9.566666952179125,0.0
9,-16.46666722201432,-16.46666722201432,-16.46666722201432,0.0
10,-9.991666944619888,-9.991666944619888,-9.991666944619888,0.0
11,-10.308333631294468,-10.308333631294468,-10.308333631294468,0.0
12,-16.79583390278276,-16.79583390278276,-16.79583390278276,0.0
13,-12.454167053336278,-12.454167053336278,-12.454167053336278,0.0
14,-12.279167074826546,-12.279167074826546,-12.279167074826546,0.0
15,-10.820833650029575,-10.820833650029575,-10.820833650029575,0.0
16,-16.150000596535392,-16.150000596535392,-16.150000596535392,0.0
17,-12.854167089797556,-12.854167089797556,-12.854167089797556,0.0
18,-10.37083363397202,-10.37083363397202,-10.37083363397202,0.0
19,-12.466667057092613,-12.466667057092613,-12.466667057092613,0.0
20,-5.945833473388727,-5.945833473388727,-5.945833473388727,0.0
21,-8.070833551542213,-8.070833551542213,-8.070833551542213,0.0
22,-13.48333376731413,-13.48333376731413,-13.48333376731413,0.0
23,-17.987500633384723,-17.987500633384723,-17.987500633384723,0.0
24,-12.804167119747339,-12.804167119747339,-12.804167119747339,0.0
25,-6.008333450299688,-6.008333450299688,-6.008333450299688,0.0
26,-7.266666892178667,-7.266666892178667,-7.266666892178667,0.0
27,-9.191666913568042,-9.191666913568042,-9.191666913568042,0.0
28,-8.29583355151893,-8.29583355151893,-8.29583355151893,0.0
29,-7.741666867552946,-7.741666867552946,-7.741666867552946,0.0
30,-6.891666831138234,-6.891666831138234,-6.891666831138234,0.0
31,-7.391666862221125,-7.391666862221125,-7.391666862221125,0.0
32,-9.308333585232807,-9.308333585232807,-9.308333585232807,0.0
33,-10.166666958558684,-10.166666958558684,-10.166666958558684,0.0
34,-20.36666738909359,-20.36666738909359,-20.36666738909359,0.0
35,-6.216666773233253,-6.216666773233253,-6.216666773233253,0.0
36,-12.516667065676302,-12.516667065676302,-12.516667065676302,0.0
37,-5.92916679312475,-5.92916679312475,-5.92916679312475,0.0
38,-4.837500053923577,-4.837500053923577,-4.837500053923577,0.0
39,-11.920833681050377,-11.920833681050377,-11.920833681050377,0.0
