Generation,Min,Mean,Max,Std
-1,-24.579167582443915,-24.579167582443915,-24.579167582443915,0.0
0,-17.24166725521597,-17.24166725521597,-17.24166725521597,0.0
1,-17.24166725521597,-17.24166725521597,-17.24166725521597,0.0
2,-14.037500480151115,-14.037500480151115,-14.037500480151115,0.0
3,-14.037500480151115,-14.037500480151115,-14.037500480151115,0.0
4,-13.320833770014966,-13.320833770014966,-13.320833770014966,0.0
5,-13.200000412180088,-13.200000412180088,-13.200000412180088,0.0
6,-13.200000412180088,-13.200000412180088,-13.200000412180088,0.0
7,-11.212500320592275,-11.212500320592275,-11.212500320592275,0.0
8,-11.212500320592275,-11.212500320592275,-11.212500320592275,0.0
9,-8.025000203362046,-8.025000203362046,-8.025000203362046,0.0
10,-8.025000203362046,-8.025000203362046,-8.025000203362046,0.0
11,-7.941666856796171,-7.941666856796171,-7.941666856796171,0.0
12,-7.941666856796171,-7.941666856796171,-7.941666856796171,0.0
13,-7.941666856796171,-7.941666856796171,-7.941666856796171,0.0
14,-7.941666856796171,-7.941666856796171,-7.941666856796171,0.0
15,-7.941666856796171,-7.941666856796171,-7.941666856796171,0.0
16,-7.941666856796171,-7.941666856796171,-7.941666856796171,0.0
17,-7.941666856796171,-7.941666856796171,-7.941666856796171,0.0
18,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
19,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
20,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
21,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
22,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
23,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
24,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
25,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
26,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
27,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
28,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
29,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
30,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
31,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
32,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
33,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
34,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
35,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
36,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
37,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
38,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
39,-5.237500109709799,-5.237500109709799,-5.237500109709799,0.0
