Generation,Min,Mean,Max,Std
-1,-25.95833430175359,-25.95833430175359,-25.95833430175359,0.0
0,-19.470834020602826,-19.470834020602826,-19.470834020602826,0.0
1,-16.04583387065213,-16.04583387065213,-16.04583387065213,0.0
2,-17.791667291661724,-17.791667291661724,-17.791667291661724,0.0
3,-16.804167242914748,-16.804167242914748,-16.804167242914748,0.0
4,-16.14583387815704,-16.14583387815704,-16.14583387815704,0.0
5,-9.595833584666252,-9.595833584666252,-9.595833584666252,0.0
6,-14.18750044804377,-14.18750044804377,-14.18750044804377,0.0
7,-7.662500210378009,-7.662500210378009,-7.662500210378009,0.0
8,-16.675000573935296,-16.675000573935296,-16.675000573935296,0.0
9,-11.995833726134151,-11.995833726134151,-11.995833726134151,0.0
10,-12.62083374968885,-12.62083374968885,-12.62083374968885,0.0
11,-13.65000043467929,-13.65000043467929,-13.65000043467929,0.0
12,-11.937500380522883,-11.937500380522883,-11.937500380522883,0.0
13,-11.575000365109494,-11.575000365109494,-11.575000365109494,0.0
14,-8.637500287460474,-8.637500287460474,-8.637500287460474,0.0
15,-13.379167102626525,-13.379167102626525,-13.379167102626525,0.0
16,-9.487500314212715,-9.487500314212715,-9.487500314212715,0.0
17,-10.516666973552978,-10.516666973552978,-10.516666973552978,0.0
18,-15.295834008992339,-15.295834008992339,-15.295834008992339,0.0
19,-11.475000389812825,-11.475000389812825,-11.475000389812825,0.0
20,-6.82083351087446,-6.82083351087446,-6.82083351087446,0.0
21,-13.41666720706659,-13.41666720706659,-13.41666720706659,0.0
22,-8.175000196904875,-8.175000196904875,-8.175000196904875,0.0
23,-12.72916707477998,-12.72916707477998,-12.72916707477998,0.0
24,-18.67916734578709,-18.67916734578709,-18.67916734578709,0.0
25,-10.191666940304762,-10.191666940304762,-10.191666940304762,0.0
26,-4.83750014709464,-4.83750014709464,-4.83750014709464,0.0
27,-8.63333358852348,-8.63333358852348,-8.63333358852348,0.0
28,-8.750000334150778,-8.750000334150778,-8.750000334150778,0.0
29,-6.4458334690425545,-6.4458334690425545,-6.4458334690425545,0.0
30,-9.704166929082325,-9.704166929082325,-9.704166929082325,0.0
31,-17.075000632709514,-17.075000632709514,-17.075000632709514,0.0
32,-9.066666969408592,-9.066666969408592,-9.066666969408592,0.0
33,-14.079167151940055,-14.079167151940055,-14.079167151940055,0.0
34,-0.3791668926132843,-0.3791668926132843,-0.3791668926132843,0.0
35,-8.31666694371961,-8.31666694371961,-8.31666694371961,0.0
36,-7.375000159411381,-7.375000159411381,-7.375000159411381,0.0
37,-3.2083334715959304,-3.2083334715959304,-3.2083334715959304,0.0
38,-5.279166887320268,-5.279166887320268,-5.279166887320268,0.0
39,-3.7083334738078215,-3.7083334738078215,-3.7083334738078215,0.0
