Generation,Min,Mean,Max,Std
-1,-23.84166752830303,-23.84166752830303,-23.84166752830303,0.0
0,-19.24166735378094,-19.24166735378094,-19.24166735378094,0.0
1,-18.94583398200727,-18.94583398200727,-18.94583398200727,0.0
2,-21.537500759703107,-21.537500759703107,-21.537500759703107,0.0
3,-15.587500508020943,-15.587500508020943,-15.587500508020943,0.0
4,-20.679167389598053,-20.679167389598053,-20.679167389598053,0.0
5,-18.583333982581582,-18.583333982581582,-18.583333982581582,0.0
6,-12.287500392412767,-12.287500392412767,-12.287500392412767,0.0
7,-8.458333555259742,-8.458333555259742,-8.458333555259742,0.0
8,-9.912500281003304,-9.912500281003304,-9.912500281003304,0.0
9,-15.562500516612394,-15.562500516612394,-15.562500516612394,0.0
10,-11.620833716510484,-11.620833716510484,-11.620833716510484,0.0
11,-9.55833359916384,-9.55833359916384,-9.55833359916384,0.0
12,-10.35416701156646,-10.35416701156646,-10.35416701156646,0.0
13,-12.06250036666946,-12.06250036666946,-12.06250036666946,0.0
14,-15.08333383263865,-15.08333383263865,-15.08333383263865,0.0
15,-12.31250038704214,-12.31250038704214,-12.31250038704214,0.0
16,-10.78333364520222,-10.78333364520222,-10.78333364520222,0.0
17,-15.304167172211843,-15.304167172211843,-15.304167172211843,0.0
18,-13.950000470077308,-13.950000470077308,-13.950000470077308,0.0
19,-14.625000515098995,-14.625000515098995,-14.625000515098995,0.0
20,-11.30416701695261,-11.30416701695261,-11.30416701695261,0.0
21,-11.975000385466652,-11.975000385466652,-11.975000385466652,0.0
22,-10.266667046351358,-10.266667046351358,-10.266667046351358,0.0
23,-13.37500042289806,-13.37500042289806,-13.37500042289806,0.0
24,-6.6458334679482505,-6.6458334679482505,-6.6458334679482505,0.0
25,-16.583333887237433,-16.583333887237433,-16.583333887237433,0.0
26,-12.195833692831608,-12.195833692831608,-12.195833692831608,0.0
27,-16.520833919988945,-16.520833919988945,-16.520833919988945,0.0
28,-8.25000020978041,-8.25000020978041,-8.25000020978041,0.0
29,-9.708333612031614,-9.708333612031614,-9.708333612031614,0.0
30,-6.158333472829933,-6.158333472829933,-6.158333472829933,0.0
31,-7.462500188926545,-7.462500188926545,-7.462500188926545,0.0
32,-9.562500285333954,-9.562500285333954,-9.562500285333954,0.0
33,-6.295833491603844,-6.295833491603844,-6.295833491603844,0.0
34,-10.220833659754135,-10.220833659754135,-10.220833659754135,0.0
35,-11.012500353894817,-11.012500353894817,-11.012500353894817,0.0
36,-10.779167000902817,-10.779167000902817,-10.779167000902817,0.0
37,-8.40416690237665,-8.40416690237665,-8.40416690237665,0.0
38,-10.670833717682399,-10.670833717682399,-10.670833717682399,0.0
39,-14.525000559010854,-14.525000559010854,-14.525000559010854,0.0
