Generation,Min,Mean,Max,Std
-1,-24.633334257872775,-24.633334257872775,-24.633334257872775,0.0
0,-19.76250069976474,-19.76250069976474,-19.76250069976474,0.0
1,-20.062500719058637,-20.062500719058637,-20.062500719058637,0.0
2,-13.450000413227826,-13.450000413227826,-13.450000413227826,0.0
3,-16.658333900112968,-16.658333900112968,-16.658333900112968,0.0
4,-19.987500722287223,-19.987500722287223,-19.987500722287223,0.0
5,-12.091667070014713,-12.091667070014713,-12.091667070014713,0.0
6,-17.76666728736988,-17.76666728736988,-17.76666728736988,0.0
7,-13.187500463177761,-13.187500463177761,-13.187500463177761,0.0
8,-11.500000332909016,-11.500000332909016,-11.500000332909016,0.0
9,-13.179167068291767,-13.179167068291767,-13.179167068291767,0.0
10,-15.295833857846446,-15.295833857846446,-15.295833857846446,0.0
11,-8.583333570277318,-8.583333570277318,-8.583333570277318,0.0
12,-8.508333560622608,-8.508333560622608,-8.508333560622608,0.0
13,-9.345833615826754,-9.345833615826754,-9.345833615826754,0.0
14,-12.662500392373962,-12.662500392373962,-12.662500392373962,0.0
15,-9.095833579349952,-9.095833579349952,-9.095833579349952,0.0
16,-4.758333416073583,-4.758333416073583,-4.758333416073583,0.0
17,-9.441666937161548,-9.441666937161548,-9.441666937161548,0.0
18,-10.300000291162482,-10.300000291162482,-10.300000291162482,0.0
19,-10.991667090410678,-10.991667090410678,-10.991667090410678,0.0
20,-10.57916699865988,-10.57916699865988,-10.57916699865988,0.0
21,-11.06666703564891,-11.06666703564891,-11.06666703564891,0.0
22,-14.195833807384284,-14.195833807384284,-14.195833807384284,0.0
23,-7.983333547793639,-7.983333547793639,-7.983333547793639,0.0
24,-11.845833713266378,-11.845833713266378,-11.845833713266378,0.0
25,-7.908333621531104,-7.908333621531104,-7.908333621531104,0.0
26,-8.812500253203325,-8.812500253203325,-8.812500253203325,0.0
27,-7.816666864324361,-7.816666864324361,-7.816666864324361,0.0
28,-13.44166709886243,-13.44166709886243,-13.44166709886243,0.0
29,-8.379166904526452,-8.379166904526452,-8.379166904526452,0.0
30,-15.33333383690721,-15.33333383690721,-15.33333383690721,0.0
31,-9.983333646242196,-9.983333646242196,-9.983333646242196,0.0
32,-13.795833764597774,-13.795833764597774,-13.795833764597774,0.0
33,-17.52083398537555,-17.52083398537555,-17.52083398537555,0.0
34,-13.300000474439003,-13.300000474439003,-13.300000474439003,0.0
35,-6.7625001331713674,-6.7625001331713674,-6.7625001331713674,0.0
36,-6.970833568833768,-6.970833568833768,-6.970833568833768,0.0
37,-10.770833705629533,-10.770833705629533,-10.770833705629533,0.0
38,-6.458333505007128,-6.458333505007128,-6.458333505007128,0.0
39,-10.579167043751417,-10.579167043751417,-10.579167043751417,0.0
