Generation,Min,Mean,Max,Std
-1,-23.083334185027827,-23.083334185027827,-23.083334185027827,0.0
0,-22.166667466207098,-22.166667466207098,-22.166667466207098,0.0
1,-21.291667419058893,-21.291667419058893,-21.291667419058893,0.0
2,-16.625000584676553,-16.625000584676553,-16.625000584676553,0.0
3,-11.541666998139894,-11.541666998139894,-11.541666998139894,0.0
4,-22.9833341614188,-22.9833341614188,-22.9833341614188,0.0
5,-14.304167184008596,-14.304167184008596,-14.304167184008596,0.0
6,-15.629167211901708,-15.629167211901708,-15.629167211901708,0.0
7,-12.750000405785007,-12.750000405785007,-12.750000405785007,0.0
8,-9.983333623812845,-9.983333623812845,-9.983333623812845,0.0
9,-10.520833630735675,-10.520833630735675,-10.520833630735675,0.0
10,-15.991667208106568,-15.991667208106568,-15.991667208106568,0.0
11,-6.970833514079762,-6.970833514079762,-6.970833514079762,0.0
12,-20.241667403063428,-20.241667403063428,-20.241667403063428,0.0
13,-6.295833475499724,-6.295833475499724,-6.295833475499724,0.0
14,-9.137500254243301,-9.137500254243301,-9.137500254243301,0.0
15,-15.858333872281946,-15.858333872281946,-15.858333872281946,0.0
16,-10.054166985947328,-10.054166985947328,-10.054166985947328,0.0
17,-8.3791669398391,-8.3791669398391,-8.3791669398391,0.0
18,-10.391666961756224,-10.391666961756224,-10.391666961756224,0.0
19,-8.166666866435358,-8.166666866435358,-8.166666866435358,0.0
20,-8.991666943649761,-8.991666943649761,-8.991666943649761,0.0
21,-15.987500554144694,-15.987500554144694,-15.987500554144694,0.0
22,-16.93750057873937,-16.93750057873937,-16.93750057873937,0.0
23,-10.66250031957558,-10.66250031957558,-10.66250031957558,0.0
24,-8.908333564875647,-8.908333564875647,-8.908333564875647,0.0
25,-10.862500318481276,-10.862500318481276,-10.862500318481276,0.0
26,-14.345833804264354,-14.345833804264354,-14.345833804264354,0.0
27,-10.512500332474398,-10.512500332474398,-10.512500332474398,0.0
28,-6.033333428824942,-6.033333428824942,-6.033333428824942,0.0
29,-7.38750020825925,-7.38750020825925,-7.38750020825925,0.0
30,-8.775000274142561,-8.775000274142561,-8.775000274142561,0.0
31,-12.05833372559088,-12.05833372559088,-12.05833372559088,0.0
32,-8.666666920064017,-8.666666920064017,-8.666666920064017,0.0
33,-10.88333368813619,-10.88333368813619,-10.88333368813619,0.0
34,-7.395833516182999,-7.395833516182999,-7.395833516182999,0.0
35,-9.841666938193763,-9.841666938193763,-9.841666938193763,0.0
36,-11.166667056037113,-11.166667056037113,-11.166667056037113,0.0
37,-11.204167038435116,-11.204167038435116,-11.204167038435116,0.0
38,-14.05833378228514,-14.05833378228514,-14.05833378228514,0.0
39,-8.304166904534213,-8.304166904534213,-8.304166904534213,0.0
