solution_1,0,1,2,3,4,5,6,7,8,9
0,-3.9126050466546367,-3.081666657930085,-2.5754166851984337,-1.6525000690249727,0.2379165278165601,0.14833317612841104,1.6868331158029226,2.58916642232798,1.8804164452905145,1.7416664525051602
1,-10.250847737075983,-3.2574999820479813,-2.9679166640077406,-2.3733333615547356,-1.6912500587912898,-1.3820834158725726,-0.29666679629202314,0.2549998277410244,-0.31416679692532246,0.8266664914903231
2,-8.267500198601434,-3.297083314500439,-3.0408333305773945,-2.504583364923019,-1.7395833902953504,-1.5616667330653096,-0.4962501301934632,0.2316665104784382,0.3599998326894517,1.1391664690570906
3,-8.083750192006118,-3.366666648882286,-3.074583327192037,-2.5608333580040683,-2.0179167136743974,-1.2500000936173212,-0.09750013289352258,0.8833331553265452,0.1633331787966502,0.8454164740939935
4,-8.178750192556375,-3.5062499885175686,-3.106249997147825,-2.8591666767412485,-1.9979167115641758,-1.7962500671196417,-0.5125001256664594,0.6424998190137557,-0.1625001470092684,0.5420831525659499
5,-9.237083570907513,-4.3533333571744155,-3.3687500006635673,-2.9379166797928824,-2.4558333685738036,-2.052666722598951,-0.9800001077004709,-0.4783334774818892,-0.7220834476291202,-0.14500015046990786
6,-12.063333697783916,-6.868333468139948,-4.605000054269719,-3.355833353389365,-2.8204167039870907,-2.6312500424683094,-2.0908334040315824,-1.1912501035917862,-2.155416728882119,-0.5720834586187266
7,-17.273333923883424,-10.892500308493618,-7.002916814968922,-5.192083417895871,-3.9141667385934853,-3.4479167456622237,-2.5754167672013866,-2.2929167567092614,-2.6545834076513226,-1.7662501162150874
8,-22.796754081467434,-16.20291720942672,-12.64125041171986,-9.416666945395992,-7.262916872751278,-7.0156781498374325,-6.676666847647478,-5.09583349195697,-5.544537995488015,-5.730687651558158
9,,-21.07272801954638,-19.993056261976662,-17.00079423881742,-14.65208383507949,-15.216901944189424,-14.222917131258226,-14.386364133822937,-15.23157947199223,-13.635811260687438
