Generation,Min,Mean,Max,Std
-1,-22.69166747581524,-22.69166747581524,-22.69166747581524,0.0
0,-22.166667456544626,-22.166667456544626,-22.166667456544626,0.0
1,-17.72916726321758,-17.72916726321758,-17.72916726321758,0.0
2,-20.162500700796954,-20.162500700796954,-20.162500700796954,0.0
3,-15.658333844388835,-15.658333844388835,-15.658333844388835,0.0
4,-18.000000611374464,-18.000000611374464,-18.000000611374464,0.0
5,-20.20000072172843,-20.20000072172843,-20.20000072172843,0.0
6,-15.087500493042171,-15.087500493042171,-15.087500493042171,0.0
7,-12.20000039510584,-12.20000039510584,-12.20000039510584,0.0
8,-12.458333720181448,-12.458333720181448,-12.458333720181448,0.0
9,-14.237500450185811,-14.237500450185811,-14.237500450185811,0.0
10,-16.908333923706476,-16.908333923706476,-16.908333923706476,0.0
11,-13.81250042875763,-13.81250042875763,-13.81250042875763,0.0
12,-13.76250043627806,-13.76250043627806,-13.76250043627806,0.0
13,-11.283333656960167,-11.283333656960167,-11.283333656960167,0.0
14,-14.820833834276224,-14.820833834276224,-14.820833834276224,0.0
15,-10.416667020802075,-10.416667020802075,-10.416667020802075,0.0
16,-8.920833591177749,-8.920833591177749,-8.920833591177749,0.0
17,-14.937500486616045,-14.937500486616045,-14.937500486616045,0.0
18,-15.154167152902422,-15.154167152902422,-15.154167152902422,0.0
19,-6.958333629261081,-6.958333629261081,-6.958333629261081,0.0
20,-14.054167128323266,-14.054167128323266,-14.054167128323266,0.0
21,-8.129166948453834,-8.129166948453834,-8.129166948453834,0.0
22,-10.679166993397908,-10.679166993397908,-10.679166993397908,0.0
23,-8.004166869136194,-8.004166869136194,-8.004166869136194,0.0
24,-14.441667170690684,-14.441667170690684,-14.441667170690684,0.0
25,-12.287500450271182,-12.287500450271182,-12.287500450271182,0.0
26,-9.137500263905773,-9.137500263905773,-9.137500263905773,0.0
27,-6.30416688004819,-6.30416688004819,-6.30416688004819,0.0
28,-11.087500398862176,-11.087500398862176,-11.087500398862176,0.0
29,-4.325000154242541,-4.325000154242541,-4.325000154242541,0.0
30,-10.370833675842732,-10.370833675842732,-10.370833675842732,0.0
31,-8.025000193699574,-8.025000193699574,-8.025000193699574,0.0
32,-14.429167137946934,-14.429167137946934,-14.429167137946934,0.0
33,-12.512500382727012,-12.512500382727012,-12.512500382727012,0.0
34,-7.42916695389431,-7.42916695389431,-7.42916695389431,0.0
35,-13.945833890194384,-13.945833890194384,-13.945833890194384,0.0
36,-5.887500166427344,-5.887500166427344,-5.887500166427344,0.0
37,-13.212500419157246,-13.212500419157246,-13.212500419157246,0.0
38,-5.77083346589158,-5.77083346589158,-5.77083346589158,0.0
39,-11.795833701461865,-11.795833701461865,-11.795833701461865,0.0
