Generation,Min,Mean,Max,Std
-1,-25.020834277694423,-25.020834277694423,-25.020834277694423,0.0
0,-20.15000071314474,-20.15000071314474,-20.15000071314474,0.0
1,-20.15000071314474,-20.15000071314474,-20.15000071314474,0.0
2,-17.07083392100564,-17.07083392100564,-17.07083392100564,0.0
3,-16.33750058512669,-16.33750058512669,-16.33750058512669,0.0
4,-15.504167174338363,-15.504167174338363,-15.504167174338363,0.0
5,-15.504167174338363,-15.504167174338363,-15.504167174338363,0.0
6,-15.504167174338363,-15.504167174338363,-15.504167174338363,0.0
7,-15.504167174338363,-15.504167174338363,-15.504167174338363,0.0
8,-14.483333797271674,-14.483333797271674,-14.483333797271674,0.0
9,-14.483333797271674,-14.483333797271674,-14.483333797271674,0.0
10,-11.900000350045351,-11.900000350045351,-11.900000350045351,0.0
11,-11.900000350045351,-11.900000350045351,-11.900000350045351,0.0
12,-11.900000350045351,-11.900000350045351,-11.900000350045351,0.0
13,-11.900000350045351,-11.900000350045351,-11.900000350045351,0.0
14,-8.341666864270033,-8.341666864270033,-8.341666864270033,0.0
15,-7.995833541887502,-7.995833541887502,-7.995833541887502,0.0
16,-7.9125001759966835,-7.9125001759966835,-7.9125001759966835,0.0
17,-7.9125001759966835,-7.9125001759966835,-7.9125001759966835,0.0
18,-7.9125001759966835,-7.9125001759966835,-7.9125001759966835,0.0
19,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
20,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
21,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
22,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
23,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
24,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
25,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
26,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
27,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
28,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
29,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
30,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
31,-6.312500107451342,-6.312500107451342,-6.312500107451342,0.0
32,-4.950000068405643,-4.950000068405643,-4.950000068405643,0.0
33,-4.950000068405643,-4.950000068405643,-4.950000068405643,0.0
34,-4.950000068405643,-4.950000068405643,-4.950000068405643,0.0
35,-4.950000068405643,-4.950000068405643,-4.950000068405643,0.0
36,-4.950000068405643,-4.950000068405643,-4.950000068405643,0.0
37,-4.950000068405643,-4.950000068405643,-4.950000068405643,0.0
38,-4.950000068405643,-4.950000068405643,-4.950000068405643,0.0
39,-4.950000068405643,-4.950000068405643,-4.950000068405643,0.0
