Generation,Min,Mean,Max,Std
-1,-24.687500901093397,-24.687500901093397,-24.687500901093397,0.0
0,-19.75833402647792,-19.75833402647792,-19.75833402647792,0.0
1,-20.237500745880727,-20.237500745880727,-20.237500745880727,0.0
2,-17.066667234835524,-17.066667234835524,-17.066667234835524,0.0
3,-16.78750059163819,-16.78750059163819,-16.78750059163819,0.0
4,-13.779167106879564,-13.779167106879564,-13.779167106879564,0.0
5,-16.65416724937192,-16.65416724937192,-16.65416724937192,0.0
6,-15.020833823519448,-15.020833823519448,-15.020833823519448,0.0
7,-13.712500424473546,-13.712500424473546,-13.712500424473546,0.0
8,-9.46250024884163,-9.46250024884163,-9.46250024884163,0.0
9,-13.266667101027755,-13.266667101027755,-13.266667101027755,0.0
10,-12.366667039925233,-12.366667039925233,-12.366667039925233,0.0
11,-13.579167120857164,-13.579167120857164,-13.579167120857164,0.0
12,-17.529167280416004,-17.529167280416004,-17.529167280416004,0.0
13,-11.308333654810363,-11.308333654810363,-11.308333654810363,0.0
14,-8.995833555740925,-8.995833555740925,-8.995833555740925,0.0
15,-13.170833734601425,-13.170833734601425,-13.170833734601425,0.0
16,-20.16666737086295,-20.16666737086295,-20.16666737086295,0.0
17,-14.329167130442025,-14.329167130442025,-14.329167130442025,0.0
18,-12.858333724434488,-12.858333724434488,-12.858333724434488,0.0
19,-13.375000413235588,-13.375000413235588,-13.375000413235588,0.0
20,-7.0458334722012905,-7.0458334722012905,-7.0458334722012905,0.0
21,-8.558333540218882,-8.558333540218882,-8.558333540218882,0.0
22,-11.029166995508907,-11.029166995508907,-11.029166995508907,0.0
23,-17.970833943458274,-17.970833943458274,-17.970833943458274,0.0
24,-13.616667099917928,-13.616667099917928,-13.616667099917928,0.0
25,-9.366666927506836,-9.366666927506836,-9.366666927506836,0.0
26,-13.208333810286907,-13.208333810286907,-13.208333810286907,0.0
27,-15.379167191529026,-15.379167191529026,-15.379167191529026,0.0
28,-14.916667145948546,-14.916667145948546,-14.916667145948546,0.0
29,-9.941666942477847,-9.941666942477847,-9.941666942477847,0.0
30,-7.74166685466965,-7.74166685466965,-7.74166685466965,0.0
31,-13.233333759824745,-13.233333759824745,-13.233333759824745,0.0
32,-12.450000386491107,-12.450000386491107,-12.450000386491107,0.0
33,-13.77500045291769,-13.77500045291769,-13.77500045291769,0.0
34,-10.570833661865132,-10.570833661865132,-10.570833661865132,0.0
35,-5.770833443345812,-5.770833443345812,-5.770833443345812,0.0
36,-10.333333625923842,-10.333333625923842,-10.333333625923842,0.0
37,-14.854167172258409,-14.854167172258409,-14.854167172258409,0.0
38,-7.895833592357424,-7.895833592357424,-7.895833592357424,0.0
39,-11.925000347895548,-11.925000347895548,-11.925000347895548,0.0
