Generation,Min,Mean,Max,Std
-1,-27.308334359588724,-27.308334359588724,-27.308334359588724,0.0
0,-21.64166743083236,-21.64166743083236,-21.64166743083236,0.0
1,-15.14166715880856,-15.14166715880856,-15.14166715880856,0.0
2,-19.116667345205013,-19.116667345205013,-19.116667345205013,0.0
3,-21.21250077476725,-21.21250077476725,-21.21250077476725,0.0
4,-12.629167080158368,-12.629167080158368,-12.629167080158368,0.0
5,-15.216667158800798,-15.216667158800798,-15.216667158800798,0.0
6,-12.31250038704214,-12.31250038704214,-12.31250038704214,0.0
7,-12.812500427787503,-12.812500427787503,-12.812500427787503,0.0
8,-14.154167129386527,-14.154167129386527,-14.154167129386527,0.0
9,-8.88333355092133,-8.88333355092133,-8.88333355092133,0.0
10,-13.441667085979134,-13.441667085979134,-13.441667085979134,0.0
11,-14.662500497380583,-14.662500497380583,-14.662500497380583,0.0
12,-15.19166719315884,-15.19166719315884,-15.19166719315884,0.0
13,-6.237500139667342,-6.237500139667342,-6.237500139667342,0.0
14,-20.800000734549638,-20.800000734549638,-20.800000734549638,0.0
15,-11.554167162588177,-11.554167162588177,-11.554167162588177,0.0
16,-6.575000157346949,-6.575000157346949,-6.575000157346949,0.0
17,-12.387500399917675,-12.387500399917675,-12.387500399917675,0.0
18,-14.525000459281728,-14.525000459281728,-14.525000459281728,0.0
19,-11.929167030844837,-11.929167030844837,-11.929167030844837,0.0
20,-13.437500528409146,-13.437500528409146,-13.437500528409146,0.0
21,-8.612500257402038,-8.612500257402038,-8.612500257402038,0.0
22,-8.212500227498822,-8.212500227498822,-8.212500227498822,0.0
23,-14.525000497931615,-14.525000497931615,-14.525000497931615,0.0
24,-7.516666874017877,-7.516666874017877,-7.516666874017877,0.0
25,-14.612500466251126,-14.612500466251126,-14.612500466251126,0.0
26,-13.887500483503876,-13.887500483503876,-13.887500483503876,0.0
27,-9.866666968135783,-9.866666968135783,-9.866666968135783,0.0
28,-9.691666947871758,-9.691666947871758,-9.691666947871758,0.0
29,-6.783333608880639,-6.783333608880639,-6.783333608880639,0.0
30,-16.254167222573113,-16.254167222573113,-16.254167222573113,0.0
31,-11.087500331341289,-11.087500331341289,-11.087500331341289,0.0
32,-10.154167047973411,-10.154167047973411,-10.154167047973411,0.0
33,-7.408333661422755,-7.408333661422755,-7.408333661422755,0.0
34,-15.633333885188526,-15.633333885188526,-15.633333885188526,0.0
35,-4.904166758875363,-4.904166758875363,-4.904166758875363,0.0
36,-9.891667088260874,-9.891667088260874,-9.891667088260874,0.0
37,-9.925000406918116,-9.925000406918116,-9.925000406918116,0.0
38,-8.775000486251278,-8.775000486251278,-8.775000486251278,0.0
39,-4.50416681880597,-4.50416681880597,-4.50416681880597,0.0
